Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
15,Bournemouth,eng Premier League,27,38.0,669,17.61,472,69,34,39,47,8,63,1.66,36,6,7,8,6,0
16,Brescia,it Serie A,32,38.0,725,19.08,482,88,27,50,70,8,58,1.53,36,8,0,6,7,1
17,Brest,fr Ligue 1,24,28.0,574,20.5,443,47,19,23,25,17,59,2.11,44,5,1,5,1,3
18,Brighton,eng Premier League,25,38.0,804,21.16,599,73,39,48,40,5,65,1.71,44,9,5,2,5,0
19,Burnley,eng Premier League,22,38.0,667,17.55,459,83,27,44,45,9,71,1.87,47,10,4,6,3,1
20,Cagliari,it Serie A,33,38.0,771,20.29,574,71,50,32,32,12,82,2.16,61,5,3,6,4,3
21,Celta Vigo,es La Liga,30,38.0,659,17.34,477,52,41,37,44,8,67,1.76,43,3,8,5,8,0
22,Chelsea,eng Premier League,27,38.0,1121,29.5,847,86,57,64,52,15,123,3.24,86,6,10,9,10,2
23,Crystal Palace,eng Premier League,25,38.0,643,16.92,427,68,57,36,46,9,53,1.39,37,3,4,4,5,0
24,Dijon,fr Ligue 1,28,28.0,580,20.71,390,75,46,32,30,7,44,1.57,31,3,3,6,1,0
25,Dortmund,de Bundesliga,27,34.0,794,23.35,598,59,57,43,29,8,155,4.56,129,5,13,6,2,0
26,Düsseldorf,de Bundesliga,28,34.0,747,21.97,491,89,52,41,59,15,64,1.88,45,7,4,4,4,0
27,Eibar,es La Liga,26,38.0,709,18.66,450,97,40,55,48,19,63,1.66,38,7,5,6,7,0
28,Eint Frankfurt,de Bundesliga,27,34.0,878,25.82,611,95,63,60,39,10,100,2.94,61,16,6,13,2,2
29,Espanyol,es La Liga,31,38.0,691,18.18,469,82,37,45,50,8,44,1.16,26,5,2,6,3,2
30,Everton,eng Premier League,24,38.0,805,21.18,536,86,47,69,51,16,67,1.76,47,4,4,9,3,0
31,Fiorentina,it Serie A,33,38.0,970,25.53,676,93,61,59,69,12,83,2.18,48,9,6,11,9,0
32,Freiburg,de Bundesliga,26,34.0,784,23.06,517,89,50,56,67,5,75,2.21,38,9,5,8,15,0
33,Genoa,it Serie A,34,38.0,754,19.84,540,59,41,51,48,15,80,2.11,53,4,5,6,10,2
34,Getafe,es La Liga,30,38.0,691,18.18,464,83,36,35,63,10,70,1.84,43,7,7,6,6,1
35,Gladbach,de Bundesliga,25,34.0,827,24.32,589,66,56,47,56,13,114,3.35,82,8,10,5,8,1
36,Granada,es La Liga,27,38.0,670,17.63,434,89,32,38,58,19,86,2.26,52,9,5,8,8,4
37,Hellas Verona,it Serie A,30,38.0,766,20.16,562,70,42,56,31,5,77,2.03,51,5,7,6,7,1
38,Hertha BSC,de Bundesliga,32,34.0,636,18.71,446,63,46,39,34,8,83,2.44,52,8,11,8,4,0
39,Hoffenheim,de Bundesliga,31,34.0,797,23.44,538,83,56,55,55,10,91,2.68,60,6,7,12,4,2
40,Inter,it Serie A,29,38.0,1078,28.37,786,79,65,81,50,17,137,3.61,98,6,9,11,12,1
41,Juventus,it Serie A,30,38.0,1209,31.82,901,79,75,69,69,16,125,3.29,82,7,13,10,12,1
42,Köln,de Bundesliga,29,34.0,723,21.26,500,73,44,47,45,14,83,2.44,54,7,7,9,6,0
43,Lazio,it Serie A,27,38.0,1038,27.32,770,76,71,60,44,17,135,3.55,98,2,10,9,13,3
44,Lecce,it Serie A,30,38.0,935,24.61,711,79,38,45,51,11,93,2.45,55,8,7,9,12,2
45,Leganés,es La Liga,29,38.0,752,19.79,509,87,44,48,57,7,54,1.42,38,4,2,3,6,1
46,Leicester City,eng Premier League,24,38.0,969,25.5,707,73,75,48,56,10,116,3.05,91,3,11,4,5,2
47,Levante,es La Liga,29,38.0,746,19.63,547,71,48,35,37,8,79,2.08,52,4,6,8,9,0
48,Leverkusen,de Bundesliga,24,34.0,853,25.09,614,91,59,53,25,11,108,3.18,80,8,9,4,5,2
49,Lille,fr Ligue 1,25,28.0,615,21.96,414,65,57,33,37,9,58,2.07,38,5,5,4,5,1
50,Liverpool,eng Premier League,24,38.0,1044,27.47,800,77,60,54,36,17,148,3.89,108,11,10,9,8,2
51,Lyon,fr Ligue 1,27,28.0,636,22.71,453,53,56,30,31,13,72,2.57,51,2,9,4,5,1
52,Mainz 05,de Bundesliga,25,34.0,795,23.38,552,81,66,41,44,11,76,2.24,51,5,9,6,4,1
53,Mallorca,es La Liga,32,38.0,742,19.53,510,78,51,38,57,8,64,1.68,41,1,6,5,10,1
54,Manchester City,eng Premier League,24,38.0,1356,35.68,1040,72,101,75,53,15,173,4.55,123,6,16,14,12,2
55,Manchester Utd,eng Premier League,29,38.0,978,25.74,766,50,62,36,56,8,112,2.95,86,4,7,2,12,1
56,Marseille,fr Ligue 1,23,28.0,637,22.75,427,74,40,40,43,13,63,2.25,40,6,5,5,6,1
57,Metz,fr Ligue 1,24,28.0,544,19.43,379,44,49,25,34,13,46,1.64,29,5,6,3,1,2
58,Milan,it Serie A,32,38.0,1089,28.66,817,77,75,60,47,13,102,2.68,67,6,8,10,10,1
59,Monaco,fr Ligue 1,28,28.0,668,23.86,462,58,55,41,40,12,75,2.68,52,5,5,7,6,0
60,Montpellier,fr Ligue 1,27,28.0,617,22.04,418,70,25,40,51,13,58,2.07,39,6,2,5,5,1
61,Nantes,fr Ligue 1,29,28.0,583,20.82,407,57,40,30,36,13,40,1.43,30,2,4,2,1,1
62,Napoli,it Serie A,25,38.0,1242,32.68,982,75,65,65,41,14,103,2.71,71,9,3,11,7,2
63,Newcastle Utd,eng Premier League,28,38.0,705,18.55,491,75,55,38,37,9,62,1.63,41,6,4,6,4,1
64,Nice,fr Ligue 1,31,28.0,598,21.36,396,52,55,44,39,12,72,2.57,50,7,2,8,5,0
65,Nîmes,fr Ligue 1,28,28.0,593,21.18,391,77,35,41,36,13,47,1.68,30,4,3,6,4,0
66,Norwich City,eng Premier League,30,38.0,717,18.87,522,56,47,47,35,10,43,1.13,34,2,2,2,1,2
67,Osasuna,es La Liga,31,38.0,783,20.61,553,94,40,42,42,12,73,1.92,49,9,4,5,5,1
68,Paderborn 07,de Bundesliga,27,34.0,730,21.47,487,76,61,43,47,16,59,1.74,40,3,5,9,2,0
69,Paris S-G,fr Ligue 1,31,27.0,795,29.44,606,42,61,36,37,13,124,4.59,91,6,12,8,7,0
70,Parma,it Serie A,25,38.0,808,21.26,587,71,58,38,42,12,95,2.5,66,7,10,5,5,2
71,RB Leipzig,de Bundesliga,29,34.0,981,28.85,726,73,65,61,42,14,138,4.06,92,9,17,11,8,1
72,Real Madrid,es La Liga,26,38.0,1021,26.87,780,68,73,46,42,12,125,3.29,90,7,7,5,15,1
73,Real Sociedad,es La Liga,27,38.0,744,19.58,550,70,34,40,39,11,92,2.42,69,6,4,6,2,5
74,Reims,fr Ligue 1,26,28.0,594,21.21,433,61,34,26,31,9,45,1.61,29,5,2,2,7,0
75,Rennes,fr Ligue 1,26,28.0,602,21.5,422,40,51,30,52,7,62,2.21,44,3,6,5,4,0
76,Roma,it Serie A,31,38.0,1133,29.82,801,101,78,76,57,20,128,3.37,90,7,9,11,11,0
77,Saint-Étienne,fr Ligue 1,31,28.0,520,18.57,352,54,38,25,37,14,51,1.82,30,8,2,5,5,1
78,Sampdoria,it Serie A,31,38.0,972,25.58,693,91,46,68,62,12,80,2.11,53,4,3,6,12,2
79,Sassuolo,it Serie A,31,38.0,968,25.47,721,57,65,59,50,16,116,3.05,82,2,13,11,8,0
80,Schalke 04,de Bundesliga,29,34.0,639,18.79,431,69,44,42,37,16,58,1.71,43,5,4,1,5,0
81,Sevilla,es La Liga,26,38.0,873,22.97,636,90,51,42,42,12,89,2.34,58,8,10,5,8,0
82,Sheffield Utd,eng Premier League,26,38.0,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0
83,Southampton,eng Premier League,25,38.0,843,22.18,560,74,70,53,60,26,77,2.03,41,3,15,8,7,3
84,SPAL,it Serie A,34,38.0,822,21.63,579,91,49,36,56,11,45,1.18,25,4,5,5,6,0
85,Strasbourg,fr Ligue 1,25,27.0,572,21.19,423,56,34,23,31,5,56,2.07,43,3,3,2,5,0
86,Torino,it Serie A,27,38.0,786,20.68,542,91,43,43,53,14,73,1.92,44,8,5,12,4,0
87,Tottenham,eng Premier League,29,38.0,779,20.5,589,43,54,37,38,18,94,2.47,62,3,13,10,4,2
88,Toulouse,fr Ligue 1,30,28.0,552,19.71,381,57,35,34,29,16,39,1.39,26,2,2,4,4,1
89,Udinese,it Serie A,25,38.0,826,21.74,628,69,48,37,32,12,61,1.61,43,4,6,4,1,3
90,Union Berlin,de Bundesliga,26,34.0,659,19.38,424,86,41,49,49,10,66,1.94,37,8,3,8,8,2
91,Valencia,es La Liga,28,38.0,612,16.11,445,53,39,22,43,10,80,2.11,56,5,8,2,9,0
92,Valladolid,es La Liga,30,38.0,647,17.03,453,47,46,31,58,12,53,1.39,34,2,4,6,7,0
93,Villarreal,es La Liga,25,38.0,864,22.74,642,66,60,44,37,15,108,2.84,71,5,10,10,11,1
94,Watford,eng Premier League,26,38.0,725,19.08,498,69,45,42,56,15,58,1.53,34,6,3,4,8,3
95,Werder Bremen,de Bundesliga,30,34.0,756,22.24,536,68,44,52,37,19,69,2.03,43,4,6,11,2,3
96,West Ham,eng Premier League,29,38.0,735,19.34,514,78,42,42,47,12,89,2.34,62,7,5,7,8,0
97,Wolfsburg,de Bundesliga,26,34.0,814,23.94,542,94,50,59,57,12,80,2.35,49,6,9,7,9,0
98,Wolves,eng Premier League,21,38.0,801,21.08,541,70,79,47,46,18,83,2.18,53,6,9,8,7,0
