Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
40,Inter,it Serie A,29,38.0,104,6,3,563,450,96,790,370,287,10,4,1,1862,515,470,52.3
41,Juventus,it Serie A,30,38.0,87,3,2,508,486,73,698,370,318,10,12,0,1811,432,338,56.1
42,Köln,de Bundesliga,29,34.0,79,4,1,487,436,75,708,435,413,3,6,2,1948,715,668,51.7
43,Lazio,it Serie A,27,38.0,99,2,1,462,399,71,741,378,311,12,9,1,1921,450,515,46.6
44,Lecce,it Serie A,30,38.0,98,5,2,469,490,67,711,383,293,10,13,3,1804,487,495,49.6
45,Leganés,es La Liga,29,38.0,127,4,2,591,500,75,771,418,357,4,7,1,1821,778,865,47.4
46,Leicester City,eng Premier League,24,38.0,43,3,1,418,444,64,779,423,432,6,10,2,2104,659,674,49.4
47,Levante,es La Liga,29,38.0,79,5,4,468,460,81,697,331,288,5,7,2,1913,504,555,47.6
48,Leverkusen,de Bundesliga,24,34.0,61,6,3,394,369,92,713,333,353,2,2,0,2035,518,490,51.4
49,Lille,fr Ligue 1,25,28.0,51,3,2,385,343,60,528,278,237,7,6,3,1536,478,479,49.9
50,Liverpool,eng Premier League,24,38.0,38,1,0,331,293,53,896,352,325,4,1,1,2194,655,588,52.7
51,Lyon,fr Ligue 1,27,28.0,50,4,1,342,312,26,495,311,304,4,3,3,1495,455,372,55.0
52,Mainz 05,de Bundesliga,25,34.0,75,3,2,462,401,70,615,363,331,3,5,1,1785,609,669,47.7
53,Mallorca,es La Liga,32,38.0,93,5,4,509,526,58,682,376,338,8,16,1,1867,634,729,46.5
54,Manchester City,eng Premier League,24,38.0,64,4,2,362,296,68,915,352,301,10,3,1,1959,515,498,50.8
55,Manchester Utd,eng Premier League,29,38.0,73,0,0,423,427,56,635,379,333,12,3,1,2084,557,512,52.1
56,Marseille,fr Ligue 1,23,28.0,68,3,1,376,318,23,499,312,325,4,5,2,1471,472,448,51.3
57,Metz,fr Ligue 1,24,28.0,45,4,0,335,344,31,447,312,337,2,4,0,1504,462,547,45.8
58,Milan,it Serie A,32,38.0,97,6,2,545,460,63,713,419,345,4,10,1,1928,538,507,51.5
59,Monaco,fr Ligue 1,28,28.0,61,10,1,336,345,44,510,281,307,3,6,1,1479,405,372,52.1
60,Montpellier,fr Ligue 1,27,28.0,57,5,2,421,386,42,614,308,286,4,5,2,1596,606,518,53.9
61,Nantes,fr Ligue 1,29,28.0,52,2,1,376,340,44,464,305,347,0,6,1,1638,464,518,47.3
62,Napoli,it Serie A,25,38.0,73,2,0,421,523,54,813,330,295,2,8,1,1958,384,374,50.7
63,Newcastle Utd,eng Premier League,28,38.0,66,3,0,370,423,75,591,391,357,0,2,2,1871,733,781,48.4
64,Nice,fr Ligue 1,31,28.0,58,7,4,295,362,22,395,343,279,4,7,2,1441,279,299,48.3
65,Nîmes,fr Ligue 1,28,28.0,44,6,3,360,401,39,544,329,302,2,4,1,1431,575,596,49.1
66,Norwich City,eng Premier League,30,38.0,68,3,0,363,430,50,473,397,379,1,7,3,1989,518,673,43.5
67,Osasuna,es La Liga,31,38.0,110,6,3,551,410,80,755,417,361,2,5,0,2056,874,869,50.1
68,Paderborn 07,de Bundesliga,27,34.0,84,3,2,426,358,62,572,364,400,2,5,2,1797,462,564,45.0
69,Paris S-G,fr Ligue 1,31,27.0,51,1,1,333,291,57,520,255,295,5,0,1,1511,234,226,50.9
70,Parma,it Serie A,25,38.0,81,1,0,519,467,60,597,394,348,4,11,0,1871,540,463,53.8
71,RB Leipzig,de Bundesliga,29,34.0,53,3,3,373,370,78,628,364,361,3,2,0,2031,518,484,51.7
72,Real Madrid,es La Liga,26,38.0,82,4,3,487,474,84,776,381,355,11,2,0,2047,521,411,55.9
73,Real Sociedad,es La Liga,27,38.0,79,2,2,501,489,78,719,320,321,2,9,1,1892,815,710,53.4
74,Reims,fr Ligue 1,26,28.0,57,5,5,384,385,45,539,325,324,4,6,0,1478,427,503,45.9
75,Rennes,fr Ligue 1,26,28.0,51,1,0,387,404,40,478,272,296,5,5,1,1462,495,465,51.6
76,Roma,it Serie A,31,38.0,111,7,4,541,435,45,781,400,303,7,10,0,1852,530,415,56.1
77,Saint-Étienne,fr Ligue 1,31,28.0,61,3,2,371,324,43,563,376,318,3,6,0,1542,532,526,50.3
78,Sampdoria,it Serie A,31,38.0,111,7,5,563,459,63,814,396,354,10,9,4,1928,588,625,48.5
79,Sassuolo,it Serie A,31,38.0,99,3,1,498,560,64,562,348,332,4,9,4,1812,341,385,47.0
80,Schalke 04,de Bundesliga,29,34.0,64,2,1,400,380,81,472,407,361,1,6,2,1927,627,632,49.8
81,Sevilla,es La Liga,26,38.0,97,1,1,522,480,92,880,346,344,4,4,1,2069,746,695,51.8
82,Sheffield Utd,eng Premier League,26,38.0,63,2,1,412,306,78,866,420,377,1,3,0,2041,946,886,51.6
83,Southampton,eng Premier League,25,38.0,55,4,1,450,388,58,690,425,416,4,4,1,2150,810,878,48.0
84,SPAL,it Serie A,34,38.0,98,4,1,541,525,53,693,394,327,6,8,3,1718,552,520,51.5
85,Strasbourg,fr Ligue 1,25,27.0,47,1,1,367,311,33,579,301,293,4,7,0,1442,512,399,56.2
86,Torino,it Serie A,27,38.0,96,7,5,606,539,63,756,495,314,3,11,3,2048,699,640,52.2
87,Tottenham,eng Premier League,29,38.0,84,3,1,423,424,66,641,381,415,4,7,2,2022,642,671,48.9
88,Toulouse,fr Ligue 1,30,28.0,49,5,1,396,295,30,534,320,346,4,5,1,1517,468,522,47.3
89,Udinese,it Serie A,25,38.0,77,3,2,506,414,65,730,375,340,0,10,0,1888,483,534,47.5
90,Union Berlin,de Bundesliga,26,34.0,71,5,3,523,374,64,628,421,322,3,4,1,1848,908,835,52.1
91,Valencia,es La Liga,28,38.0,80,8,3,416,543,100,677,360,311,6,9,1,1778,553,601,47.9
92,Valladolid,es La Liga,30,38.0,84,0,0,484,530,81,645,390,327,6,8,0,1964,618,764,44.7
93,Villarreal,es La Liga,25,38.0,78,1,0,483,422,71,619,339,323,10,9,2,1894,536,622,46.3
94,Watford,eng Premier League,26,38.0,80,3,2,481,342,68,684,424,369,7,9,3,1996,823,802,50.6
95,Werder Bremen,de Bundesliga,30,34.0,80,4,4,461,450,53,601,423,345,4,1,3,1723,568,666,46.0
96,West Ham,eng Premier League,29,38.0,64,1,1,387,345,66,737,421,417,3,6,3,2052,855,801,51.6
97,Wolfsburg,de Bundesliga,26,34.0,71,4,2,490,399,72,651,377,363,3,5,0,1999,644,599,51.8
98,Wolves,eng Premier League,21,38.0,61,2,2,407,360,49,718,437,367,4,3,1,2113,775,711,52.2
