Rk,Squad,Comp,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
11,Bayern Munich,de Bundesliga,29,65.1,34.0,27878,1923,7313,13410,7376,1215,27872,741,480,64.8,261,35.2,17382,92867,49916,930,624,266,515,309,20486,2285
12,Betis,es La Liga,27,56.7,38.0,23715,2485,7853,10431,5665,845,23707,713,445,62.4,268,37.6,14024,78775,41021,834,634,200,548,355,16065,1463
13,Bologna,it Serie A,31,52.6,38.0,22738,2314,6600,10533,5822,794,22732,628,349,55.6,278,44.3,13270,75441,38917,799,556,203,617,331,14486,1649
14,Bordeaux,fr Ligue 1,26,53.6,28.0,18253,1724,5742,9723,2955,385,18251,507,273,53.8,233,46.0,10991,52483,26706,441,350,101,457,285,12191,989
15,Bournemouth,eng Premier League,27,44.1,38.0,20872,2556,7472,8683,4916,717,20868,602,325,54.0,277,46.0,12070,62723,31212,601,424,136,571,384,11946,1238
16,Brescia,it Serie A,32,40.6,38.0,18739,2524,6842,7804,4306,653,18735,450,275,61.1,175,38.9,9591,55133,30316,537,385,86,557,316,10769,1231
17,Brest,fr Ligue 1,24,49.8,28.0,17263,2041,6000,7885,3546,470,17258,364,209,57.4,155,42.6,9330,48143,25023,415,307,66,464,283,10983,1133
18,Brighton,eng Premier League,25,52.2,38.0,24387,2721,8174,10724,5693,770,24385,584,335,57.4,249,42.6,13074,73950,37898,669,502,165,626,399,15782,1661
19,Burnley,eng Premier League,22,41.9,38.0,18827,2224,5596,8993,4410,617,18823,454,246,54.2,208,45.8,8828,46545,21653,437,352,71,509,291,9969,882
20,Cagliari,it Serie A,33,45.7,38.0,21020,2568,7154,9248,4843,586,21015,538,324,60.2,214,39.8,11102,64793,34422,662,564,100,543,337,13049,1278
21,Celta Vigo,es La Liga,30,51.7,38.0,22576,2291,7505,10374,4906,585,22567,610,370,60.7,240,39.3,12921,68433,33492,670,521,133,541,375,14460,1358
22,Chelsea,eng Premier League,27,60.4,38.0,29489,2281,8311,13996,7423,1063,29482,718,460,64.1,258,35.9,18488,98638,51643,983,725,222,583,414,20848,1880
23,Crystal Palace,eng Premier League,25,44.8,38.0,20928,2377,7276,9017,4876,793,20925,698,432,61.9,266,38.1,10305,58519,29301,596,428,198,611,479,12187,1208
24,Dijon,fr Ligue 1,28,46.5,28.0,16323,1848,5938,7538,3047,489,16322,543,312,57.5,231,42.5,8571,49178,25530,513,372,112,469,303,10015,897
25,Dortmund,de Bundesliga,27,60.4,34.0,27633,1949,7849,13650,6343,852,27631,750,468,62.4,282,37.6,16995,85828,43712,792,608,199,494,351,20513,1729
26,Düsseldorf,de Bundesliga,28,45.6,34.0,18732,2030,6468,8196,4250,542,18728,453,257,56.7,196,43.3,9240,50961,25340,487,352,97,476,272,11271,1256
27,Eibar,es La Liga,26,46.3,38.0,19501,1777,5164,9086,5479,633,19491,458,260,56.8,198,43.2,9587,48746,21965,424,409,110,564,355,10333,1246
28,Eint Frankfurt,de Bundesliga,27,50.9,34.0,20419,1985,6428,9309,4903,762,20417,520,330,63.5,190,36.5,10145,57981,30952,677,441,147,523,301,12165,1380
29,Espanyol,es La Liga,31,47.4,38.0,20282,2092,6860,9234,4417,604,20278,489,281,57.5,208,42.5,10645,59325,29721,561,405,103,576,331,11783,1222
30,Everton,eng Premier League,24,49.0,38.0,22035,2514,7389,9561,5301,838,22034,609,374,61.4,235,38.6,12432,65428,32588,623,502,146,593,345,13344,1421
31,Fiorentina,it Serie A,33,47.4,38.0,21343,2205,6723,9390,5490,845,21332,670,428,63.9,242,36.1,12273,71566,39481,857,545,195,595,388,13488,1432
32,Freiburg,de Bundesliga,26,48.1,34.0,19615,2565,7346,8247,4202,658,19609,452,249,55.1,203,44.9,10684,59004,30501,537,412,120,521,259,11966,1116
33,Genoa,it Serie A,34,49.5,38.0,22193,2703,7647,9844,4922,653,22178,565,335,59.3,230,40.7,12672,64976,33616,583,434,103,558,349,14203,1269
34,Getafe,es La Liga,30,45.0,38.0,17737,1484,4842,7903,5206,650,17730,476,274,57.6,202,42.4,7551,40426,18906,416,330,82,635,318,8211,1179
35,Gladbach,de Bundesliga,25,52.4,34.0,21776,2267,7659,9822,4533,785,21770,638,387,60.7,251,39.3,13011,67728,35910,650,429,183,491,321,14209,1292
36,Granada,es La Liga,27,43.8,38.0,18071,2226,6282,7633,4377,585,18066,553,300,54.2,253,45.8,9792,52441,25249,511,381,111,486,290,9720,994
37,Hellas Verona,it Serie A,30,49.8,38.0,21661,2367,6427,10342,5111,744,21652,546,328,60.1,217,39.7,11821,64502,33903,728,553,146,536,307,13229,1554
38,Hertha BSC,de Bundesliga,32,44.7,34.0,18882,2245,6610,8985,3495,524,18879,526,351,66.7,175,33.3,9692,57318,29175,546,422,123,521,345,11260,1058
39,Hoffenheim,de Bundesliga,31,51.6,34.0,21896,2499,8107,9908,4074,701,21892,512,299,58.4,213,41.6,11882,62387,32328,598,400,148,478,324,14282,1250
40,Inter,it Serie A,29,54.2,38.0,24766,2441,7448,11450,6087,1024,24755,498,311,62.4,187,37.6,13950,76296,41980,797,520,190,515,292,17092,1806
41,Juventus,it Serie A,30,58.1,38.0,27421,2020,6575,13503,7570,863,27407,689,434,63.0,254,36.9,17726,83654,42833,879,767,211,510,293,20049,1734
42,Köln,de Bundesliga,29,46.7,34.0,19055,2172,6627,8619,4007,625,19051,450,272,60.4,179,39.8,9962,52836,25870,494,342,92,570,300,11111,1145
43,Lazio,it Serie A,27,50.4,38.0,23332,2356,7008,10481,6081,950,23314,580,360,62.1,217,37.4,13144,80519,45995,935,658,212,503,270,15748,1658
44,Lecce,it Serie A,30,44.8,38.0,21113,2771,7565,9066,4702,718,21099,464,296,63.8,168,36.2,11985,65854,36369,752,536,144,481,318,13564,1349
45,Leganés,es La Liga,29,43.9,38.0,18841,1764,5798,8465,4791,636,18836,581,342,58.9,239,41.1,9273,49830,24609,498,412,122,544,291,10246,1145
46,Leicester City,eng Premier League,24,57.1,38.0,26247,2187,7814,12226,6415,925,26240,688,377,54.8,311,45.2,16018,77180,39583,739,561,223,602,328,17485,1601
47,Levante,es La Liga,29,48.3,38.0,20210,2479,7642,8291,4454,632,20205,637,386,60.6,251,39.4,10797,61650,32153,711,417,157,537,302,12313,1350
48,Leverkusen,de Bundesliga,24,63.2,34.0,26856,2245,7685,14063,5334,845,26854,710,450,63.4,260,36.6,15221,81517,40657,761,575,217,600,360,18938,1463
49,Lille,fr Ligue 1,25,52.9,28.0,17279,1255,4060,9261,4127,551,17271,522,307,58.8,215,41.2,9397,52108,27799,544,429,136,442,300,11171,1066
50,Liverpool,eng Premier League,24,62.9,38.0,29749,2077,7168,14888,7909,1193,29744,658,387,58.8,271,41.2,20166,94610,50195,967,782,252,607,306,21151,1925
51,Lyon,fr Ligue 1,27,56.2,28.0,19207,1629,5456,9834,4080,558,19201,578,341,59.0,237,41.0,11551,60851,32940,563,442,142,484,293,13191,1196
52,Mainz 05,de Bundesliga,25,43.2,34.0,18148,2210,6311,7907,4161,635,18145,614,379,61.7,235,38.3,9831,54963,28563,524,399,128,600,346,10146,1133
53,Mallorca,es La Liga,32,45.0,38.0,19626,2340,6588,8406,4870,686,19616,709,392,55.3,317,44.7,11405,65851,34539,740,527,201,625,353,11691,1201
54,Manchester City,eng Premier League,24,66.2,38.0,31884,2009,6806,15609,9720,1473,31873,721,487,67.5,235,32.6,23022,118327,66426,1199,964,377,456,341,24428,2453
55,Manchester Utd,eng Premier League,29,55.8,38.0,25838,2167,7222,11840,6993,878,25824,747,446,59.7,301,40.3,14498,83016,46282,926,681,255,559,396,17632,1779
56,Marseille,fr Ligue 1,23,53.5,28.0,18065,1485,5084,8972,4199,516,18059,510,316,62.0,194,38.0,11047,59654,31913,639,468,139,441,298,11831,1099
57,Metz,fr Ligue 1,24,45.3,28.0,15860,1638,5207,7745,3123,368,15856,561,337,60.1,224,39.9,7743,50513,25532,578,463,105,461,302,9502,840
58,Milan,it Serie A,32,54.9,38.0,24800,2257,6836,11724,6509,936,24791,656,402,61.3,254,38.7,15448,81062,42849,816,704,219,598,342,16958,1702
59,Monaco,fr Ligue 1,28,50.9,28.0,17559,1547,4862,8731,4142,656,17555,500,308,61.6,192,38.4,10067,56025,31702,646,416,155,401,259,11605,1295
60,Montpellier,fr Ligue 1,27,47.6,28.0,15917,1628,5080,7394,3597,463,15912,449,218,48.6,231,51.4,7983,43243,23427,425,297,79,461,192,9652,1096
61,Nantes,fr Ligue 1,29,48.0,28.0,16839,1459,5037,8268,3742,477,16837,561,322,57.4,238,42.4,9108,51561,26102,548,434,136,474,305,10514,1028
62,Napoli,it Serie A,25,59.2,38.0,28084,2139,6780,14082,7442,917,28079,587,362,61.7,225,38.3,18571,94242,53505,979,803,194,427,296,21074,2008
63,Newcastle Utd,eng Premier League,28,39.0,38.0,18911,2401,7097,8182,3875,542,18910,674,400,59.3,274,40.7,9917,54621,27300,537,426,138,594,288,10526,826
64,Nice,fr Ligue 1,31,54.6,28.0,18875,1893,6345,9323,3417,458,18870,626,364,58.1,262,41.9,10225,55202,31327,499,394,139,479,281,13324,1255
65,Nîmes,fr Ligue 1,28,45.0,28.0,14493,1345,4519,6626,3515,486,14491,469,233,49.7,236,50.3,7068,39938,21216,421,295,91,465,250,8049,953
66,Norwich City,eng Premier League,30,49.3,38.0,23409,3125,9058,9868,4701,661,23407,706,427,60.5,278,39.4,14090,74844,38544,673,476,177,591,405,14835,1159
67,Osasuna,es La Liga,31,47.4,38.0,20122,2002,6073,9400,4869,661,20114,525,315,60.0,210,40.0,9935,51175,25607,562,428,124,611,306,10840,1346
68,Paderborn 07,de Bundesliga,27,45.9,34.0,19472,2478,7836,8041,3854,551,19468,689,382,55.4,307,44.6,10969,65414,33453,682,435,174,655,362,11400,993
69,Paris S-G,fr Ligue 1,31,65.2,27.0,21903,1328,4729,12011,5325,855,21895,675,406,60.1,268,39.7,13031,67065,37548,711,568,194,410,233,16642,1669
70,Parma,it Serie A,25,43.8,38.0,20080,2717,7279,8488,4533,730,20074,564,326,57.8,235,41.7,11250,63880,33929,673,502,185,582,355,12051,1210
71,RB Leipzig,de Bundesliga,29,55.3,34.0,24052,2074,6715,11858,5694,917,24047,623,388,62.3,235,37.7,13506,70728,38909,759,509,223,560,320,16137,1685
72,Real Madrid,es La Liga,26,58.8,38.0,27693,2234,7711,12551,7671,1038,27682,769,484,62.9,285,37.1,17146,92265,47544,951,727,302,518,315,19981,1951
73,Real Sociedad,es La Liga,27,56.2,38.0,24037,2340,7553,11352,5327,778,24032,591,355,60.1,234,39.6,14006,75872,40635,737,523,149,552,357,15827,1573
74,Reims,fr Ligue 1,26,48.9,28.0,16410,1640,6000,7221,3385,488,16405,519,301,58.0,218,42.0,8780,53250,29387,597,375,114,459,231,10261,1035
75,Rennes,fr Ligue 1,26,49.6,28.0,16431,1665,5490,7998,3138,456,16426,488,261,53.5,227,46.5,9926,53981,28245,557,389,107,435,263,10319,929
76,Roma,it Serie A,31,52.7,38.0,23255,2266,6676,10889,5948,999,23241,671,417,62.1,253,37.7,12899,80074,42749,944,718,236,537,282,15834,1638
77,Saint-Étienne,fr Ligue 1,31,48.2,28.0,16336,1527,5344,7827,3335,434,16331,485,289,59.6,196,40.4,8001,50278,27056,515,352,96,476,296,9974,969
78,Sampdoria,it Serie A,31,42.7,38.0,20099,2280,6197,9151,4989,705,20087,507,307,60.6,200,39.4,10309,56300,30093,613,463,100,505,295,11802,1358
79,Sassuolo,it Serie A,31,57.5,38.0,25903,2438,7367,12657,6132,843,25897,757,468,61.8,288,38.0,14874,86686,48546,902,678,234,522,339,18445,1575
80,Schalke 04,de Bundesliga,29,49.0,34.0,19874,2237,6728,9032,4373,597,19872,687,421,61.3,266,38.7,10821,63707,32858,603,450,139,625,417,11915,1191
81,Sevilla,es La Liga,26,57.9,38.0,25650,2229,7794,11678,6387,920,25643,667,413,61.9,254,38.1,14440,74929,39085,803,571,211,541,352,17430,1804
82,Sheffield Utd,eng Premier League,26,43.1,38.0,21000,2180,6190,8918,6070,733,20999,535,346,64.7,187,35.0,9508,48303,23773,493,375,116,519,292,12015,1334
83,Southampton,eng Premier League,25,48.9,38.0,22200,2123,6196,10753,5497,811,22196,680,423,62.2,257,37.8,10579,58592,29795,628,459,182,654,362,12363,1308
84,SPAL,it Serie A,34,46.9,38.0,20738,2614,7307,9038,4632,620,20731,519,357,68.8,162,31.2,11194,62194,32378,696,461,141,518,354,13190,1225
85,Strasbourg,fr Ligue 1,25,49.6,27.0,15640,1461,4811,7586,3427,469,15636,426,257,60.3,169,39.7,9288,49549,26561,492,388,80,440,255,9971,973
86,Torino,it Serie A,27,47.4,38.0,20846,2533,7181,9045,4883,737,20838,715,449,62.8,266,37.2,10971,63687,33973,843,544,156,605,360,12474,1202
87,Tottenham,eng Premier League,29,52.0,38.0,24729,2568,7603,11826,5549,710,24725,747,449,60.1,297,39.8,15489,76394,39387,768,573,182,577,437,15997,1398
88,Toulouse,fr Ligue 1,30,44.2,28.0,15562,1755,5101,7114,3522,492,15556,471,287,60.9,184,39.1,8756,48343,26213,556,379,96,475,293,9271,945
89,Udinese,it Serie A,25,44.7,38.0,21128,2448,7177,9500,4716,706,21128,550,350,63.6,199,36.2,12203,67349,36437,709,539,163,538,328,13279,1261
90,Union Berlin,de Bundesliga,26,41.9,34.0,17693,2129,6444,7580,3871,555,17688,456,259,56.8,197,43.2,8742,45422,22165,387,323,85,509,248,9350,929
91,Valencia,es La Liga,28,49.0,38.0,21847,2592,7697,9694,4654,638,21839,549,345,62.8,203,37.0,12893,70910,36309,671,491,114,521,283,14386,1367
92,Valladolid,es La Liga,30,44.7,38.0,19410,2162,6607,9057,3980,480,19404,569,338,59.4,231,40.6,9985,55513,27378,510,403,110,537,324,11102,1096
93,Villarreal,es La Liga,25,52.9,38.0,24137,2532,7874,11259,5231,772,24126,690,431,62.5,259,37.5,13189,71106,37620,694,518,209,601,310,16111,1472
94,Watford,eng Premier League,26,42.9,38.0,20081,2134,6250,8911,5148,805,20073,576,321,55.7,254,44.1,10429,54446,27529,578,446,162,549,348,11126,1152
95,Werder Bremen,de Bundesliga,30,48.8,34.0,20589,2279,6731,9795,4255,634,20583,470,259,55.1,211,44.9,12593,59550,29999,509,408,111,552,326,12816,1304
96,West Ham,eng Premier League,29,44.1,38.0,20993,2159,6259,9681,5265,746,20989,663,397,59.9,264,39.8,11155,62372,30145,667,485,169,496,322,12348,1370
97,Wolfsburg,de Bundesliga,26,48.4,34.0,19700,1974,6269,8974,4673,693,19696,612,352,57.5,260,42.5,10467,56332,29899,620,449,148,545,373,11512,1234
98,Wolves,eng Premier League,21,48.3,38.0,22660,1987,6969,10797,5105,779,22656,817,509,62.3,308,37.7,11543,66813,36391,858,559,229,540,338,14176,1320
