Rk,Squad,Comp,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
34,Getafe,es La Liga,30,38.0,580,341,235,263,82,235,573,41.0,338,374,60,314,367,947,625,12
35,Gladbach,de Bundesliga,25,34.0,552,322,254,215,83,228,586,38.9,358,398,106,292,381,933,596,11
36,Granada,es La Liga,27,38.0,584,349,257,257,70,238,570,41.8,332,375,118,257,383,967,750,10
37,Hellas Verona,it Serie A,30,38.0,488,290,237,187,64,203,463,43.8,260,361,173,188,398,886,825,10
38,Hertha BSC,de Bundesliga,32,34.0,556,341,282,221,53,208,521,39.9,313,435,130,305,409,965,794,12
39,Hoffenheim,de Bundesliga,31,34.0,529,309,283,196,50,239,578,41.3,339,384,121,263,349,878,719,9
40,Inter,it Serie A,29,38.0,524,287,228,212,84,196,575,34.1,379,371,120,251,370,894,657,12
41,Juventus,it Serie A,30,38.0,539,318,225,219,95,224,582,38.5,358,374,120,254,370,909,590,14
42,Köln,de Bundesliga,29,34.0,607,413,292,257,58,249,622,40.0,373,397,97,300,435,1042,681,5
43,Lazio,it Serie A,27,38.0,547,311,270,205,72,224,612,36.6,388,404,142,262,378,925,642,9
44,Lecce,it Serie A,30,38.0,525,293,288,192,45,234,628,37.3,394,395,150,245,383,908,793,30
45,Leganés,es La Liga,29,38.0,603,357,317,215,71,254,610,41.6,356,320,73,247,418,1021,687,7
46,Leicester City,eng Premier League,24,38.0,742,432,347,320,75,298,725,41.1,427,420,92,328,423,1165,767,16
47,Levante,es La Liga,29,38.0,507,288,281,173,53,204,532,38.3,328,317,107,210,331,838,763,14
48,Leverkusen,de Bundesliga,24,34.0,557,353,239,244,74,263,600,43.8,337,365,71,294,333,890,496,11
49,Lille,fr Ligue 1,25,28.0,424,237,163,203,58,183,467,39.2,284,263,62,201,278,702,450,9
50,Liverpool,eng Premier League,24,38.0,550,325,195,243,112,217,588,36.9,371,302,68,234,352,902,634,25
51,Lyon,fr Ligue 1,27,28.0,492,304,232,193,67,201,442,45.5,241,241,94,147,311,803,540,7
52,Mainz 05,de Bundesliga,25,34.0,576,331,280,233,63,225,542,41.5,317,403,110,293,363,939,724,13
53,Mallorca,es La Liga,32,38.0,545,338,280,213,52,227,602,37.7,375,360,117,243,376,921,672,9
54,Manchester City,eng Premier League,24,38.0,514,301,204,210,100,230,605,38.0,375,292,66,226,352,866,495,21
55,Manchester Utd,eng Premier League,29,38.0,579,333,267,231,81,254,634,40.1,380,360,99,261,379,958,703,14
56,Marseille,fr Ligue 1,23,28.0,564,325,246,246,72,235,560,42.0,325,264,58,206,312,876,533,9
57,Metz,fr Ligue 1,24,28.0,526,337,295,186,45,213,475,44.8,262,293,97,196,312,838,635,5
58,Milan,it Serie A,32,38.0,581,345,270,237,74,234,620,37.7,386,353,106,247,419,1000,652,19
59,Monaco,fr Ligue 1,28,28.0,504,307,231,221,52,235,556,42.3,321,249,70,179,281,785,495,15
60,Montpellier,fr Ligue 1,27,28.0,449,286,215,190,44,217,570,38.1,353,220,83,137,308,757,520,7
61,Nantes,fr Ligue 1,29,28.0,548,347,245,249,54,265,550,48.2,285,217,72,145,305,853,512,4
62,Napoli,it Serie A,25,38.0,487,295,223,183,81,206,540,38.1,334,322,86,236,330,817,464,11
63,Newcastle Utd,eng Premier League,28,38.0,603,357,364,198,41,273,632,43.2,359,402,152,250,391,994,988,19
64,Nice,fr Ligue 1,31,28.0,471,279,246,180,45,212,516,41.1,304,280,81,199,343,814,480,13
65,Nîmes,fr Ligue 1,28,28.0,552,302,235,258,59,249,599,41.6,350,272,75,197,329,881,469,6
66,Norwich City,eng Premier League,30,38.0,628,379,359,210,59,267,700,38.1,433,453,171,282,397,1025,959,20
67,Osasuna,es La Liga,31,38.0,613,361,275,267,71,267,617,43.3,350,385,98,287,417,1030,738,19
68,Paderborn 07,de Bundesliga,27,34.0,632,400,354,221,57,301,722,41.7,421,435,111,324,364,996,747,9
69,Paris S-G,fr Ligue 1,31,27.0,484,295,191,220,73,191,473,40.4,282,258,57,201,255,739,303,13
70,Parma,it Serie A,25,38.0,615,348,329,228,58,282,708,39.8,426,423,177,246,394,1009,859,14
71,RB Leipzig,de Bundesliga,29,34.0,616,361,280,251,85,258,624,41.3,366,397,86,311,364,980,610,16
72,Real Madrid,es La Liga,26,38.0,586,355,252,253,81,226,595,38.0,369,367,77,290,381,967,590,13
73,Real Sociedad,es La Liga,27,38.0,551,321,254,224,73,252,573,44.0,321,346,79,267,320,871,694,12
74,Reims,fr Ligue 1,26,28.0,490,324,259,185,46,184,401,45.9,217,228,72,156,325,815,514,8
75,Rennes,fr Ligue 1,26,28.0,501,296,251,205,45,218,533,40.9,315,277,96,181,272,773,594,7
76,Roma,it Serie A,31,38.0,493,303,202,203,88,197,503,39.2,306,347,107,240,400,893,644,15
77,Saint-Étienne,fr Ligue 1,31,28.0,512,318,212,238,62,219,508,43.1,289,267,63,204,376,888,478,15
78,Sampdoria,it Serie A,31,38.0,584,354,267,224,93,230,605,38.0,375,397,116,281,396,980,778,5
79,Sassuolo,it Serie A,31,38.0,553,332,273,211,69,249,556,44.8,307,392,130,262,348,901,666,9
80,Schalke 04,de Bundesliga,29,34.0,589,361,268,242,79,255,625,40.8,370,474,118,356,407,996,656,15
81,Sevilla,es La Liga,26,38.0,587,344,274,246,67,261,661,39.5,400,331,94,237,346,933,704,10
82,Sheffield Utd,eng Premier League,26,38.0,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16
83,Southampton,eng Premier League,25,38.0,706,416,325,287,94,324,793,40.9,469,488,124,364,425,1131,867,21
84,SPAL,it Serie A,34,38.0,554,327,299,197,58,222,571,38.9,349,390,170,220,394,948,748,15
85,Strasbourg,fr Ligue 1,25,27.0,472,293,234,193,45,189,403,46.9,214,198,51,147,301,773,436,11
86,Torino,it Serie A,27,38.0,572,314,266,236,70,212,549,38.6,337,433,160,273,495,1067,875,14
87,Tottenham,eng Premier League,29,38.0,665,415,331,281,53,253,681,37.2,428,441,148,293,381,1046,894,24
88,Toulouse,fr Ligue 1,30,28.0,549,346,270,227,52,220,508,43.3,288,252,77,175,320,869,592,13
89,Udinese,it Serie A,25,38.0,597,340,329,214,54,253,593,42.7,340,434,153,281,375,972,789,13
90,Union Berlin,de Bundesliga,26,34.0,550,322,265,220,65,213,565,37.7,352,396,124,272,421,971,775,8
91,Valencia,es La Liga,28,38.0,500,311,270,173,57,232,589,39.4,357,334,130,204,360,860,748,12
92,Valladolid,es La Liga,30,38.0,568,327,316,204,48,239,672,35.6,433,391,112,279,390,958,749,13
93,Villarreal,es La Liga,25,38.0,553,323,250,239,64,218,602,36.2,384,362,116,246,339,892,814,12
94,Watford,eng Premier League,26,38.0,657,369,347,249,61,267,713,37.4,446,396,135,261,424,1081,869,4
95,Werder Bremen,de Bundesliga,30,34.0,550,345,285,199,66,216,573,37.7,357,369,123,246,423,973,775,11
96,West Ham,eng Premier League,29,38.0,696,417,374,263,59,300,745,40.3,445,383,117,266,421,1117,789,16
97,Wolfsburg,de Bundesliga,26,34.0,598,363,277,247,74,241,589,40.9,348,378,87,291,377,975,649,9
98,Wolves,eng Premier League,21,38.0,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23
