Rk,Squad,Comp,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
83,Southampton,eng Premier League,25,38.0,16941,15115,1784,411,43,81,711,750,233,106,105,4,12505,42,343
84,Spezia,it Serie A,30,38.0,15503,13609,1817,509,32,92,534,731,152,76,58,2,11650,77,318
85,Strasbourg,fr Ligue 1,26,38.0,18653,16798,1794,449,47,212,797,807,180,37,121,2,14576,61,296
86,Stuttgart,de Bundesliga,34,34.0,17353,15564,1736,452,42,192,550,762,148,29,98,1,13753,53,305
87,Torino,it Serie A,31,38.0,18082,16280,1718,519,28,118,663,699,168,80,55,0,13943,84,331
88,Tottenham,eng Premier League,25,38.0,20696,18976,1658,430,88,133,632,676,193,78,62,0,17204,62,332
89,Troyes,fr Ligue 1,35,38.0,16828,14916,1859,534,26,163,708,750,161,113,35,0,13093,53,313
90,Udinese,it Serie A,29,38.0,15251,13384,1789,523,37,80,519,688,187,64,75,1,11650,78,297
91,Union Berlin,de Bundesliga,28,34.0,14818,13166,1588,366,31,59,663,742,138,49,71,2,10673,64,325
92,Valencia,es La Liga,34,38.0,13777,11686,2039,664,32,227,765,811,175,73,63,3,9627,52,289
93,Venezia,it Serie A,39,38.0,15320,13487,1772,493,27,113,585,714,123,57,54,0,11575,61,335
94,Villarreal,es La Liga,29,38.0,20401,18435,1875,582,90,166,574,737,200,92,44,2,16679,91,396
95,Watford,eng Premier League,30,38.0,14641,12800,1788,394,35,101,610,808,161,90,50,4,10423,53,317
96,West Ham,eng Premier League,25,38.0,18378,16647,1672,309,29,146,802,770,200,135,43,1,14326,59,353
97,Wolfsburg,de Bundesliga,30,34.0,16439,14701,1664,455,44,153,619,721,147,100,34,1,12596,74,289
98,Wolves,eng Premier League,26,38.0,19103,17380,1662,420,58,151,587,718,168,41,86,6,15253,61,329
