Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
80,Salernitana,it Serie A,39,38.0,699,18.39,515,68,24,48,30,14,52,1.37,35,6,3,6,2,0
81,Sassuolo,it Serie A,30,38.0,825,21.71,620,62,45,49,38,11,73,1.92,50,4,1,8,8,2
82,Sevilla,es La Liga,35,38.0,874,23.0,641,94,42,40,45,12,84,2.21,62,6,6,5,2,3
83,Sheffield Utd,eng Premier League,35,38.0,601,15.82,425,59,39,45,22,11,48,1.26,32,2,4,6,3,1
84,Strasbourg,fr Ligue 1,30,34.0,638,18.76,449,53,52,31,36,17,61,1.79,30,7,7,9,6,2
85,Stuttgart,de Bundesliga,27,34.0,960,28.24,738,52,65,60,27,18,138,4.06,108,2,14,9,4,1
86,Torino,it Serie A,30,38.0,764,20.11,563,74,32,47,36,12,63,1.66,46,4,4,4,3,2
87,Tottenham,eng Premier League,29,38.0,1053,27.71,818,60,60,61,31,23,122,3.21,96,7,7,5,3,4
88,Toulouse,fr Ligue 1,26,34.0,694,20.41,475,66,40,52,37,24,76,2.24,55,6,1,5,8,1
89,Udinese,it Serie A,32,38.0,793,20.87,528,84,50,68,46,17,63,1.66,39,3,6,9,5,1
90,Union Berlin,de Bundesliga,30,34.0,702,20.65,484,87,36,51,29,15,60,1.76,38,6,7,4,4,1
91,Valencia,es La Liga,29,38.0,670,17.63,478,66,38,29,42,17,66,1.74,47,3,5,5,6,0
92,Villarreal,es La Liga,32,38.0,855,22.5,624,76,53,56,30,16,111,2.92,77,9,4,15,5,1
93,Werder Bremen,de Bundesliga,30,34.0,721,21.21,550,56,33,36,36,10,82,2.41,61,5,3,5,8,0
94,West Ham,eng Premier League,26,38.0,782,20.58,518,91,58,43,47,25,104,2.74,70,11,8,8,4,3
95,Wolfsburg,de Bundesliga,28,34.0,724,21.29,544,56,32,50,38,4,73,2.15,58,1,3,8,3,0
96,Wolves,eng Premier League,27,38.0,743,19.55,519,67,53,47,42,15,81,2.13,52,7,7,6,7,2
