Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
it Napoli,1,10.0,8,1,0,2,0,11.4,0.33,+3.4,+0.34,21,47,44.7,245,48,15.5,24.8,70,12.9,21.0,129,7,5.4,11,1.10,13.6
fr Paris S-G,1,8.0,10,1,0,2,1,10.1,0.26,+1.1,+0.13,13,42,31.0,174,41,19.0,25.1,64,14.1,19.9,99,2,2.0,8,1.00,13.3
pt Porto,1,8.0,8,1,0,1,1,10.7,0.18,+3.7,+0.46,56,147,38.1,320,44,37.2,36.1,58,48.3,40.3,117,9,7.7,8,1.00,13.6
sct Rangers,2,6.0,22,2,1,3,0,18.2,0.30,-3.8,-0.64,31,105,29.5,168,25,42.9,35.7,57,57.9,46.8,67,2,3.0,7,1.17,20.2
de RB Leipzig,2,8.0,17,2,0,3,0,14.4,0.35,-2.6,-0.33,14,52,26.9,277,34,16.6,25.4,48,12.5,24.4,92,6,6.5,5,0.63,17.8
at RB Salzburg,1,6.0,9,0,0,2,0,9.4,0.31,+0.4,+0.07,29,73,39.7,111,11,54.1,42.4,32,40.6,39.9,89,2,2.2,8,1.33,16.2
es Real Madrid,2,12.0,13,0,1,2,0,18.6,0.31,+5.6,+0.47,26,95,27.4,322,80,22.0,30.0,91,26.4,29.5,147,10,6.8,8,0.67,11.5
es Sevilla,2,6.0,12,0,0,1,0,10.1,0.36,-1.9,-0.32,29,86,33.7,226,23,25.2,28.5,55,52.7,42.4,73,8,11.0,4,0.67,11.4
ua Shakhtar,1,6.0,10,0,0,0,2,9.0,0.25,+1.0,+0.17,22,71,31.0,172,25,24.4,27.0,87,33.3,31.3,122,4,3.3,2,0.33,8.7
pt Sporting CP,2,6.0,9,2,0,2,0,10.6,0.31,+1.6,+0.27,26,107,24.3,229,40,29.7,32.4,60,65.0,42.9,105,11,10.5,3,0.50,5.3
eng Tottenham,2,8.0,7,0,0,3,0,9.9,0.37,+2.9,+0.36,23,47,48.9,179,46,20.7,26.6,52,19.2,25.9,96,6,6.3,16,2.00,25.0
cz Viktoria Plzeň,2,6.0,24,0,0,1,0,23.0,0.43,-1.0,-0.17,54,118,45.8,132,24,56.8,43.0,59,72.9,52.1,79,2,2.5,8,1.33,9.3
