Squad,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
dk FC Copenhagen,25,6.0,1950,2478,78.7,34295,11982,866,1006,86.1,826,937,88.2,199,395,50.4,1,3.5,3.3,-2.5,38,127,27,6,142
it Inter,22,13.0,4784,6011,79.6,91946,34311,1943,2202,88.2,2179,2534,86.0,599,1002,59.8,17,14.3,13.4,+2.7,123,336,93,32,440
it Juventus,26,6.0,2553,3100,82.4,47736,16403,1039,1173,88.6,1132,1291,87.7,322,485,66.4,8,7.0,4.9,+1.0,58,239,48,15,277
de Leverkusen,20,6.0,2663,3241,82.2,45432,16050,1277,1436,88.9,1104,1246,88.6,227,407,55.8,4,6.3,6.1,-2.3,60,208,55,9,260
eng Liverpool,25,8.0,3786,4628,81.8,64379,23190,1749,1959,89.3,1502,1742,86.2,364,609,59.8,15,10.8,11.7,+4.2,103,305,101,16,407
il Maccabi Haifa,20,6.0,2173,2698,80.5,36803,13241,1066,1208,88.2,829,967,85.7,211,351,60.1,6,5.2,4.5,+0.8,64,150,41,11,213
eng Manchester City,23,13.0,7695,8736,88.1,133458,36726,3649,3894,93.7,3242,3523,92.0,695,977,71.1,23,17.8,17.0,+5.2,164,648,128,30,644
fr Marseille,19,6.0,3072,3647,84.2,55131,15761,1258,1394,90.2,1381,1571,87.9,327,480,68.1,6,5.3,4.9,+0.7,54,306,46,11,324
it Milan,23,12.0,4306,5392,79.9,80341,29115,1785,2076,86.0,1823,2081,87.6,572,909,62.9,9,11.3,11.0,-2.3,99,311,77,26,378
it Napoli,22,10.0,4938,5849,84.4,79554,26691,2449,2670,91.7,1963,2251,87.2,332,550,60.4,20,15.7,15.1,+4.3,136,326,89,20,419
fr Paris S-G,21,8.0,4570,5187,88.1,68541,22084,2466,2666,92.5,1536,1695,90.6,301,434,69.4,12,7.1,8.6,+4.9,70,311,89,8,352
pt Porto,24,8.0,2857,3703,77.2,51436,19403,1289,1491,86.5,1168,1377,84.8,327,616,53.1,7,10.6,8.6,-3.6,85,173,60,16,249
sct Rangers,22,6.0,1850,2452,75.4,33043,11529,844,985,85.7,773,907,85.2,194,424,45.8,1,2.7,2.3,-1.7,30,118,20,13,139
de RB Leipzig,22,8.0,3767,4438,84.9,63764,20326,1746,1925,90.7,1584,1763,89.8,310,497,62.4,12,10.2,10.2,+1.8,74,270,88,17,336
at RB Salzburg,19,6.0,1527,2223,68.7,26035,11972,750,945,79.4,543,748,72.6,168,375,44.8,3,5.9,4.8,-2.9,58,127,43,13,171
es Real Madrid,22,12.0,6655,7601,87.6,103798,32798,3537,3797,93.2,2321,2559,90.7,497,770,64.5,21,17.2,19.1,+3.8,147,496,104,22,494
es Sevilla,24,6.0,2635,3189,82.6,48400,15877,1123,1253,89.6,1204,1360,88.5,277,461,60.1,5,4.0,4.4,+1.0,50,161,43,9,233
ua Shakhtar,20,6.0,2461,2927,84.1,41792,14439,1188,1289,92.2,1018,1134,89.8,209,374,55.9,7,3.0,3.1,+4.0,32,100,18,4,140
pt Sporting CP,25,6.0,2250,2812,80.0,40741,13062,956,1087,87.9,1031,1173,87.9,224,435,51.5,5,3.0,2.5,+2.0,33,95,20,4,139
eng Tottenham,25,8.0,3459,4270,81.0,60303,21384,1551,1767,87.8,1504,1737,86.6,316,529,59.7,7,7.5,8.5,-0.5,71,268,67,16,355
cz Viktoria Plzeň,22,6.0,1328,1806,73.5,26820,13246,535,638,83.9,551,659,83.6,205,387,53.0,4,3.5,3.8,+0.5,46,129,40,17,127
