Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90
85,Sunderland,eng Premier League,31,27.3,38,3420,90,100,38.0,418,,,105,0,161,1.03,48,62,-14,-0.37
86,Swansea City,eng Premier League,27,27.6,38,3420,90,100,38.0,418,,,109,0,157,1.24,42,52,-10,-0.26
87,Torino,it Serie A,27,27.6,38,3420,90,100,38.0,418,,,109,0,277,1.18,52,55,-3,-0.08
88,Tottenham,eng Premier League,24,24.5,38,3420,90,100,38.0,418,,,106,0,160,1.84,69,35,34,0.89
89,Toulouse,fr Ligue 1,25,23.8,38,3420,90,100,38.0,418,,,113,0,154,1.05,45,55,-10,-0.26
90,Troyes,fr Ligue 1,33,26.5,38,3420,90,100,38.0,418,,,114,0,153,0.47,28,83,-55,-1.45
91,Udinese,it Serie A,28,27.6,38,3420,90,100,38.0,418,,,113,0,341,1.03,35,60,-25,-0.66
92,Valencia,es La Liga,30,24.7,38,3420,90,100,38.0,419,83.0,298.0,114,25,153,1.16,46,48,-2,-0.05
93,Villarreal,es La Liga,26,25.3,38,3420,90,100,38.0,418,83.0,305.0,110,25,157,1.68,44,35,9,0.24
94,Watford,eng Premier League,25,28.2,38,3420,90,100,38.0,418,,,102,0,164,1.18,40,50,-10,-0.26
95,Werder Bremen,de Bundesliga,30,26.6,34,3060,90,100,34.0,374,,,96,0,141,1.12,50,65,-15,-0.44
96,West Brom,eng Premier League,28,29.1,38,3420,90,100,38.0,418,,,101,0,166,1.13,34,48,-14,-0.37
97,West Ham,eng Premier League,28,26.6,38,3420,90,100,38.0,418,,,111,0,155,1.63,65,51,14,0.37
98,Wolfsburg,de Bundesliga,29,27.0,34,3060,90,100,34.0,374,,,96,0,139,1.32,47,49,-2,-0.06
