Rk,Squad,Comp,Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_GPK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_GPK,Per_90_Minutes_G+APK,Season,Competition,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl_2,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxGSoT,Expected_PSxG+,Expected_90,Launched_Cmp,Launched_Att,Launched_Cmp_2,Passes_Att_GK,Passes_Thr,Passes_Launch,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp_2,Sweeper_OPA,Sweeper_OPA90,Sweeper_AvgDist,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS_2,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Total_Cmp,Total_Att,Total_Cmp_2,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp_2,Medium_Cmp,Medium_Att,Medium_Cmp_2,Long_Cmp,Long_Att,Long_Cmp_2,Ast,AxAG,KP,13,PPA,CrsPA,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Playing_Time_MnMP,Playing_Time_Min_2,Starts_Starts,Starts_MnStart,Starts_Compl,Subs_Subs,Subs_MnSub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+,Team_Success_+90,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,TakeOns_Att,TakeOns_Succ,TakeOns_Succ_2,TakeOns_Tkld,TakeOns_Tkld_2,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_13,Carries_CPA,Carries_Mis,Carries_Dis,Rec,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT_2,Standard_Sh90,Standard_SoT90,Standard_GSh,Standard_GSoT,Standard_Dist,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won_2,xAG,Expected_xA,Expected_AxAG,PrgP,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+,Team_Success_xG_xG+90,Carries_PrgC,Receiving_Rec,Receiving_PrgR,Standard_FK,Expected_npxGSh,Expected_GxG,Expected_npGxG
,Atlético Madrid,es La Liga,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0.76,95.0,66.0,69.5,23.0,9.0,6.0,19.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Atlético Madrid,es La Liga,25,27.5,48.6,38.0,418.0,3420.0,38.0,65.0,48.0,113.0,60.0,5.0,6.0,118.0,0.0,1.71,1.26,2.97,1.58,2.84,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.0,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,107.0,0.0,159.0,2.05,67.0,29.0,38.0,1.0,,,,,,,,,,,,,,,,,,,,,65.0,,197.0,,,5.18,,0.3,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Augsburg,de Bundesliga,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,43.0,1.26,162.0,119.0,73.5,15.0,4.0,15.0,10.0,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Augsburg,de Bundesliga,25,27.6,52.3,34.0,374.0,3060.0,34.0,43.0,29.0,72.0,36.0,7.0,9.0,63.0,0.0,1.26,0.85,2.12,1.06,1.91,2014-2015,Big 5 European Leagues,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,374.0,,,100.0,0.0,137.0,1.44,43.0,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,43.0,,150.0,,,4.41,,0.24,,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barcelona,es La Liga,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.55,91.0,70.0,76.9,30.0,4.0,4.0,23.0,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Barcelona,es La Liga,24,27.7,65.7,38.0,418.0,3420.0,38.0,107.0,79.0,186.0,101.0,6.0,7.0,69.0,0.0,2.82,2.08,4.89,2.66,4.74,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,107.0,0.0,159.0,2.47,110.0,21.0,89.0,2.34,,,,,,,,,,,,,,,,,,,,,107.0,,291.0,,,7.66,,0.35,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bastia,fr Ligue 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,46.0,1.21,154.0,108.0,70.1,12.0,11.0,15.0,12.0,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Bastia,fr Ligue 1,31,27.2,48.9,38.0,418.0,3420.0,38.0,35.0,20.0,55.0,30.0,5.0,5.0,80.0,0.0,0.92,0.53,1.45,0.79,1.32,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,95.0,0.0,169.0,1.24,37.0,46.0,-9.0,-0.24,,,,,,,,,,,,,,,,,,,,,35.0,,119.0,,,3.13,,0.25,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bayern Munich,de Bundesliga,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.53,99.0,81.0,81.8,25.0,4.0,5.0,22.0,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Bayern Munich,de Bundesliga,28,26.6,70.4,34.0,374.0,3060.0,34.0,78.0,49.0,127.0,72.0,6.0,6.0,37.0,0.0,2.29,1.44,3.74,2.12,3.56,2014-2015,Big 5 European Leagues,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.0,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,374.0,,,98.0,0.0,135.0,2.32,80.0,18.0,62.0,1.82,,,,,,,,,,,,,,,,,,,,,78.0,,251.0,,,7.38,,0.29,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bordeaux,fr Ligue 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,44.0,1.16,140.0,96.0,68.6,17.0,12.0,9.0,9.0,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Bordeaux,fr Ligue 1,30,26.2,52.8,38.0,418.0,3420.0,38.0,46.0,34.0,80.0,38.0,8.0,8.0,66.0,0.0,1.21,0.89,2.11,1.0,1.89,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.0,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,110.0,0.0,154.0,1.66,47.0,44.0,3.0,0.08,,,,,,,,,,,,,,,,,,,,,46.0,,160.0,,,4.21,,0.24,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burnley,eng Premier League,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,53.0,1.39,178.0,125.0,70.2,7.0,12.0,19.0,10.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Burnley,eng Premier League,24,27.2,42.5,38.0,418.0,3420.0,38.0,27.0,22.0,49.0,26.0,1.0,2.0,66.0,0.0,0.71,0.58,1.29,0.68,1.26,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,88.0,0.0,176.0,0.87,28.0,53.0,-25.0,-0.66,,,,,,,,,,,,,,,,,,,,,27.0,,124.0,,,3.26,,0.21,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caen,fr Ligue 1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1.45,177.0,122.0,68.9,12.0,10.0,16.0,7.0,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Caen,fr Ligue 1,23,27.2,45.2,38.0,418.0,3420.0,38.0,51.0,34.0,85.0,45.0,6.0,6.0,45.0,0.0,1.34,0.89,2.24,1.18,2.08,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,104.0,0.0,160.0,1.21,54.0,55.0,-1.0,-0.03,,,,,,,,,,,,,,,,,,,,,51.0,,156.0,,,4.11,,0.29,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cagliari,it Serie A,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,68.0,1.79,186.0,118.0,63.4,8.0,10.0,20.0,4.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Cagliari,it Serie A,29,25.7,48.2,38.0,418.0,3420.0,38.0,45.0,31.0,76.0,41.0,4.0,7.0,115.0,0.0,1.18,0.82,2.0,1.08,1.89,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.0,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,109.0,0.0,298.0,0.89,48.0,68.0,-20.0,-0.53,,,,,,,,,,,,,,,,,,,,,45.0,,193.0,,,5.08,,0.21,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Celta Vigo,es La Liga,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,44.0,1.16,148.0,104.0,70.3,13.0,12.0,13.0,10.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Celta Vigo,es La Liga,23,26.3,55.9,38.0,418.0,3420.0,38.0,47.0,33.0,80.0,43.0,4.0,6.0,120.0,0.0,1.24,0.87,2.11,1.13,2.0,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.0,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,110.0,0.0,158.0,1.34,47.0,44.0,3.0,0.08,,,,,,,,,,,,,,,,,,,,,47.0,,177.0,,,4.66,,0.24,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cesena,it Serie A,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,73.0,1.92,197.0,124.0,62.9,4.0,12.0,22.0,4.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
