Rk,Squad,Comp,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
33,Freiburg,de Bundesliga,27,48.1,34.0,19068,2247,6546,8368,4296,723,19060,483,216,44.7,200,41.4,10112,53575,25969,427,297,108,444,240,11445,1027
34,Fulham,eng Premier League,29,48.8,38.0,22162,2563,7462,9525,5416,758,22153,607,281,46.3,238,39.2,12252,68216,35374,663,474,124,535,379,13848,1316
35,Getafe,es La Liga,25,39.9,38.0,17948,1980,5769,8366,3993,589,17940,456,217,47.6,189,41.4,8695,41814,20506,365,292,78,504,268,9605,989
36,Girona,es La Liga,29,51.3,38.0,22398,2619,7919,9753,4932,761,22389,728,341,46.8,311,42.7,13365,73974,38669,725,497,167,467,330,15020,1364
37,Gladbach,de Bundesliga,27,53.7,34.0,22583,2744,8415,10217,4133,720,22577,548,240,43.8,226,41.2,13046,62465,31728,518,396,143,493,304,15408,1159
38,Hellas Verona,it Serie A,36,41.2,38.0,18056,2231,6320,7844,4147,636,18055,627,274,43.7,275,43.9,8665,47590,22382,503,359,103,577,329,9350,1051
39,Hertha BSC,de Bundesliga,32,42.0,34.0,17023,2095,6263,7457,3531,612,17016,711,323,45.4,316,44.4,8139,43026,19959,413,269,132,521,301,8796,905
40,Hoffenheim,de Bundesliga,31,48.3,34.0,19434,2364,6926,8417,4271,705,19425,577,249,43.2,268,46.4,10627,53164,25890,457,330,138,551,258,11634,1168
41,Inter,it Serie A,25,55.7,38.0,25128,2720,8300,11127,5922,953,25123,494,216,43.7,200,40.5,14972,75152,38723,668,492,141,505,261,17526,1613
42,Juventus,it Serie A,29,49.6,38.0,22810,2432,7514,10435,5077,817,22804,625,291,46.6,255,40.8,12888,66636,34490,673,496,145,583,350,15118,1389
43,Köln,de Bundesliga,27,49.9,34.0,20320,2232,7198,8697,4630,751,20316,521,226,43.4,236,45.3,11017,58246,28164,522,383,117,485,287,12123,1240
44,Lazio,it Serie A,24,52.1,38.0,25453,2536,8100,12315,5243,769,25445,612,285,46.6,239,39.1,14379,73160,36610,683,484,182,528,290,18009,1368
45,Lecce,it Serie A,29,41.3,38.0,18839,2129,6291,8105,4660,606,18833,559,240,42.9,245,43.8,9286,51693,25319,514,366,119,626,329,9976,1219
46,Leeds United,eng Premier League,29,47.0,38.0,21642,2125,6971,9290,5587,796,21639,689,269,39.0,328,47.6,11343,55029,27060,555,379,146,602,421,12330,1418
47,Leicester City,eng Premier League,28,47.7,38.0,23124,2681,8409,10293,4641,688,23118,623,294,47.2,245,39.3,12503,63356,31619,580,363,175,548,313,14797,1294
48,Lens,fr Ligue 1,29,55.6,38.0,24935,2026,6456,12750,5964,841,24926,666,326,48.9,255,38.3,19150,112844,52786,738,732,160,526,302,17645,1821
49,Leverkusen,de Bundesliga,27,52.0,34.0,21877,2184,7160,10575,4338,702,21870,714,352,49.3,268,37.5,12070,67165,36395,678,469,187,524,327,14558,1232
50,Lille,fr Ligue 1,26,60.5,38.0,26767,2074,7054,13386,6573,1010,26755,826,400,48.4,330,40.0,20538,112069,52803,798,705,206,537,398,19056,1959
51,Liverpool,eng Premier League,28,60.8,38.0,28398,2310,8119,13329,7149,1252,28394,693,323,46.6,281,40.5,17148,82470,41527,719,569,234,584,413,19921,1974
52,Lorient,fr Ligue 1,30,46.6,38.0,22605,2854,8346,10039,4473,695,22599,916,406,44.3,388,42.4,16379,97993,47864,753,592,175,596,332,14727,1322
53,Lyon,fr Ligue 1,29,58.1,38.0,27048,2207,7251,13396,6634,1041,27040,895,398,44.5,401,44.8,20488,110348,50615,709,719,233,618,371,18817,1868
54,Mainz 05,de Bundesliga,27,44.8,34.0,18471,1946,6200,8219,4257,780,18465,495,224,45.3,220,44.4,9265,44936,20625,364,275,106,552,251,9946,1139
55,Mallorca,es La Liga,31,41.1,38.0,18171,2351,6553,8032,3792,524,18166,556,293,52.7,198,35.6,9509,50982,24564,476,341,94,498,302,10356,935
56,Manchester City,eng Premier League,24,64.7,38.0,29895,2170,7410,14372,8301,1277,29885,704,336,47.7,239,33.9,19122,104099,56216,988,754,279,406,298,22992,2054
57,Manchester Utd,eng Premier League,26,53.7,38.0,24847,2639,8093,10389,6569,1036,24844,730,317,43.4,338,46.3,14245,70351,37126,711,515,239,497,293,16447,1578
58,Marseille,fr Ligue 1,30,56.7,38.0,24839,2007,6525,11697,6878,1000,24832,743,357,48.0,320,43.1,18366,107143,52090,759,639,172,598,360,16633,1895
59,Milan,it Serie A,30,55.6,38.0,23856,2177,7373,11143,5617,891,23851,800,368,46.0,324,40.5,13802,78895,41728,795,584,182,595,320,15792,1576
60,Monaco,fr Ligue 1,27,48.2,38.0,22398,2069,5963,10799,5891,918,22390,678,318,46.9,283,41.7,15973,91223,44561,719,590,183,550,345,14273,1802
61,Montpellier,fr Ligue 1,31,45.8,38.0,20469,2351,6847,9513,4378,670,20462,780,338,43.3,321,41.2,13886,80186,37309,556,494,150,594,362,12321,1243
62,Monza,it Serie A,31,55.2,38.0,24603,2753,8855,11185,4768,680,24597,596,282,47.3,237,39.8,14329,79216,38961,708,500,152,575,309,17052,1350
63,Nantes,fr Ligue 1,29,45.9,38.0,21497,2310,6504,10417,4849,726,21492,788,378,48.0,333,42.3,14771,86725,40556,705,483,154,553,350,13142,1547
64,Napoli,it Serie A,27,61.8,38.0,28410,2012,7168,13935,7548,1084,28400,798,337,42.2,361,45.2,17977,89551,46645,907,663,237,566,339,20948,1789
65,Newcastle Utd,eng Premier League,27,52.3,38.0,22106,2088,6757,9053,6516,1161,22100,784,350,44.6,322,41.1,12023,64186,32987,695,493,228,576,363,13803,1599
66,Nice,fr Ligue 1,34,51.5,38.0,25011,2520,8118,11897,5306,801,25004,822,420,51.1,330,40.1,18764,107128,51614,774,663,168,547,384,17175,1517
67,Nott'ham Forest,eng Premier League,33,37.6,38.0,17911,2715,7420,6953,3755,611,17905,572,258,45.1,234,40.9,8674,46411,24020,436,308,111,537,275,9452,847
68,Osasuna,es La Liga,26,48.0,38.0,20888,2287,6397,9352,5331,709,20883,626,313,50.0,247,39.5,11200,58264,28888,545,416,128,590,316,12580,1338
69,Paris S-G,fr Ligue 1,26,60.7,38.0,30202,2265,7245,15502,7723,1130,30195,976,454,46.5,423,43.3,24951,129073,62262,810,842,238,445,392,23544,2015
70,Rayo Vallecano,es La Liga,28,51.2,38.0,21773,2061,6266,9706,6029,699,21765,660,296,44.8,290,43.9,12216,65376,33507,703,547,131,554,374,13384,1377
71,RB Leipzig,de Bundesliga,25,58.1,34.0,24322,2220,7782,11436,5327,834,24315,697,345,49.5,270,38.7,15273,73350,36506,599,440,168,525,316,16801,1437
72,Real Madrid,es La Liga,26,60.9,38.0,28884,2415,7782,12859,8463,1151,28872,971,475,48.9,379,39.0,19026,100306,53191,1008,734,338,490,297,21956,2000
73,Real Sociedad,es La Liga,30,54.6,38.0,23231,2283,6890,10794,5762,798,23227,680,307,45.1,293,43.1,13362,70912,36738,692,499,187,607,368,15101,1463
74,Reims,fr Ligue 1,34,48.7,38.0,22018,2275,6937,10012,5357,823,22010,800,347,43.4,370,46.3,15457,92007,44472,712,535,187,675,379,13524,1704
75,Rennes,fr Ligue 1,32,55.4,38.0,25212,2030,6550,12749,6163,1000,25209,784,410,52.3,308,39.3,19035,109626,51641,774,709,208,565,337,17479,1906
76,Roma,it Serie A,30,48.6,38.0,21862,2055,7183,10374,4566,789,21852,677,274,40.5,315,46.5,12407,68172,34789,684,490,170,559,318,14018,1198
77,Salernitana,it Serie A,30,44.9,38.0,20527,2604,7592,9096,4060,495,20525,599,264,44.1,261,43.6,11169,57765,27404,519,409,86,564,303,12529,1076
78,Sampdoria,it Serie A,40,46.1,38.0,20460,2511,7278,9134,4272,585,20458,543,260,47.9,222,40.9,11329,55044,26171,466,354,82,572,335,12492,1118
79,Sassuolo,it Serie A,31,49.2,38.0,22100,2484,7486,9584,5249,817,22090,653,299,45.8,270,41.3,13042,71240,36974,761,527,204,533,364,14664,1552
80,Schalke 04,de Bundesliga,35,46.0,34.0,17260,2252,6541,7024,3912,677,17255,515,198,38.4,250,48.5,8384,42807,19961,415,295,66,513,274,9126,928
81,Sevilla,es La Liga,35,52.6,38.0,22999,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13544,67136,32550,558,520,122,515,312,15243,1497
82,Southampton,eng Premier League,36,44.5,38.0,21094,2639,7453,8997,4879,712,21090,760,362,47.6,318,41.8,11323,61002,29821,588,452,131,567,401,12216,1112
83,Spezia,it Serie A,34,47.4,38.0,20952,2701,7867,8357,4959,692,20948,653,278,42.6,304,46.6,10996,60775,29636,553,397,114,659,366,12304,1156
84,Strasbourg,fr Ligue 1,29,45.9,38.0,21567,2088,6402,10381,5043,755,21560,708,340,48.0,277,39.1,14701,85310,39876,610,604,131,589,313,13215,1340
85,Stuttgart,de Bundesliga,30,50.2,34.0,20930,2407,7525,9226,4438,738,20925,734,337,45.9,319,43.5,11707,63068,31698,609,440,161,563,336,13345,1261
86,Torino,it Serie A,28,53.2,38.0,23243,2286,7273,10798,5380,733,23241,668,303,45.4,276,41.3,13094,71281,34612,684,527,182,618,314,15247,1317
87,Tottenham,eng Premier League,29,50.0,38.0,23836,2734,8571,10329,5135,842,23830,666,306,45.9,288,43.2,13679,71290,36842,692,465,189,521,356,15864,1436
88,Toulouse,fr Ligue 1,29,51.3,38.0,23432,2448,7418,10853,5373,773,23428,668,283,42.4,302,45.2,16785,92186,43533,648,533,150,554,303,15271,1723
89,Troyes,fr Ligue 1,32,42.6,38.0,20380,2819,7826,8833,3993,590,20375,792,365,46.1,347,43.8,14238,84027,38482,638,481,144,531,341,12642,1224
90,Udinese,it Serie A,30,48.0,38.0,21183,2463,7415,9101,4912,849,21181,770,330,42.9,350,45.5,12105,65755,33221,646,461,163,641,336,13268,1344
91,Union Berlin,de Bundesliga,28,43.8,34.0,17952,2108,6656,7246,4222,622,17945,415,182,43.9,180,43.4,9245,45321,21951,375,228,90,435,244,10177,990
92,Valencia,es La Liga,28,52.0,38.0,21620,2061,6446,9155,6255,822,21612,747,352,47.1,307,41.1,12240,69474,37665,786,630,165,555,338,13469,1457
93,Valladolid,es La Liga,36,48.7,38.0,20748,2571,7370,9027,4583,638,20744,718,309,43.0,318,44.3,11499,64338,32319,610,451,147,589,316,12521,1233
94,Villarreal,es La Liga,32,56.9,38.0,23818,2621,7659,10215,6181,911,23811,880,435,49.4,345,39.2,14393,81383,45453,846,570,239,552,343,16363,1617
95,Werder Bremen,de Bundesliga,25,49.3,34.0,20465,2390,7294,9382,3965,671,20459,516,233,45.2,228,44.2,10736,52169,25197,412,317,104,503,246,12329,1130
96,West Ham,eng Premier League,25,42.1,38.0,20411,2362,6898,8704,4993,756,20403,615,250,40.7,266,43.3,10540,57451,28247,615,413,166,458,357,12256,1266
97,Wolfsburg,de Bundesliga,28,50.6,34.0,20053,2304,7013,8781,4423,694,20046,600,256,42.7,268,44.7,11350,55720,28117,455,301,103,560,272,12444,1294
98,Wolves,eng Premier League,32,49.9,38.0,22539,2921,8544,9264,4960,686,22536,782,385,49.2,302,38.6,12374,67241,35071,610,421,142,516,326,14453,1332
