Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
20,Chievo,it Serie A,29,38.0,88,3.0,3,565,535,103,722,536,463,6,6,1
21,Crotone,it Serie A,31,38.0,93,3.0,3,584,478,111,748,620,533,3,10,0
22,Crystal Palace,eng Premier League,31,38.0,79,0.0,0,471,470,57,880,575,521,6,2,0
23,Darmstadt 98,de Bundesliga,31,34.0,76,5.0,5,496,450,87,446,688,484,6,8,2
24,Dijon,fr Ligue 1,27,38.0,74,3.0,3,493,472,80,698,628,600,3,11,1
25,Dortmund,de Bundesliga,27,34.0,57,,1,334,550,81,468,566,432,5,2,1
26,Eibar,es La Liga,24,38.0,96,7.0,2,522,385,92,920,676,526,6,6,1
27,Eint Frankfurt,de Bundesliga,26,34.0,86,1.0,1,527,468,69,518,849,436,5,4,1
28,Empoli,it Serie A,29,38.0,107,0.0,0,535,609,94,752,529,471,4,11,2
29,Espanyol,es La Liga,27,38.0,82,2.0,2,572,497,62,674,607,583,3,2,1
30,Everton,eng Premier League,27,38.0,74,1.0,1,457,419,83,775,472,557,3,5,1
31,Fiorentina,it Serie A,30,38.0,98,3.0,3,537,535,87,833,504,434,7,6,0
32,Freiburg,de Bundesliga,25,34.0,56,0.0,0,429,468,58,351,566,471,8,6,0
33,Genoa,it Serie A,33,38.0,97,4.0,4,625,450,86,917,526,510,2,10,5
34,Gladbach,de Bundesliga,24,34.0,50,2.0,2,411,445,88,396,655,518,2,5,0
35,Granada,es La Liga,35,38.0,116,6.0,4,559,442,62,623,620,477,1,4,1
36,Guingamp,fr Ligue 1,25,38.0,63,3.0,3,501,506,101,735,576,480,4,11,1
37,Hamburger SV,de Bundesliga,29,34.0,77,2.0,2,549,456,79,501,737,553,2,6,1
38,Hertha BSC,de Bundesliga,26,34.0,67,2.0,2,471,482,55,426,676,457,5,5,1
39,Hoffenheim,de Bundesliga,23,34.0,63,0.0,0,502,518,84,417,676,424,5,3,2
40,Hull City,eng Premier League,28,38.0,67,0.0,0,403,390,71,748,587,474,2,14,5
41,Ingolstadt 04,de Bundesliga,22,34.0,75,3.0,3,538,549,77,559,733,500,7,9,2
42,Inter,it Serie A,29,38.0,81,3.0,3,540,516,81,1212,570,571,4,6,1
43,Juventus,it Serie A,27,38.0,70,0.0,0,484,562,95,786,557,457,2,1,1
44,Köln,de Bundesliga,26,34.0,74,1.0,1,466,472,95,410,729,484,4,4,1
45,La Coruña,es La Liga,28,38.0,97,4.0,2,546,523,69,879,563,531,7,3,2
46,Las Palmas,es La Liga,29,38.0,106,6.0,4,471,632,88,462,523,440,6,11,1
47,Lazio,it Serie A,30,38.0,96,3.0,3,542,432,106,792,538,591,12,9,3
48,Leganés,es La Liga,31,38.0,107,3.0,1,648,475,90,663,671,546,4,7,0
49,Leicester City,eng Premier League,25,38.0,73,0.0,0,447,332,65,735,559,508,5,4,2
50,Leverkusen,de Bundesliga,24,34.0,56,3.0,3,462,399,78,407,708,516,7,3,1
51,Lille,fr Ligue 1,31,38.0,64,3.0,3,540,533,57,685,583,465,8,6,1
52,Liverpool,eng Premier League,23,38.0,54,0.0,0,396,383,78,815,425,540,5,5,0
53,Lorient,fr Ligue 1,30,38.0,68,0.0,0,439,383,73,770,595,431,4,6,2
54,Lyon,fr Ligue 1,27,38.0,65,2.0,2,503,523,103,655,498,531,11,6,1
55,Mainz 05,de Bundesliga,28,34.0,73,3.0,3,480,477,107,491,787,472,7,4,0
56,Málaga,es La Liga,29,38.0,116,7.0,5,560,528,87,792,663,562,5,9,0
57,Manchester City,eng Premier League,25,38.0,71,0.0,0,395,427,93,810,527,476,9,5,1
58,Manchester Utd,eng Premier League,31,38.0,80,1.0,1,498,443,102,852,610,507,2,5,1
59,Marseille,fr Ligue 1,27,38.0,71,1.0,1,520,386,105,693,596,538,4,2,1
60,Metz,fr Ligue 1,31,38.0,75,,2,515,436,91,698,697,502,9,7,1
61,Middlesbrough,eng Premier League,27,38.0,79,1.0,1,480,399,51,735,570,558,2,5,0
62,Milan,it Serie A,28,38.0,98,9.0,9,519,518,98,799,411,487,10,10,2
63,Monaco,fr Ligue 1,29,38.0,53,1.0,1,465,449,84,949,534,525,11,5,0
64,Montpellier,fr Ligue 1,32,38.0,48,2.0,2,401,455,66,821,595,467,1,8,2
65,Nancy,fr Ligue 1,27,38.0,78,1.0,1,499,459,127,685,659,525,1,9,2
66,Nantes,fr Ligue 1,27,38.0,78,1.0,1,543,395,108,814,524,642,4,9,1
67,Napoli,it Serie A,26,38.0,58,0.0,0,376,430,85,790,442,487,6,7,1
68,Nice,fr Ligue 1,27,38.0,60,1.0,1,424,572,75,411,434,472,8,5,1
69,Osasuna,es La Liga,35,38.0,100,3.0,1,574,415,76,648,677,545,5,10,3
70,Palermo,it Serie A,30,38.0,107,6.0,6,568,534,87,665,657,494,1,6,1
71,Paris S-G,fr Ligue 1,28,38.0,54,1.0,1,404,409,129,909,521,478,10,3,1
72,Pescara,it Serie A,34,38.0,98,3.0,3,551,537,117,661,549,512,7,6,1
73,RB Leipzig,de Bundesliga,23,34.0,68,1.0,1,508,471,120,429,770,582,4,5,1
74,Real Madrid,es La Liga,24,38.0,76,2.0,0,434,544,137,857,517,572,5,4,1
75,Real Sociedad,es La Liga,27,38.0,89,6.0,5,536,589,84,829,603,456,7,7,2
76,Rennes,fr Ligue 1,31,38.0,59,,1,460,418,80,672,499,523,3,4,1
77,Roma,it Serie A,22,38.0,64,0.0,0,461,488,88,916,622,526,12,4,0
78,Saint-Étienne,fr Ligue 1,34,38.0,58,,2,484,449,95,761,641,502,6,4,0
79,Sampdoria,it Serie A,24,38.0,75,1.0,1,511,502,81,782,468,511,6,8,0
80,Sassuolo,it Serie A,28,38.0,90,0.0,0,517,541,75,751,590,534,8,9,1
81,Schalke 04,de Bundesliga,29,34.0,69,0.0,0,494,441,96,566,805,450,4,10,1
82,Sevilla,es La Liga,28,38.0,109,4.0,2,589,524,126,661,522,521,5,5,1
83,Southampton,eng Premier League,26,38.0,61,1.0,1,426,415,75,960,539,507,5,9,0
84,Sporting Gijón,es La Liga,29,38.0,116,4.0,2,574,498,78,676,552,517,7,9,2
85,Stoke City,eng Premier League,26,38.0,72,1.0,1,434,440,87,725,528,489,5,2,5
86,Sunderland,eng Premier League,31,38.0,84,3.0,3,437,392,80,633,574,495,3,4,2
87,Swansea City,eng Premier League,27,38.0,56,0.0,0,399,425,50,867,471,481,3,10,5
88,Torino,it Serie A,29,38.0,88,3.0,3,581,497,91,750,594,508,10,7,1
89,Tottenham,eng Premier League,24,38.0,62,0.0,0,431,463,74,763,331,512,9,2,1
90,Toulouse,fr Ligue 1,30,38.0,90,,1,558,470,47,639,554,536,9,9,0
91,Udinese,it Serie A,29,38.0,85,0.0,0,481,516,42,853,526,507,3,9,2
92,Valencia,es La Liga,31,38.0,114,6.0,3,556,569,90,668,628,621,5,13,2
93,Villarreal,es La Liga,27,38.0,91,4.0,1,523,500,84,514,567,505,7,6,0
94,Watford,eng Premier League,33,38.0,90,3.0,3,514,417,63,696,532,468,3,4,2
95,Werder Bremen,de Bundesliga,31,34.0,67,0.0,0,452,515,58,371,718,438,6,11,1
96,West Brom,eng Premier League,23,38.0,80,0.0,0,448,343,61,770,564,441,0,3,1
97,West Ham,eng Premier League,29,38.0,86,4.0,4,408,461,80,759,634,452,4,8,0
98,Wolfsburg,de Bundesliga,31,34.0,69,2.0,2,498,486,61,548,701,438,3,5,1
