Rk,Squad,Comp,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
37,Hamburger SV,de Bundesliga,29,34.0,,,,,,,,,,,,,,,26,,,,,
38,Hertha BSC,de Bundesliga,26,34.0,,,,,,,,,,,,,,,26,,,,,
39,Hoffenheim,de Bundesliga,23,34.0,,,,,,,,,,,,,,,47,,,,,
40,Hull City,eng Premier League,28,38.0,,,,,,,,,,,,,,,24,,,,,
41,Ingolstadt 04,de Bundesliga,22,34.0,,,,,,,,,,,,,,,20,,,,,
42,Inter,it Serie A,29,38.0,,,,,,,,,,,,,,,55,,,,,
43,Juventus,it Serie A,27,38.0,,,,,,,,,,,,,,,49,,,,,
44,Köln,de Bundesliga,26,34.0,,,,,,,,,,,,,,,36,,,,,
45,La Coruña,es La Liga,28,38.0,,,,,,,,,,,,,,,29,,,,,
46,Las Palmas,es La Liga,29,38.0,,,,,,,,,,,,,,,34,,,,,
47,Lazio,it Serie A,30,38.0,,,,,,,,,,,,,,,47,,,,,
48,Leganés,es La Liga,31,38.0,,,,,,,,,,,,,,,24,,,,,
49,Leicester City,eng Premier League,25,38.0,,,,,,,,,,,,,,,32,,,,,
50,Leverkusen,de Bundesliga,24,34.0,,,,,,,,,,,,,,,39,,,,,
51,Lille,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,26,,,,,
52,Liverpool,eng Premier League,23,38.0,,,,,,,,,,,,,,,52,,,,,
53,Lorient,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,30,,,,,
54,Lyon,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,44,,,,,
55,Mainz 05,de Bundesliga,28,34.0,,,,,,,,,,,,,,,28,,,,,
56,Málaga,es La Liga,29,38.0,,,,,,,,,,,,,,,33,,,,,
57,Manchester City,eng Premier League,25,38.0,,,,,,,,,,,,,,,54,,,,,
58,Manchester Utd,eng Premier League,31,38.0,,,,,,,,,,,,,,,37,,,,,
59,Marseille,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,37,,,,,
60,Metz,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,22,,,,,
61,Middlesbrough,eng Premier League,27,38.0,,,,,,,,,,,,,,,22,,,,,
62,Milan,it Serie A,28,38.0,,,,,,,,,,,,,,,39,,,,,
63,Monaco,fr Ligue 1,29,38.0,,,,,,,,,,,,,,,62,,,,,
64,Montpellier,fr Ligue 1,32,38.0,,,,,,,,,,,,,,,30,,,,,
65,Nancy,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,22,,,,,
66,Nantes,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,31,,,,,
67,Napoli,it Serie A,26,38.0,,,,,,,,,,,,,,,68,,,,,
68,Nice,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,45,,,,,
69,Osasuna,es La Liga,35,38.0,,,,,,,,,,,,,,,24,,,,,
70,Palermo,it Serie A,30,38.0,,,,,,,,,,,,,,,24,,,,,
71,Paris S-G,fr Ligue 1,28,38.0,,,,,,,,,,,,,,,54,,,,,
72,Pescara,it Serie A,34,38.0,,,,,,,,,,,,,,,27,,,,,
73,RB Leipzig,de Bundesliga,23,34.0,,,,,,,,,,,,,,,49,,,,,
74,Real Madrid,es La Liga,24,38.0,,,,,,,,,,,,,,,83,,,,,
75,Real Sociedad,es La Liga,27,38.0,,,,,,,,,,,,,,,39,,,,,
76,Rennes,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,25,,,,,
77,Roma,it Serie A,22,38.0,,,,,,,,,,,,,,,59,,,,,
78,Saint-Étienne,fr Ligue 1,34,38.0,,,,,,,,,,,,,,,26,,,,,
79,Sampdoria,it Serie A,24,38.0,,,,,,,,,,,,,,,31,,,,,
80,Sassuolo,it Serie A,28,38.0,,,,,,,,,,,,,,,36,,,,,
81,Schalke 04,de Bundesliga,29,34.0,,,,,,,,,,,,,,,30,,,,,
82,Sevilla,es La Liga,28,38.0,,,,,,,,,,,,,,,48,,,,,
83,Southampton,eng Premier League,26,38.0,,,,,,,,,,,,,,,27,,,,,
84,Sporting Gijón,es La Liga,29,38.0,,,,,,,,,,,,,,,26,,,,,
85,Stoke City,eng Premier League,26,38.0,,,,,,,,,,,,,,,24,,,,,
86,Sunderland,eng Premier League,31,38.0,,,,,,,,,,,,,,,11,,,,,
87,Swansea City,eng Premier League,27,38.0,,,,,,,,,,,,,,,31,,,,,
88,Torino,it Serie A,29,38.0,,,,,,,,,,,,,,,54,,,,,
89,Tottenham,eng Premier League,24,38.0,,,,,,,,,,,,,,,59,,,,,
90,Toulouse,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,22,,,,,
91,Udinese,it Serie A,29,38.0,,,,,,,,,,,,,,,29,,,,,
92,Valencia,es La Liga,31,38.0,,,,,,,,,,,,,,,38,,,,,
93,Villarreal,es La Liga,27,38.0,,,,,,,,,,,,,,,36,,,,,
94,Watford,eng Premier League,33,38.0,,,,,,,,,,,,,,,27,,,,,
95,Werder Bremen,de Bundesliga,31,34.0,,,,,,,,,,,,,,,39,,,,,
96,West Brom,eng Premier League,23,38.0,,,,,,,,,,,,,,,33,,,,,
97,West Ham,eng Premier League,29,38.0,,,,,,,,,,,,,,,28,,,,,
98,Wolfsburg,de Bundesliga,31,34.0,,,,,,,,,,,,,,,23,,,,,
