Rk,Squad,Comp,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
50,Lille,fr Ligue 1,26,38.0,635,370,266,265,104,314,658,47.7,344,390,74,316,301,936,543,13
51,Liverpool,eng Premier League,28,38.0,590,370,228,250,112,281,651,43.2,370,350,74,276,333,923,568,20
52,Lorient,fr Ligue 1,30,38.0,736,420,409,244,83,315,690,45.7,375,484,141,343,369,1105,849,17
53,Lyon,fr Ligue 1,29,38.0,723,423,306,282,135,367,771,47.6,404,433,107,326,481,1204,542,12
54,Mainz 05,de Bundesliga,27,34.0,547,341,268,206,73,270,559,48.3,289,419,98,321,433,980,673,9
55,Mallorca,es La Liga,31,38.0,583,344,318,213,52,283,581,48.7,298,402,146,256,318,901,859,7
56,Manchester City,eng Premier League,24,38.0,471,272,185,198,88,212,462,45.9,250,339,95,244,223,694,402,9
57,Manchester Utd,eng Premier League,26,38.0,657,400,343,231,83,300,600,50.0,300,496,146,350,352,1009,771,11
58,Marseille,fr Ligue 1,30,38.0,685,404,271,304,110,301,593,50.8,292,366,101,265,420,1105,570,11
59,Milan,it Serie A,30,38.0,690,422,327,295,68,300,563,53.3,263,387,126,261,289,979,542,9
60,Monaco,fr Ligue 1,27,38.0,696,400,284,310,102,323,701,46.1,378,459,120,339,426,1122,549,14
61,Montpellier,fr Ligue 1,31,38.0,684,413,362,249,73,361,745,48.5,384,448,121,327,404,1088,686,9
62,Monza,it Serie A,31,38.0,595,355,323,214,58,260,551,47.2,291,380,120,260,334,929,661,13
63,Nantes,fr Ligue 1,29,38.0,709,431,367,249,93,367,730,50.3,363,427,107,320,431,1140,731,8
64,Napoli,it Serie A,27,38.0,569,313,236,227,106,255,521,48.9,266,374,96,278,287,856,490,7
65,Newcastle Utd,eng Premier League,27,38.0,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10
66,Nice,fr Ligue 1,34,38.0,818,467,415,295,108,382,680,56.2,298,419,115,304,413,1231,588,9
67,Nott'ham Forest,eng Premier League,33,38.0,659,387,380,201,78,296,589,50.3,293,500,156,344,349,1008,944,7
68,Osasuna,es La Liga,26,38.0,534,328,256,196,82,266,588,45.2,322,392,97,295,315,849,749,10
69,Paris S-G,fr Ligue 1,26,38.0,612,362,253,255,104,339,693,48.9,354,378,109,269,296,908,432,20
70,Rayo Vallecano,es La Liga,28,38.0,636,393,262,276,98,281,664,42.3,383,428,92,336,309,945,680,11
71,RB Leipzig,de Bundesliga,25,34.0,534,312,237,231,66,253,512,49.4,259,428,94,334,310,844,552,3
72,Real Madrid,es La Liga,26,38.0,542,353,242,212,88,259,565,45.8,306,365,105,260,296,838,469,5
73,Real Sociedad,es La Liga,30,38.0,660,395,304,254,102,285,613,46.5,328,399,103,296,271,931,624,13
74,Reims,fr Ligue 1,34,38.0,703,407,338,259,106,339,747,45.4,408,468,127,341,397,1100,633,15
75,Rennes,fr Ligue 1,32,38.0,600,335,255,251,94,289,616,46.9,327,392,91,301,341,941,587,10
76,Roma,it Serie A,30,38.0,624,340,301,257,66,289,617,46.8,328,392,113,279,368,992,590,9
77,Salernitana,it Serie A,30,38.0,587,337,309,220,58,259,569,45.5,310,409,157,252,329,916,740,13
78,Sampdoria,it Serie A,40,38.0,589,351,290,240,59,261,558,46.8,297,428,152,276,317,906,688,7
79,Sassuolo,it Serie A,31,38.0,502,281,237,186,79,216,461,46.9,245,371,122,249,278,780,658,16
80,Schalke 04,de Bundesliga,35,34.0,542,329,240,246,56,253,551,45.9,298,397,110,287,306,848,723,12
81,Sevilla,es La Liga,35,38.0,587,367,261,230,96,281,591,47.5,310,361,127,234,339,926,633,9
82,Southampton,eng Premier League,36,38.0,714,426,378,279,57,297,612,48.5,315,542,165,377,427,1141,852,11
83,Spezia,it Serie A,34,38.0,622,359,290,236,96,254,569,44.6,315,457,161,296,301,923,830,7
84,Strasbourg,fr Ligue 1,29,38.0,690,409,316,284,90,344,666,51.7,322,423,98,325,437,1127,688,5
85,Stuttgart,de Bundesliga,30,34.0,528,316,255,207,66,268,524,51.1,256,421,113,308,308,836,666,10
86,Torino,it Serie A,28,38.0,473,265,231,187,55,199,367,54.2,168,337,110,227,292,765,627,9
87,Tottenham,eng Premier League,29,38.0,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,20
88,Toulouse,fr Ligue 1,29,38.0,716,406,349,264,103,368,842,43.7,474,476,138,338,409,1125,656,15
89,Troyes,fr Ligue 1,32,38.0,608,361,333,207,68,272,606,44.9,334,416,144,272,398,1006,779,5
90,Udinese,it Serie A,30,38.0,651,365,363,228,60,326,632,51.6,306,437,128,309,314,965,712,8
91,Union Berlin,de Bundesliga,28,34.0,494,278,217,216,61,239,525,45.5,286,356,101,255,262,756,704,6
92,Valencia,es La Liga,28,38.0,678,428,340,254,84,311,645,48.2,334,370,75,295,288,966,643,21
93,Valladolid,es La Liga,36,38.0,671,396,334,251,86,296,628,47.1,332,432,149,283,345,1016,767,8
94,Villarreal,es La Liga,32,38.0,578,370,276,201,101,270,534,50.6,264,372,125,247,262,840,691,16
95,Werder Bremen,de Bundesliga,25,34.0,595,349,269,273,53,300,617,48.6,317,371,103,268,321,916,789,7
96,West Ham,eng Premier League,25,38.0,608,336,290,226,92,270,563,48.0,293,415,139,276,408,1016,810,10
97,Wolfsburg,de Bundesliga,28,34.0,543,324,255,206,82,265,521,50.9,256,443,116,327,292,835,701,9
98,Wolves,eng Premier League,32,38.0,660,370,363,222,75,285,616,46.3,331,497,175,322,279,939,817,19
