Rk,Squad,Comp,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
46,Leeds United,eng Premier League,29,38.0,16924,14953,1911,484,41,87,653,837,199,93,68,4,12437,60,414
47,Leicester City,eng Premier League,28,38.0,18871,17049,1739,464,76,93,496,724,135,70,41,6,14887,83,393
48,Lens,fr Ligue 1,29,38.0,21203,19476,1665,556,53,111,791,623,204,80,87,1,17809,62,311
49,Leverkusen,de Bundesliga,27,34.0,18206,16529,1626,468,59,72,461,678,139,66,49,0,14683,51,298
50,Lille,fr Ligue 1,26,38.0,22826,20992,1770,555,56,124,624,718,217,81,76,1,19266,64,398
51,Liverpool,eng Premier League,28,38.0,24361,22466,1811,416,103,198,799,860,235,56,155,1,20043,84,383
52,Lorient,fr Ligue 1,30,38.0,18087,16255,1783,540,48,55,434,658,145,60,52,2,14837,49,334
53,Lyon,fr Ligue 1,29,38.0,22698,20857,1784,521,65,101,649,758,184,71,68,0,18956,57,395
54,Mainz 05,de Bundesliga,27,34.0,14492,12764,1654,365,25,97,610,795,155,96,49,0,10075,74,356
55,Mallorca,es La Liga,31,38.0,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306
56,Manchester City,eng Premier League,24,38.0,26642,25047,1544,440,94,177,742,614,238,72,87,11,23263,51,350
57,Manchester Utd,eng Premier League,26,38.0,20525,18827,1619,325,105,165,517,715,196,71,47,4,16603,79,420
58,Marseille,fr Ligue 1,30,38.0,20689,18914,1707,448,72,149,751,723,209,107,50,0,16817,68,359
59,Milan,it Serie A,30,38.0,19734,17874,1799,472,52,126,671,813,187,51,108,0,15948,61,322
60,Monaco,fr Ligue 1,27,38.0,18378,16574,1720,457,46,137,661,730,166,80,72,1,14414,84,356
61,Montpellier,fr Ligue 1,31,38.0,16221,14249,1901,555,38,123,673,749,195,85,87,2,12420,71,319
62,Monza,it Serie A,31,38.0,20724,18818,1837,570,33,168,596,711,154,22,111,0,17198,69,327
63,Nantes,fr Ligue 1,29,38.0,17169,15386,1729,462,17,121,820,725,196,77,89,0,13283,54,313
64,Napoli,it Serie A,27,38.0,24473,22587,1826,515,36,200,681,785,228,84,74,1,21086,60,337
65,Newcastle Utd,eng Premier League,27,38.0,17837,16020,1746,447,88,142,740,728,270,106,90,15,13925,71,370
66,Nice,fr Ligue 1,34,38.0,20784,19059,1674,442,53,93,690,656,193,88,60,0,17325,51,368
67,Nott'ham Forest,eng Premier League,33,38.0,13606,11801,1738,446,31,66,530,720,128,65,53,1,9543,67,313
68,Osasuna,es La Liga,26,38.0,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345
69,Paris S-G,fr Ligue 1,26,38.0,26476,24872,1527,458,149,109,399,537,204,74,61,0,23694,77,368
70,Rayo Vallecano,es La Liga,28,38.0,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365
71,RB Leipzig,de Bundesliga,25,34.0,20529,18813,1636,437,99,120,489,748,167,50,74,2,16911,80,400
72,Real Madrid,es La Liga,26,38.0,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353
73,Real Sociedad,es La Liga,30,38.0,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324
74,Reims,fr Ligue 1,34,38.0,17565,15706,1774,475,72,140,707,777,178,56,79,0,13670,85,354
75,Rennes,fr Ligue 1,32,38.0,21193,19509,1630,464,51,104,564,683,174,63,78,0,17618,54,354
76,Roma,it Serie A,30,38.0,17814,15874,1884,528,59,176,595,833,188,84,93,0,14171,56,292
77,Salernitana,it Serie A,30,38.0,16508,14589,1852,530,25,140,559,720,143,23,66,0,12667,67,324
78,Sampdoria,it Serie A,40,38.0,16575,14576,1944,598,34,107,599,760,130,36,77,0,12606,55,380
79,Sassuolo,it Serie A,31,38.0,18306,16248,2015,566,34,195,625,798,177,81,50,0,14805,43,351
80,Schalke 04,de Bundesliga,35,34.0,13360,11517,1773,445,29,62,764,786,169,79,77,4,9234,70,351
81,Sevilla,es La Liga,35,38.0,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307
82,Southampton,eng Premier League,36,38.0,16391,14585,1749,426,38,87,613,752,157,63,65,2,12319,57,375
83,Spezia,it Serie A,34,38.0,16501,14437,2009,456,26,107,655,922,193,116,53,0,12399,55,381
84,Strasbourg,fr Ligue 1,29,38.0,17277,15473,1761,555,49,131,647,740,143,45,75,1,13337,43,324
85,Stuttgart,de Bundesliga,30,34.0,16987,15298,1633,450,37,188,597,711,156,57,83,0,13460,56,310
86,Torino,it Serie A,28,38.0,19336,17523,1733,445,36,117,610,742,172,99,42,1,15376,80,336
87,Tottenham,eng Premier League,29,38.0,19672,17950,1655,404,74,165,719,664,203,113,51,0,15972,67,414
88,Toulouse,fr Ligue 1,29,38.0,19236,17352,1810,453,38,201,660,739,201,71,113,0,15392,74,422
89,Troyes,fr Ligue 1,32,38.0,16193,14416,1720,477,35,128,517,650,148,79,35,0,12751,57,327
90,Udinese,it Serie A,30,38.0,16790,14908,1831,536,37,213,564,707,186,76,52,0,13391,51,329
91,Union Berlin,de Bundesliga,28,34.0,14418,12762,1594,378,26,46,708,763,165,78,60,0,10312,62,329
92,Valencia,es La Liga,28,38.0,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345
93,Valladolid,es La Liga,36,38.0,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365
94,Villarreal,es La Liga,32,38.0,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347
95,Werder Bremen,de Bundesliga,25,34.0,16554,14903,1586,449,39,164,514,639,109,27,53,1,12443,65,324
96,West Ham,eng Premier League,25,38.0,16357,14625,1670,347,41,162,768,722,206,129,57,1,12369,62,390
97,Wolfsburg,de Bundesliga,28,34.0,16129,14311,1768,544,38,133,568,696,153,107,38,0,12571,50,315
98,Wolves,eng Premier League,32,38.0,18294,16575,1657,430,49,149,661,663,185,61,86,2,14554,62,355
