Rk,Squad,Comp,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG
48,Lens,fr Ligue 1,27,26.4,51.1,38,418,3420,38.0,53,35,88,43,10,12,94,7,56.4,47.3,37.8,85.1,743,1567,1.39,0.92,2.32,1.13,2.05,1.48,0.99,2.48,1.24,2.24
49,Levante,es La Liga,29,28.0,52.2,38,418,3420,38.0,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,621,1537,1.18,0.92,2.11,1.11,2.03,1.06,0.78,1.84,0.94,1.72
50,Leverkusen,de Bundesliga,30,25.4,59.7,34,374,3060,34.0,52,41,93,49,3,3,58,0,46.3,44.0,34.7,78.7,724,1522,1.53,1.21,2.74,1.44,2.65,1.36,1.02,2.38,1.29,2.32
51,Lille,fr Ligue 1,21,25.4,53.8,38,418,3420,38.0,62,39,101,57,5,5,68,2,48.5,44.5,34.4,79.0,713,1660,1.63,1.03,2.66,1.5,2.53,1.28,0.91,2.18,1.17,2.08
52,Liverpool,eng Premier League,28,26.8,62.1,38,418,3420,38.0,65,43,108,59,6,6,40,0,67.5,62.9,48.3,111.1,886,2057,1.71,1.13,2.84,1.55,2.68,1.78,1.27,3.05,1.65,2.92
53,Lorient,fr Ligue 1,27,26.8,44.6,38,418,3420,38.0,49,26,75,40,9,10,69,3,48.6,41.4,30.8,72.2,572,1169,1.29,0.68,1.97,1.05,1.74,1.28,0.81,2.09,1.09,1.9
54,Lyon,fr Ligue 1,29,25.8,54.9,38,418,3420,38.0,76,46,122,65,11,11,66,10,81.4,73.0,54.9,127.9,804,1991,2.0,1.21,3.21,1.71,2.92,2.14,1.45,3.59,1.92,3.37
55,Mainz 05,de Bundesliga,31,25.8,40.7,34,374,3060,34.0,39,23,62,34,5,5,63,1,49.9,46.0,34.9,80.9,442,1046,1.15,0.68,1.82,1.0,1.68,1.47,1.03,2.49,1.35,2.38
56,Manchester City,eng Premier League,24,26.1,63.5,38,418,3420,38.0,82,55,137,77,5,9,46,2,68.2,61.2,45.4,106.6,1096,2051,2.16,1.45,3.61,2.03,3.47,1.8,1.19,2.99,1.61,2.81
57,Manchester Utd,eng Premier League,29,25.6,55.7,38,418,3420,38.0,70,51,121,60,10,11,64,1,60.1,51.4,41.6,93.1,877,1832,1.84,1.34,3.18,1.58,2.92,1.58,1.1,2.68,1.35,2.45
58,Marseille,fr Ligue 1,31,27.2,53.6,38,418,3420,38.0,53,45,98,49,4,7,98,9,47.0,41.6,36.5,78.0,606,1499,1.39,1.18,2.58,1.29,2.47,1.24,0.96,2.2,1.09,2.05
59,Metz,fr Ligue 1,27,25.7,45.2,38,418,3420,38.0,42,28,70,35,7,11,84,4,44.1,35.8,28.3,64.0,744,1221,1.11,0.74,1.84,0.92,1.66,1.16,0.74,1.9,0.94,1.68
60,Milan,it Serie A,29,24.4,51.7,38,418,3420,38.0,72,47,119,57,15,20,83,4,70.7,56.0,43.9,99.8,784,1483,1.89,1.24,3.13,1.5,2.74,1.86,1.15,3.02,1.47,2.63
61,Monaco,fr Ligue 1,30,24.8,55.8,38,418,3420,38.0,76,52,128,64,12,15,78,7,68.7,56.9,46.7,103.6,757,1750,2.0,1.37,3.37,1.68,3.05,1.81,1.23,3.04,1.5,2.73
62,Montpellier,fr Ligue 1,25,28.0,45.7,38,418,3420,38.0,60,42,102,58,2,5,65,7,51.9,48.1,33.8,81.9,619,1315,1.58,1.11,2.68,1.53,2.63,1.37,0.89,2.26,1.27,2.16
63,Nantes,fr Ligue 1,25,25.8,43.9,38,418,3420,38.0,47,28,75,39,8,9,70,4,49.0,42.1,29.4,71.5,656,1350,1.24,0.74,1.97,1.03,1.76,1.29,0.77,2.06,1.11,1.88
64,Napoli,it Serie A,25,27.1,55.1,38,418,3420,38.0,83,56,139,76,7,8,76,3,67.7,61.4,46.9,108.3,884,1703,2.18,1.47,3.66,2.0,3.47,1.78,1.23,3.02,1.62,2.85
65,Newcastle Utd,eng Premier League,27,27.1,38.8,38,418,3420,38.0,44,26,70,38,6,7,65,3,43.4,37.8,29.0,66.8,467,903,1.16,0.68,1.84,1.0,1.68,1.14,0.76,1.91,1.0,1.76
66,Nice,fr Ligue 1,31,23.5,54.3,38,418,3420,38.0,49,26,75,42,7,7,73,4,47.9,42.7,29.9,72.6,784,1531,1.29,0.68,1.97,1.11,1.79,1.26,0.79,2.05,1.12,1.91
67,Nîmes,fr Ligue 1,33,25.8,44.4,38,418,3420,38.0,40,26,66,33,7,8,60,5,43.3,37.0,29.9,66.9,520,1200,1.05,0.68,1.74,0.87,1.55,1.14,0.79,1.93,0.97,1.76
68,Osasuna,es La Liga,28,27.9,43.2,38,418,3420,38.0,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57
69,Paris S-G,fr Ligue 1,33,26.7,63.1,38,418,3420,38.0,84,52,136,72,12,13,79,7,80.1,70.1,55.6,125.8,909,2089,2.21,1.37,3.58,1.89,3.26,2.11,1.46,3.57,1.85,3.31
70,Parma,it Serie A,42,28.0,47.8,38,418,3420,38.0,39,26,65,34,5,5,91,1,42.5,38.6,30.5,69.0,607,1319,1.03,0.68,1.71,0.89,1.58,1.12,0.8,1.92,1.01,1.82
71,RB Leipzig,de Bundesliga,25,25.0,59.7,34,374,3060,34.0,59,44,103,51,8,10,57,0,64.4,56.7,43.7,100.4,624,1718,1.74,1.29,3.03,1.5,2.79,1.89,1.28,3.18,1.67,2.95
72,Real Madrid,es La Liga,30,27.9,59.3,38,418,3420,38.0,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,1.68,1.39,3.08,1.61,3.0,1.62,1.25,2.87,1.56,2.8
73,Real Sociedad,es La Liga,30,25.0,54.9,38,418,3420,38.0,58,39,97,49,9,12,81,1,60.7,51.5,39.6,91.1,626,1554,1.53,1.03,2.55,1.29,2.32,1.6,1.04,2.64,1.36,2.4
74,Reims,fr Ligue 1,29,24.6,44.9,38,418,3420,38.0,39,23,62,34,5,5,77,8,32.7,28.9,21.7,50.6,698,1246,1.03,0.61,1.63,0.89,1.5,0.86,0.57,1.43,0.76,1.33
75,Rennes,fr Ligue 1,32,25.5,59.1,38,418,3420,38.0,50,39,89,47,3,3,79,5,47.8,45.4,35.3,80.7,741,1883,1.32,1.03,2.34,1.24,2.26,1.26,0.93,2.19,1.2,2.12
76,Roma,it Serie A,31,26.7,52.2,38,418,3420,38.0,67,51,118,60,7,8,91,3,65.3,59.0,48.2,107.2,863,1583,1.76,1.34,3.11,1.58,2.92,1.72,1.27,2.98,1.55,2.82
77,Saint-Étienne,fr Ligue 1,40,25.4,48.3,38,418,3420,38.0,40,28,68,34,6,9,76,2,48.7,41.8,31.6,73.4,615,1229,1.05,0.74,1.79,0.89,1.63,1.28,0.83,2.11,1.1,1.93
78,Sampdoria,it Serie A,27,27.9,45.2,38,418,3420,38.0,52,37,89,47,5,6,83,3,45.4,41.1,31.9,73.0,588,1370,1.37,0.97,2.34,1.24,2.21,1.2,0.84,2.04,1.08,1.92
79,Sassuolo,it Serie A,28,26.5,60.3,38,418,3420,38.0,61,36,97,48,13,14,79,4,58.4,47.7,34.0,81.8,770,1746,1.61,0.95,2.55,1.26,2.21,1.54,0.9,2.43,1.26,2.15
80,Schalke 04,de Bundesliga,42,25.9,44.7,34,374,3060,34.0,24,20,44,24,0,3,74,2,28.7,26.3,20.6,46.9,452,943,0.71,0.59,1.29,0.71,1.29,0.84,0.61,1.45,0.77,1.38
81,Sevilla,es La Liga,26,28.1,60.9,38,418,3420,38.0,52,36,88,46,6,7,79,2,54.4,48.9,41.0,90.0,691,1627,1.37,0.95,2.32,1.21,2.16,1.43,1.08,2.51,1.29,2.37
82,Sheffield Utd,eng Premier League,27,26.7,41.7,38,418,3420,38.0,19,13,32,16,3,4,73,3,32.6,29.5,24.9,54.4,491,1196,0.5,0.34,0.84,0.42,0.76,0.86,0.66,1.52,0.78,1.43
83,Southampton,eng Premier League,29,26.6,52.0,38,418,3420,38.0,47,33,80,42,5,6,52,3,41.2,36.6,25.8,62.5,626,1195,1.24,0.87,2.11,1.11,1.97,1.09,0.68,1.77,0.96,1.64
84,Spezia,it Serie A,35,25.2,51.9,38,418,3420,38.0,52,37,89,48,4,5,100,5,46.5,42.6,31.1,73.7,625,1388,1.37,0.97,2.34,1.26,2.24,1.22,0.82,2.04,1.12,1.94
85,Strasbourg,fr Ligue 1,26,26.8,45.7,38,418,3420,38.0,49,26,75,39,10,12,58,3,52.8,43.4,32.1,75.5,538,1301,1.29,0.68,1.97,1.03,1.71,1.39,0.84,2.23,1.14,1.99
86,Stuttgart,de Bundesliga,29,24.1,51.5,34,374,3060,34.0,54,42,96,48,6,8,65,2,51.4,45.1,37.1,82.2,701,1467,1.59,1.24,2.82,1.41,2.65,1.51,1.09,2.6,1.33,2.42
87,Torino,it Serie A,29,26.9,47.3,38,418,3420,38.0,49,28,77,44,5,6,78,4,50.0,45.3,32.2,77.5,617,1138,1.29,0.74,2.03,1.16,1.89,1.32,0.85,2.16,1.19,2.04
88,Tottenham,eng Premier League,24,27.2,51.6,38,418,3420,38.0,66,50,116,61,5,5,57,2,53.1,49.2,35.3,84.4,633,1330,1.74,1.32,3.05,1.61,2.92,1.4,0.93,2.33,1.29,2.22
89,Udinese,it Serie A,33,27.2,46.3,38,418,3420,38.0,40,30,70,36,4,4,65,2,45.7,42.9,30.0,72.9,672,1405,1.05,0.79,1.84,0.95,1.74,1.2,0.79,1.99,1.13,1.92
90,Union Berlin,de Bundesliga,27,27.3,44.9,34,374,3060,34.0,50,39,89,45,5,7,57,2,46.9,41.3,33.4,74.7,464,1059,1.47,1.15,2.62,1.32,2.47,1.38,0.98,2.36,1.22,2.2
91,Valencia,es La Liga,30,25.2,46.9,38,418,3420,38.0,48,35,83,40,8,10,82,5,42.6,34.8,27.2,62.1,576,1180,1.26,0.92,2.18,1.05,1.97,1.12,0.72,1.84,0.92,1.63
92,Valladolid,es La Liga,32,28.1,45.2,38,418,3420,38.0,34,21,55,27,7,8,93,4,40.1,33.8,24.2,58.0,564,1101,0.89,0.55,1.45,0.71,1.26,1.05,0.64,1.69,0.89,1.53
93,Villarreal,es La Liga,29,28.0,55.2,38,418,3420,38.0,57,33,90,45,12,13,67,5,56.4,46.4,40.5,86.9,737,1628,1.5,0.87,2.37,1.18,2.05,1.48,1.06,2.55,1.22,2.29
94,Werder Bremen,de Bundesliga,27,26.3,43.9,34,374,3060,34.0,35,25,60,30,5,5,67,3,32.9,29.0,21.5,50.5,414,1065,1.03,0.74,1.76,0.88,1.62,0.97,0.63,1.6,0.85,1.49
95,West Brom,eng Premier League,30,26.4,37.9,38,418,3420,38.0,33,20,53,29,4,4,51,4,35.8,32.7,24.4,57.1,441,1027,0.87,0.53,1.39,0.76,1.29,0.94,0.64,1.59,0.86,1.5
96,West Ham,eng Premier League,24,27.8,43.2,38,418,3420,38.0,60,46,106,58,2,4,50,3,55.4,52.1,39.6,91.7,659,1282,1.58,1.21,2.79,1.53,2.74,1.46,1.04,2.5,1.37,2.41
97,Wolfsburg,de Bundesliga,26,25.6,51.1,34,374,3060,34.0,57,48,105,55,2,3,58,3,49.0,46.9,37.7,84.5,595,1397,1.68,1.41,3.09,1.62,3.03,1.44,1.11,2.55,1.38,2.49
98,Wolves,eng Premier League,27,26.3,49.3,38,418,3420,38.0,34,21,55,30,4,4,55,1,36.5,33.4,24.1,57.6,800,1283,0.89,0.55,1.45,0.79,1.34,0.96,0.63,1.6,0.88,1.51
