Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
28,Fiorentina,it Serie A,26,38.0,102,0.0,,535,,,,,,,,
29,Frosinone,it Serie A,28,38.0,116,0.0,,640,,,,,,,,
30,Gazélec Ajaccio,fr Ligue 1,23,38.0,98,0.0,,575,,,,,,,,
31,Genoa,it Serie A,30,38.0,91,0.0,,645,,,,,,,,
32,Getafe,es La Liga,27,38.0,129,6.0,4.0,531,443.0,72.0,742.0,718.0,573.0,2.0,10.0,1.0
33,Gladbach,de Bundesliga,26,34.0,49,0.0,,454,,,,,,,,
34,Granada,es La Liga,28,38.0,141,7.0,5.0,586,504.0,91.0,626.0,721.0,604.0,5.0,5.0,2.0
35,Guingamp,fr Ligue 1,28,38.0,81,0.0,,505,,,,,,,,
36,Hamburger SV,de Bundesliga,28,34.0,75,0.0,,583,,,,,,,,
37,Hannover 96,de Bundesliga,33,34.0,66,0.0,,513,,,,,,,,
38,Hellas Verona,it Serie A,32,38.0,97,0.0,,625,,,,,,,,
39,Hertha BSC,de Bundesliga,26,34.0,71,0.0,,479,,,,,,,,
40,Hoffenheim,de Bundesliga,26,34.0,63,0.0,,473,,,,,,,,
41,Ingolstadt 04,de Bundesliga,25,34.0,83,0.0,,513,,,,,,,,
42,Inter,it Serie A,28,38.0,104,0.0,,514,,,,,,,,
43,Juventus,it Serie A,28,38.0,97,0.0,,570,,,,,,,,
44,Köln,de Bundesliga,23,34.0,56,0.0,,437,,,,,,,,
45,La Coruña,es La Liga,25,38.0,86,4.0,3.0,403,433.0,85.0,725.0,804.0,598.0,1.0,4.0,1.0
46,Las Palmas,es La Liga,27,38.0,100,4.0,2.0,466,563.0,79.0,466.0,784.0,546.0,3.0,4.0,1.0
47,Lazio,it Serie A,27,38.0,107,0.0,,592,,,,,,,,
48,Leicester City,eng Premier League,23,38.0,54,0.0,,406,,,,,,,,
49,Levante,es La Liga,27,38.0,134,7.0,5.0,549,477.0,75.0,692.0,696.0,497.0,2.0,7.0,5.0
50,Leverkusen,de Bundesliga,27,34.0,70,0.0,,526,,,,,,,,
51,Lille,fr Ligue 1,32,38.0,86,0.0,,572,,,,,,,,
52,Liverpool,eng Premier League,34,38.0,67,0.0,,410,,,,,,,,
53,Lorient,fr Ligue 1,31,38.0,66,0.0,,478,,,,,,,,
54,Lyon,fr Ligue 1,30,38.0,69,0.0,,521,,,,,,,,
55,Mainz 05,de Bundesliga,29,34.0,54,0.0,,523,,,,,,,,
56,Málaga,es La Liga,30,38.0,110,5.0,4.0,553,466.0,85.0,828.0,747.0,592.0,2.0,2.0,3.0
57,Manchester City,eng Premier League,25,38.0,63,0.0,,409,,,,,,,,
58,Manchester Utd,eng Premier League,33,38.0,67,0.0,,473,,,,,,,,
59,Marseille,fr Ligue 1,28,38.0,74,0.0,,521,,,,,,,,
60,Milan,it Serie A,30,38.0,96,0.0,,554,,,,,,,,
61,Monaco,fr Ligue 1,31,38.0,86,0.0,,547,,,,,,,,
62,Montpellier,fr Ligue 1,30,38.0,62,0.0,,470,,,,,,,,
63,Nantes,fr Ligue 1,29,38.0,81,0.0,,606,,,,,,,,
64,Napoli,it Serie A,22,38.0,72,0.0,,464,,,,,,,,
65,Newcastle Utd,eng Premier League,31,38.0,61,0.0,,419,,,,,,,,
66,Nice,fr Ligue 1,33,38.0,68,0.0,,461,,,,,,,,
67,Norwich City,eng Premier League,28,38.0,64,0.0,,431,,,,,,,,
68,Palermo,it Serie A,31,38.0,103,0.0,,644,,,,,,,,
69,Paris S-G,fr Ligue 1,28,38.0,47,0.0,,392,,,,,,,,
70,Rayo Vallecano,es La Liga,29,38.0,115,10.0,4.0,549,473.0,124.0,992.0,707.0,580.0,1.0,9.0,2.0
71,Real Madrid,es La Liga,24,38.0,75,5.0,3.0,421,490.0,116.0,904.0,643.0,585.0,8.0,4.0,0.0
72,Real Sociedad,es La Liga,27,38.0,109,5.0,3.0,468,579.0,86.0,946.0,873.0,601.0,1.0,7.0,1.0
73,Reims,fr Ligue 1,31,38.0,88,0.0,,514,,,,,,,,
74,Rennes,fr Ligue 1,31,38.0,74,,,498,,,,,,,,
75,Roma,it Serie A,32,38.0,87,0.0,,533,,,,,,,,
76,Saint-Étienne,fr Ligue 1,31,38.0,76,,,592,,,,,,,,
77,Sampdoria,it Serie A,35,38.0,111,0.0,,578,,,,,,,,
78,Sassuolo,it Serie A,26,38.0,98,0.0,,585,,,,,,,,
79,Schalke 04,de Bundesliga,28,34.0,64,0.0,,504,,,,,,,,
80,Sevilla,es La Liga,33,38.0,106,8.0,6.0,560,497.0,106.0,904.0,663.0,511.0,7.0,3.0,2.0
81,Southampton,eng Premier League,26,38.0,63,0.0,,417,,,,,,,,
82,Sporting Gijón,es La Liga,28,38.0,107,6.0,5.0,527,447.0,81.0,668.0,748.0,618.0,2.0,10.0,1.0
83,Stoke City,eng Premier League,27,38.0,53,0.0,,420,,,,,,,,
84,Stuttgart,de Bundesliga,31,34.0,72,0.0,,499,,,,,,,,
85,Sunderland,eng Premier League,31,38.0,68,0.0,,484,,,,,,,,
86,Swansea City,eng Premier League,27,38.0,60,0.0,,392,,,,,,,,
87,Torino,it Serie A,27,38.0,99,0.0,,652,,,,,,,,
88,Tottenham,eng Premier League,24,38.0,72,0.0,,451,,,,,,,,
89,Toulouse,fr Ligue 1,25,38.0,80,,,537,,,,,,,,
90,Troyes,fr Ligue 1,33,38.0,76,0.0,,418,,,,,,,,
91,Udinese,it Serie A,28,38.0,105,0.0,,579,,,,,,,,
92,Valencia,es La Liga,30,38.0,110,7.0,5.0,571,596.0,92.0,724.0,781.0,632.0,5.0,4.0,1.0
93,Villarreal,es La Liga,26,38.0,103,4.0,3.0,536,440.0,107.0,555.0,781.0,539.0,3.0,3.0,1.0
94,Watford,eng Premier League,25,38.0,77,0.0,,455,,,,,,,,
95,Werder Bremen,de Bundesliga,30,34.0,80,0.0,,512,,,,,,,,
96,West Brom,eng Premier League,28,38.0,65,0.0,,400,,,,,,,,
97,West Ham,eng Premier League,28,38.0,57,0.0,,381,,,,,,,,
98,Wolfsburg,de Bundesliga,29,34.0,59,0.0,,459,,,,,,,,
