Rk,Squad,Comp,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec
56,Málaga,es La Liga,30,48.8,38.0,,,,,,,,,,,,,,,,,,,,
57,Manchester City,eng Premier League,25,56.9,38.0,,,,,,,,,,,,,,,,,,,,
58,Manchester Utd,eng Premier League,33,58.5,38.0,,,,,,,,,,,,,,,,,,,,
59,Marseille,fr Ligue 1,28,56.6,38.0,,,,,,,,,,,,,,,,,,,,
60,Milan,it Serie A,30,52.9,38.0,,,,,,,,,,,,,,,,,,,,
61,Monaco,fr Ligue 1,31,48.1,38.0,,,,,,,,,,,,,,,,,,,,
62,Montpellier,fr Ligue 1,30,49.8,38.0,,,,,,,,,,,,,,,,,,,,
63,Nantes,fr Ligue 1,29,49.2,38.0,,,,,,,,,,,,,,,,,,,,
64,Napoli,it Serie A,22,62.6,38.0,,,,,,,,,,,,,,,,,,,,
65,Newcastle Utd,eng Premier League,31,46.6,38.0,,,,,,,,,,,,,,,,,,,,
66,Nice,fr Ligue 1,33,57.9,38.0,,,,,,,,,,,,,,,,,,,,
67,Norwich City,eng Premier League,28,46.0,38.0,,,,,,,,,,,,,,,,,,,,
68,Palermo,it Serie A,31,43.2,38.0,,,,,,,,,,,,,,,,,,,,
69,Paris S-G,fr Ligue 1,28,66.5,38.0,,,,,,,,,,,,,,,,,,,,
70,Rayo Vallecano,es La Liga,29,55.6,38.0,,,,,,,,,,,,,,,,,,,,
71,Real Madrid,es La Liga,24,57.3,38.0,,,,,,,,,,,,,,,,,,,,
72,Real Sociedad,es La Liga,27,51.8,38.0,,,,,,,,,,,,,,,,,,,,
73,Reims,fr Ligue 1,31,47.6,38.0,,,,,,,,,,,,,,,,,,,,
74,Rennes,fr Ligue 1,31,50.4,38.0,,,,,,,,,,,,,,,,,,,,
75,Roma,it Serie A,32,57.7,38.0,,,,,,,,,,,,,,,,,,,,
76,Saint-Étienne,fr Ligue 1,31,51.5,38.0,,,,,,,,,,,,,,,,,,,,
77,Sampdoria,it Serie A,35,49.4,38.0,,,,,,,,,,,,,,,,,,,,
78,Sassuolo,it Serie A,26,51.1,38.0,,,,,,,,,,,,,,,,,,,,
79,Schalke 04,de Bundesliga,28,52.2,34.0,,,,,,,,,,,,,,,,,,,,
80,Sevilla,es La Liga,33,50.0,38.0,,,,,,,,,,,,,,,,,,,,
81,Southampton,eng Premier League,26,49.2,38.0,,,,,,,,,,,,,,,,,,,,
82,Sporting Gijón,es La Liga,28,43.1,38.0,,,,,,,,,,,,,,,,,,,,
83,Stoke City,eng Premier League,27,49.7,38.0,,,,,,,,,,,,,,,,,,,,
84,Stuttgart,de Bundesliga,31,47.9,34.0,,,,,,,,,,,,,,,,,,,,
85,Sunderland,eng Premier League,31,41.0,38.0,,,,,,,,,,,,,,,,,,,,
86,Swansea City,eng Premier League,27,52.5,38.0,,,,,,,,,,,,,,,,,,,,
87,Torino,it Serie A,27,47.5,38.0,,,,,,,,,,,,,,,,,,,,
88,Tottenham,eng Premier League,24,57.4,38.0,,,,,,,,,,,,,,,,,,,,
89,Toulouse,fr Ligue 1,25,46.6,38.0,,,,,,,,,,,,,,,,,,,,
90,Troyes,fr Ligue 1,33,48.2,38.0,,,,,,,,,,,,,,,,,,,,
91,Udinese,it Serie A,28,44.4,38.0,,,,,,,,,,,,,,,,,,,,
92,Valencia,es La Liga,30,50.1,38.0,,,,,,,,,,,,,,,,,,,,
93,Villarreal,es La Liga,26,45.9,38.0,,,,,,,,,,,,,,,,,,,,
94,Watford,eng Premier League,25,45.1,38.0,,,,,,,,,,,,,,,,,,,,
95,Werder Bremen,de Bundesliga,30,44.9,34.0,,,,,,,,,,,,,,,,,,,,
96,West Brom,eng Premier League,28,39.8,38.0,,,,,,,,,,,,,,,,,,,,
97,West Ham,eng Premier League,28,48.4,38.0,,,,,,,,,,,,,,,,,,,,
98,Wolfsburg,de Bundesliga,29,57.6,34.0,,,,,,,,,,,,,,,,,,,,
