Rk,Squad,Comp,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
66,Nice,fr Ligue 1,33,38.0,,,,,,,,,,,,,,,43,,,,,
67,Norwich City,eng Premier League,28,38.0,,,,,,,,,,,,,,,27,,,,,
68,Palermo,it Serie A,31,38.0,,,,,,,,,,,,,,,31,,,,,
69,Paris S-G,fr Ligue 1,28,38.0,,,,,,,,,,,,,,,72,,,,,
70,Rayo Vallecano,es La Liga,29,38.0,,,,,,,,,,,,,,,38,,,,,
71,Real Madrid,es La Liga,24,38.0,,,,,,,,,,,,,,,86,,,,,
72,Real Sociedad,es La Liga,27,38.0,,,,,,,,,,,,,,,31,,,,,
73,Reims,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,30,,,,,
74,Rennes,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,32,,,,,
75,Roma,it Serie A,32,38.0,,,,,,,,,,,,,,,55,,,,,
76,Saint-Étienne,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,27,,,,,
77,Sampdoria,it Serie A,35,38.0,,,,,,,,,,,,,,,30,,,,,
78,Sassuolo,it Serie A,26,38.0,,,,,,,,,,,,,,,33,,,,,
79,Schalke 04,de Bundesliga,28,34.0,,,,,,,,,,,,,,,37,,,,,
80,Sevilla,es La Liga,33,38.0,,,,,,,,,,,,,,,35,,,,,
81,Southampton,eng Premier League,26,38.0,,,,,,,,,,,,,,,45,,,,,
82,Sporting Gijón,es La Liga,28,38.0,,,,,,,,,,,,,,,29,,,,,
83,Stoke City,eng Premier League,27,38.0,,,,,,,,,,,,,,,29,,,,,
84,Stuttgart,de Bundesliga,31,34.0,,,,,,,,,,,,,,,34,,,,,
85,Sunderland,eng Premier League,31,38.0,,,,,,,,,,,,,,,30,,,,,
86,Swansea City,eng Premier League,27,38.0,,,,,,,,,,,,,,,25,,,,,
87,Torino,it Serie A,27,38.0,,,,,,,,,,,,,,,29,,,,,
88,Tottenham,eng Premier League,24,38.0,,,,,,,,,,,,,,,50,,,,,
89,Toulouse,fr Ligue 1,25,38.0,,,,,,,,,,,,,,,28,,,,,
90,Troyes,fr Ligue 1,33,38.0,,,,,,,,,,,,,,,18,,,,,
91,Udinese,it Serie A,28,38.0,,,,,,,,,,,,,,,23,,,,,
92,Valencia,es La Liga,30,38.0,,,,,,,,,,,,,,,27,,,,,
93,Villarreal,es La Liga,26,38.0,,,,,,,,,,,,,,,32,,,,,
94,Watford,eng Premier League,25,38.0,,,,,,,,,,,,,,,18,,,,,
95,Werder Bremen,de Bundesliga,30,34.0,,,,,,,,,,,,,,,32,,,,,
96,West Brom,eng Premier League,28,38.0,,,,,,,,,,,,,,,25,,,,,
97,West Ham,eng Premier League,28,38.0,,,,,,,,,,,,,,,38,,,,,
98,Wolfsburg,de Bundesliga,29,34.0,,,,,,,,,,,,,,,39,,,,,
