Rk,Squad,Comp,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt
56,Málaga,es La Liga,30,38.0,37,452.0,167,36.9,11.89,4.39,0.08,0.21,,2,4
57,Manchester City,eng Premier League,25,38.0,71,,210,,,5.53,,0.31,,5,8
58,Manchester Utd,eng Premier League,33,38.0,46,,144,,,3.79,,0.3,,3,3
59,Marseille,fr Ligue 1,28,38.0,48,,184,,,4.84,,0.25,,2,4
60,Milan,it Serie A,30,38.0,49,,165,,,4.34,,0.26,,6,7
61,Monaco,fr Ligue 1,31,38.0,54,,167,,,4.39,,0.29,,6,8
62,Montpellier,fr Ligue 1,30,38.0,46,,143,,,3.76,,0.31,,2,2
63,Nantes,fr Ligue 1,29,38.0,30,,132,,,3.47,,0.23,,0,0
64,Napoli,it Serie A,22,38.0,78,,244,,,6.42,,0.29,,7,8
65,Newcastle Utd,eng Premier League,31,38.0,43,,150,,,3.95,,0.27,,3,3
66,Nice,fr Ligue 1,33,38.0,55,,159,,,4.18,,0.31,,5,5
67,Norwich City,eng Premier League,28,38.0,38,,130,,,3.42,,0.28,,1,1
68,Palermo,it Serie A,31,38.0,37,,134,,,3.53,,0.27,,1,1
69,Paris S-G,fr Ligue 1,28,38.0,101,,249,,,6.55,,0.38,,6,8
70,Rayo Vallecano,es La Liga,29,38.0,52,504.0,179,35.5,13.26,4.71,0.1,0.28,,2,3
71,Real Madrid,es La Liga,24,38.0,108,712.0,289,40.6,18.74,7.61,0.14,0.35,,6,9
72,Real Sociedad,es La Liga,27,38.0,44,455.0,157,34.5,11.97,4.13,0.09,0.27,,1,1
73,Reims,fr Ligue 1,31,38.0,43,,157,,,4.13,,0.26,,2,3
74,Rennes,fr Ligue 1,31,38.0,48,,155,,,4.08,,0.29,,3,7
75,Roma,it Serie A,32,38.0,83,,220,,,5.79,,0.36,,4,4
76,Saint-Étienne,fr Ligue 1,31,38.0,39,,137,,,3.61,,0.26,,3,4
77,Sampdoria,it Serie A,35,38.0,45,,150,,,3.95,,0.28,,3,3
78,Sassuolo,it Serie A,26,38.0,48,,166,,,4.37,,0.27,,4,5
79,Schalke 04,de Bundesliga,28,34.0,47,,162,,,4.76,,0.27,,3,5
80,Sevilla,es La Liga,33,38.0,50,460.0,182,39.6,12.11,4.79,0.1,0.24,,6,7
81,Southampton,eng Premier League,26,38.0,58,,165,,,4.34,,0.33,,3,4
82,Sporting Gijón,es La Liga,28,38.0,39,374.0,122,32.6,9.84,3.21,0.1,0.31,,1,2
83,Stoke City,eng Premier League,27,38.0,40,,127,,,3.34,,0.28,,5,5
84,Stuttgart,de Bundesliga,31,34.0,48,,189,,,5.56,,0.23,,4,4
85,Sunderland,eng Premier League,31,38.0,44,,173,,,4.55,,0.24,,3,3
86,Swansea City,eng Premier League,27,38.0,41,,135,,,3.55,,0.27,,5,5
87,Torino,it Serie A,27,38.0,49,,173,,,4.55,,0.23,,9,11
88,Tottenham,eng Premier League,24,38.0,68,,250,,,6.58,,0.25,,5,5
89,Toulouse,fr Ligue 1,25,38.0,43,,159,,,4.18,,0.25,,4,6
90,Troyes,fr Ligue 1,33,38.0,27,,146,,,3.84,,0.16,,3,3
91,Udinese,it Serie A,28,38.0,34,,147,,,3.87,,0.22,,2,2
92,Valencia,es La Liga,30,38.0,42,405.0,140,34.6,10.66,3.68,0.09,0.27,,4,5
93,Villarreal,es La Liga,26,38.0,42,340.0,133,39.1,8.95,3.5,0.11,0.29,,3,3
94,Watford,eng Premier League,25,38.0,38,,139,,,3.66,,0.23,,6,7
95,Werder Bremen,de Bundesliga,30,34.0,49,,152,,,4.47,,0.28,,6,9
96,West Brom,eng Premier League,28,38.0,32,,108,,,2.84,,0.29,,1,5
97,West Ham,eng Premier League,28,38.0,64,,186,,,4.89,,0.32,,4,4
98,Wolfsburg,de Bundesliga,29,34.0,46,,196,,,5.76,,0.22,,3,3
