Rk,Squad,Comp,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
75,Roma,it Serie A,32,26.2,57.7,38,418,3420,38.0,83,55,138,79,4,4,87,0.0,2.18,1.45,3.63,2.08,3.53
76,Saint-Étienne,fr Ligue 1,31,27.2,51.5,38,418,3420,38.0,39,27,66,36,3,4,76,,1.03,0.71,1.74,0.95,1.66
77,Sampdoria,it Serie A,35,27.5,49.4,38,418,3420,38.0,45,30,75,42,3,3,111,0.0,1.18,0.79,1.97,1.11,1.89
78,Sassuolo,it Serie A,26,27.0,51.1,38,418,3420,38.0,48,33,81,44,4,5,98,0.0,1.26,0.87,2.13,1.16,2.03
79,Schalke 04,de Bundesliga,28,24.9,52.2,34,374,3060,34.0,47,37,84,44,3,5,64,0.0,1.38,1.09,2.47,1.29,2.38
80,Sevilla,es La Liga,33,26.9,50.0,38,418,3420,38.0,50,35,85,44,6,7,106,8.0,1.32,0.92,2.24,1.16,2.08
81,Southampton,eng Premier League,26,26.4,49.2,38,418,3420,38.0,58,45,103,55,3,4,63,0.0,1.53,1.18,2.71,1.45,2.63
82,Sporting Gijón,es La Liga,28,24.5,43.1,38,418,3420,38.0,39,29,68,38,1,2,107,6.0,1.03,0.76,1.79,1.0,1.76
83,Stoke City,eng Premier League,27,27.4,49.7,38,418,3420,38.0,40,29,69,35,5,5,53,0.0,1.05,0.76,1.82,0.92,1.68
84,Stuttgart,de Bundesliga,31,26.0,47.9,34,374,3060,34.0,48,34,82,44,4,4,72,0.0,1.41,1.0,2.41,1.29,2.29
85,Sunderland,eng Premier League,31,27.3,41.0,38,418,3420,38.0,44,30,74,41,3,3,68,0.0,1.16,0.79,1.95,1.08,1.87
86,Swansea City,eng Premier League,27,27.6,52.5,38,418,3420,38.0,41,25,66,36,5,5,60,0.0,1.08,0.66,1.74,0.95,1.61
87,Torino,it Serie A,27,27.6,47.5,38,418,3420,38.0,49,29,78,40,9,11,99,0.0,1.29,0.76,2.05,1.05,1.82
88,Tottenham,eng Premier League,24,24.5,57.4,38,418,3420,38.0,68,50,118,63,5,5,72,0.0,1.79,1.32,3.11,1.66,2.97
89,Toulouse,fr Ligue 1,25,23.8,46.6,38,418,3420,38.0,43,28,71,39,4,6,80,,1.13,0.74,1.87,1.03,1.76
90,Troyes,fr Ligue 1,33,26.5,48.2,38,418,3420,38.0,27,18,45,24,3,3,76,0.0,0.71,0.47,1.18,0.63,1.11
91,Udinese,it Serie A,28,27.6,44.4,38,418,3420,38.0,34,23,57,32,2,2,105,0.0,0.89,0.61,1.5,0.84,1.45
92,Valencia,es La Liga,30,24.7,50.1,38,419,3420,38.0,42,27,69,38,4,5,110,7.0,1.11,0.71,1.82,1.0,1.71
93,Villarreal,es La Liga,26,25.3,45.9,38,418,3420,38.0,42,32,74,39,3,3,103,4.0,1.11,0.84,1.95,1.03,1.87
94,Watford,eng Premier League,25,28.2,45.1,38,418,3420,38.0,38,18,56,32,6,7,77,0.0,1.0,0.47,1.47,0.84,1.32
95,Werder Bremen,de Bundesliga,30,26.6,44.9,34,374,3060,34.0,49,32,81,43,6,9,80,0.0,1.44,0.94,2.38,1.26,2.21
96,West Brom,eng Premier League,28,29.1,39.8,38,418,3420,38.0,32,25,57,31,1,5,65,0.0,0.84,0.66,1.5,0.82,1.47
97,West Ham,eng Premier League,28,26.6,48.4,38,418,3420,38.0,64,38,102,60,4,4,57,0.0,1.68,1.0,2.68,1.58,2.58
98,Wolfsburg,de Bundesliga,29,27.0,57.6,34,374,3060,34.0,46,39,85,43,3,3,59,0.0,1.35,1.15,2.5,1.26,2.41
