Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG
eng Manchester City,21,26.7,63.0,10,110,900,10.0,30,20,50,27,3,4,17,1,22.9,19.8,16.8,36.6,312,582,3.00,2.00,5.00,2.70,4.70,2.29,1.68,3.97,1.98,3.66
eng Manchester Utd,26,26.2,45.6,10,110,900,10.0,9,5,14,7,2,2,21,1,10.4,8.9,6.2,15.1,205,397,0.90,0.50,1.40,0.70,1.20,1.04,0.62,1.66,0.89,1.51
fr Monaco,29,25.0,45.0,6,66,540,6.0,2,1,3,2,0,1,13,0,5.1,4.3,3.2,7.5,135,241,0.33,0.17,0.50,0.33,0.50,0.84,0.54,1.38,0.72,1.26
it Napoli,18,28.2,56.3,6,66,540,6.0,7,5,12,6,1,1,13,0,10.9,10.1,7.7,17.8,97,312,1.17,0.83,2.00,1.00,1.83,1.81,1.28,3.09,1.68,2.96
fr Paris S-G,20,27.0,58.5,8,88,720,8.0,19,14,33,19,0,0,18,0,16.9,16.9,15.2,32.1,212,340,2.37,1.75,4.12,2.37,4.12,2.11,1.90,4.01,2.11,4.01
pt Porto,25,27.9,53.0,10,110,930,10.3,20,15,35,16,4,5,20,0,16.9,13.0,11.1,24.0,191,379,1.94,1.45,3.39,1.55,3.00,1.64,1.07,2.71,1.25,2.32
nl PSV Eindhoven,18,24.4,31.8,6,66,540,6.0,6,5,11,6,0,0,14,0,7.1,7.1,5.5,12.6,85,143,1.00,0.83,1.83,1.00,1.83,1.19,0.92,2.11,1.19,2.11
es Real Madrid,24,27.0,62.1,8,88,720,8.0,15,12,27,15,0,0,14,1,16.9,16.9,15.3,32.1,257,536,1.87,1.50,3.38,1.87,3.38,2.11,1.91,4.02,2.11,4.02
rs Red Star,20,26.8,30.5,6,66,540,6.0,5,3,8,5,0,0,17,0,2.9,2.9,2.4,5.2,63,118,0.83,0.50,1.33,0.83,1.33,0.48,0.40,0.87,0.48,0.87
it Roma,24,27.4,49.3,8,88,750,8.3,14,12,26,13,1,1,13,1,15.0,14.2,11.6,25.8,153,399,1.68,1.44,3.12,1.56,3.00,1.79,1.39,3.19,1.70,3.09
de Schalke 04,27,26.2,42.3,8,88,720,8.0,8,4,12,5,3,3,16,0,10.5,8.2,5.7,13.9,147,241,1.00,0.50,1.50,0.62,1.13,1.31,0.71,2.02,1.02,1.73
ua Shakhtar,20,27.5,49.2,6,66,540,6.0,8,8,16,8,0,0,10,0,6.9,6.9,6.2,13.1,135,214,1.33,1.33,2.67,1.33,2.67,1.15,1.04,2.19,1.15,2.19
eng Tottenham,24,27.0,52.5,13,143,1170,13.0,20,17,37,20,0,0,23,1,20.5,20.5,16.9,37.4,275,564,1.54,1.31,2.85,1.54,2.85,1.58,1.30,2.88,1.58,2.88
es Valencia,22,25.9,50.3,6,66,540,6.0,5,2,7,5,0,1,20,0,6.9,6.1,4.6,10.7,126,271,0.83,0.33,1.17,0.83,1.17,1.15,0.77,1.92,1.02,1.79
cz Viktoria Plzeň,21,29.6,38.8,6,66,540,6.0,7,6,13,7,0,1,10,0,7.8,6.9,5.8,12.6,93,205,1.17,1.00,2.17,1.17,2.17,1.30,0.96,2.26,1.15,2.11
ch Young Boys,20,26.1,41.3,6,66,540,6.0,4,1,5,2,2,2,16,2,6.5,5.0,4.2,9.2,109,180,0.67,0.17,0.83,0.33,0.50,1.09,0.70,1.79,0.83,1.53
