Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
de Hoffenheim,1,6.0,14,0,1,1,0,15.7,0.37,+1.7,+0.29,37,85,43.5,165,28,31.5,31.0,55,60.0,43.2,68,2,2.9,8,1.33,19.1
it Inter,1,6.0,7,0,0,0,0,8.5,0.22,+1.5,+0.25,25,54,46.3,159,43,20.1,26.7,42,52.4,39.2,81,5,6.2,3,0.50,12.0
it Juventus,1,10.0,9,1,1,2,1,9.6,0.25,+1.6,+0.16,74,134,55.2,213,36,41.3,35.9,71,64.8,46.4,113,3,2.7,9,0.90,15.5
eng Liverpool,1,13.0,12,0,1,2,1,15.1,0.29,+4.1,+0.32,48,125,38.4,361,76,23.3,29.7,84,48.8,41.4,127,3,2.4,9,0.69,17.4
ru Loko Moscow,1,6.0,12,2,1,3,0,8.0,0.18,-4.0,-0.66,43,111,38.7,140,31,55.0,39.8,41,82.9,49.7,93,10,10.8,2,0.33,10.4
fr Lyon,2,8.0,16,1,0,1,0,17.7,0.32,+1.7,+0.21,40,119,33.6,177,28,40.7,36.9,71,66.2,48.0,101,1,1.0,9,1.13,15.4
eng Manchester City,1,10.0,12,3,0,1,0,10.1,0.24,-1.9,-0.19,26,52,50.0,237,37,14.3,25.9,48,37.5,41.2,69,6,8.7,18,1.80,18.4
eng Manchester Utd,2,10.0,11,0,0,1,2,10.6,0.32,+1.6,+0.16,61,134,45.5,160,36,46.3,38.3,83,72.3,51.8,124,4,3.2,2,0.20,10.1
fr Monaco,3,6.0,14,1,0,1,0,12.0,0.40,-2.0,-0.33,28,58,48.3,112,18,34.8,28.7,48,39.6,36.3,72,3,4.2,5,0.83,12.0
it Napoli,1,6.0,5,0,0,0,1,6.6,0.33,+2.6,+0.44,30,75,40.0,173,28,30.1,32.1,41,56.1,43.2,67,4,6.0,10,1.67,16.0
fr Paris S-G,2,8.0,12,4,0,0,0,10.6,0.25,-1.4,-0.18,22,60,36.7,159,27,20.8,29.1,54,50.0,40.6,87,2,2.3,1,0.13,10.2
pt Porto,1,10.3,15,3,0,2,0,13.8,0.26,-1.2,-0.12,64,160,40.0,295,29,38.3,35.3,75,62.7,45.4,136,3,2.2,11,1.06,15.7
nl PSV Eindhoven,1,6.0,13,0,1,0,0,13.1,0.26,+0.1,+0.02,63,134,47.0,126,21,61.1,42.3,72,79.2,57.7,119,3,2.5,2,0.33,10.2
es Real Madrid,2,8.0,10,0,1,0,0,11.3,0.31,+1.3,+0.16,47,102,46.1,187,46,36.4,38.2,59,57.6,47.7,79,3,3.8,10,1.25,16.2
rs Red Star,1,6.0,17,1,2,1,0,18.7,0.30,+1.7,+0.28,47,136,34.6,155,25,57.4,43.4,66,71.2,52.6,99,4,4.0,6,1.00,14.1
it Roma,2,8.3,12,1,1,1,0,15.0,0.33,+3.0,+0.36,39,111,35.1,208,52,31.3,25.1,70,65.7,48.7,111,5,4.5,6,0.72,19.0
de Schalke 04,2,8.0,14,2,1,1,0,12.5,0.30,-1.5,-0.19,33,98,33.7,156,31,42.3,37.4,52,61.5,45.3,59,2,3.4,3,0.38,13.0
ua Shakhtar,1,6.0,16,2,0,2,0,11.8,0.27,-4.2,-0.70,37,92,40.2,186,44,34.9,32.8,58,46.6,40.6,80,5,6.3,5,0.83,13.7
eng Tottenham,3,13.0,19,1,0,4,0,17.0,0.28,-2.0,-0.16,70,161,43.5,368,64,29.6,32.3,101,51.5,41.0,133,6,4.5,11,0.85,13.2
es Valencia,2,6.0,6,3,0,0,0,8.1,0.18,+2.1,+0.35,32,74,43.2,90,28,48.9,38.7,48,62.5,47.1,110,5,4.5,2,0.33,11.4
cz Viktoria Plzeň,2,6.0,16,2,0,3,0,14.7,0.30,-1.3,-0.21,59,138,42.8,169,40,55.0,36.1,58,77.6,50.3,110,3,2.7,2,0.33,9.5
ch Young Boys,2,6.0,12,1,0,0,0,11.1,0.34,-0.9,-0.15,63,149,42.3,171,29,57.3,45.0,56,91.1,60.0,102,1,1.0,2,0.33,10.8
