Rk,Squad,Comp,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
14,Bologna,it Serie A,37,50.8,38.0,22797,2727,7474,10036,5490,763,22793,628,345,54.9,283,45.1,12692,68892,34608,707,473,176,598,305,14515,1495
15,Bordeaux,fr Ligue 1,28,49.8,38.0,23564,2361,7808,11547,4454,603,23560,679,391,57.6,287,42.3,13778,70213,34273,644,459,156,614,396,15747,1291
16,Brest,fr Ligue 1,26,49.3,38.0,23400,2617,8252,10194,5202,723,23396,613,383,62.5,230,37.5,13831,71207,37159,685,479,132,561,285,15317,1421
17,Brighton,eng Premier League,27,51.1,38.0,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73653,37608,685,468,131,549,306,15634,1495
18,Burnley,eng Premier League,25,42.1,38.0,19392,2181,5794,9081,4684,699,19389,403,234,58.1,170,42.2,9239,46385,20946,389,340,75,503,278,10755,1002
19,Cádiz,es La Liga,34,34.8,38.0,15979,2120,5874,6716,3598,438,15975,513,321,62.6,192,37.4,7259,41549,20745,455,357,79,561,294,7859,838
20,Cagliari,it Serie A,32,44.8,38.0,20989,2354,7007,9356,4876,711,20984,605,336,55.5,269,44.5,10948,61020,31672,589,461,122,532,281,12936,1217
21,Celta Vigo,es La Liga,30,53.3,38.0,23271,2443,7999,10717,4742,593,23264,465,276,59.4,189,40.6,13151,62112,31160,514,431,109,533,279,15060,1299
22,Chelsea,eng Premier League,27,60.9,38.0,29889,2502,8879,13917,7308,1017,29879,657,359,54.6,298,45.4,17523,90661,48291,895,663,243,585,286,21851,1787
23,Crotone,it Serie A,31,46.3,38.0,21226,2904,8260,9199,3983,577,21217,623,385,61.8,237,38.0,11536,61128,30798,582,386,119,610,366,13427,1206
24,Crystal Palace,eng Premier League,24,40.6,38.0,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10227,56545,26885,526,388,151,596,402,11525,1113
25,Dijon,fr Ligue 1,33,46.2,38.0,21990,2520,8132,10171,3924,497,21985,673,385,57.2,288,42.8,12516,61771,30394,527,413,91,654,366,13866,1196
26,Dortmund,de Bundesliga,26,59.6,34.0,25939,2072,7088,12665,6400,1004,25932,630,400,63.5,229,36.3,15276,82294,42706,763,558,211,532,294,18713,1734
27,Eibar,es La Liga,30,49.3,38.0,20829,1764,5553,9563,5924,671,20819,519,320,61.7,199,38.3,10428,53693,24386,507,373,102,657,320,11685,1282
28,Eint Frankfurt,de Bundesliga,25,53.7,34.0,22260,2238,6633,10666,5179,784,22252,514,277,53.9,237,46.1,11914,64571,33489,664,491,154,565,312,14146,1534
29,Elche,es La Liga,30,47.5,38.0,20849,2572,8345,9141,3560,417,20846,618,365,59.1,253,40.9,11794,58755,28514,501,368,73,614,345,13378,922
30,Everton,eng Premier League,29,46.4,38.0,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,604,443,105,552,344,14706,1177
31,Fiorentina,it Serie A,30,46.3,38.0,20903,2094,6147,9711,5257,659,20897,575,325,56.5,250,43.5,11681,63012,31755,637,499,114,561,422,13327,1345
32,Freiburg,de Bundesliga,24,47.3,34.0,19508,2360,7173,8373,4126,609,19502,423,230,54.4,193,45.6,10521,53317,26292,463,326,111,531,231,12049,1155
33,Fulham,eng Premier League,28,49.7,38.0,23810,2407,8063,10438,5567,728,23804,795,506,63.6,289,36.4,13406,74278,37380,727,525,156,721,393,15290,1338
34,Genoa,it Serie A,34,44.8,38.0,22041,2592,7852,10124,4302,575,22037,540,294,54.4,246,45.6,12392,60413,29841,523,393,118,589,304,13835,1155
35,Getafe,es La Liga,31,43.3,38.0,17678,1589,4689,7849,5367,669,17673,483,263,54.5,220,45.5,8137,43690,21035,443,390,116,607,354,8882,1076
36,Gladbach,de Bundesliga,23,51.7,34.0,22731,2265,7428,11085,4422,763,22720,533,319,59.8,214,40.2,12808,63789,33946,612,415,186,548,299,15116,1363
37,Granada,es La Liga,34,41.4,38.0,17155,2133,6002,7387,3948,532,17149,516,312,60.5,204,39.5,8122,43889,21461,411,288,105,526,346,8979,961
38,Hellas Verona,it Serie A,32,49.8,38.0,21344,2127,6507,9961,5150,706,21341,479,292,61.0,187,39.0,11100,57832,29476,599,457,138,578,309,12789,1474
39,Hertha BSC,de Bundesliga,32,49.6,34.0,19978,2070,6901,9353,3935,652,19972,571,329,57.6,242,42.4,11197,62916,31992,589,394,171,563,310,12472,1163
40,Hoffenheim,de Bundesliga,30,51.2,34.0,21927,2268,7085,10005,5044,741,21921,553,279,50.5,274,49.5,12424,62580,31672,581,420,136,613,280,14162,1510
41,Huesca,es La Liga,27,48.3,38.0,21271,2396,7960,9099,4469,594,21267,653,426,65.2,227,34.8,11737,65272,34054,617,452,113,539,305,13397,1173
42,Inter,it Serie A,25,52.5,38.0,25312,2417,7654,11562,6304,1012,25303,454,260,57.3,193,42.5,14452,75884,42467,766,517,198,543,262,18210,1695
43,Juventus,it Serie A,30,56.9,38.0,27067,2595,7973,12836,6507,1068,27057,684,451,65.9,233,34.1,15418,85068,46167,949,696,272,581,300,19722,1756
44,Köln,de Bundesliga,28,46.3,34.0,19710,2348,7307,8641,3948,524,19704,420,238,56.7,182,43.3,10391,52199,25655,429,304,84,576,264,11841,1120
45,Lazio,it Serie A,30,53.0,38.0,24888,2487,7653,11527,5958,883,24878,553,297,53.7,256,46.3,14348,81890,44030,785,618,171,553,304,16794,1677
46,Leeds United,eng Premier League,23,57.3,38.0,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,811,491,158,667,319,16154,1625
47,Leicester City,eng Premier League,27,54.3,38.0,25366,2268,7924,11997,5675,772,25354,645,358,55.5,287,44.5,13991,72245,37072,666,481,141,549,322,16883,1455
48,Lens,fr Ligue 1,27,51.1,38.0,23098,2044,6791,11442,5083,678,23086,636,363,57.1,273,42.9,13085,75523,42321,743,499,122,620,348,14953,1553
49,Levante,es La Liga,29,52.2,38.0,21882,2407,7652,9504,4931,679,21876,615,366,59.5,249,40.5,12435,63695,33417,621,446,136,548,326,14069,1526
50,Leverkusen,de Bundesliga,30,59.7,34.0,25357,2233,7430,12821,5329,785,25354,710,426,60.0,284,40.0,14600,78526,39850,724,500,202,620,335,17759,1510
51,Lille,fr Ligue 1,21,53.8,38.0,25941,1898,6831,13326,6020,726,25936,705,408,57.9,297,42.1,15631,76909,39867,713,620,168,622,380,17767,1647
52,Liverpool,eng Premier League,28,62.1,38.0,30073,2075,7215,14867,8242,1211,30067,696,407,58.5,288,41.4,19103,96220,50778,886,754,249,592,387,21796,2041
53,Lorient,fr Ligue 1,27,44.6,38.0,21346,1961,7224,10271,4118,511,21336,635,361,56.9,274,43.1,11509,58437,29360,572,440,112,618,349,13049,1158
54,Lyon,fr Ligue 1,29,54.9,38.0,25614,2062,6882,12340,6637,1100,25604,812,479,59.0,333,41.0,15185,75787,41526,804,621,246,636,326,17592,1980
55,Mainz 05,de Bundesliga,31,40.7,34.0,17743,2093,6262,7633,4007,638,17738,488,268,54.9,220,45.1,8673,45474,23394,442,303,110,577,279,9456,1034
56,Manchester City,eng Premier League,24,63.5,38.0,30700,1912,6477,15960,8504,1196,30691,783,485,61.9,298,38.1,20039,106424,59443,1096,863,340,510,350,23640,2033
57,Manchester Utd,eng Premier League,29,55.7,38.0,26617,2222,7609,11950,7323,921,26606,711,415,58.4,293,41.2,15481,88886,47495,877,666,201,536,360,18671,1817
58,Marseille,fr Ligue 1,31,53.6,38.0,24581,2364,7705,12328,4779,650,24574,582,321,55.2,261,44.8,14356,68585,36113,606,409,140,571,312,16362,1490
59,Metz,fr Ligue 1,27,45.2,38.0,21372,2166,7340,10088,4182,529,21361,678,381,56.2,297,43.8,12250,68808,34671,744,541,135,695,381,13076,1210
60,Milan,it Serie A,29,51.7,38.0,23790,2347,7303,10849,5914,944,23770,670,415,61.9,254,37.9,13083,73292,39841,784,562,187,616,299,15747,1474
61,Monaco,fr Ligue 1,30,55.8,38.0,25954,2018,7190,13087,5926,922,25939,570,308,54.0,262,46.0,14599,75884,40603,757,511,159,608,304,17644,1738
62,Montpellier,fr Ligue 1,25,45.7,38.0,20692,2271,6950,9233,4727,707,20687,587,299,50.9,288,49.1,11316,60679,31283,619,452,131,590,300,12605,1303
63,Nantes,fr Ligue 1,25,43.9,38.0,20868,1949,6147,10133,4806,666,20859,678,378,55.8,300,44.2,10893,57486,28597,656,459,182,620,367,12247,1342
64,Napoli,it Serie A,25,55.1,38.0,25980,2237,7377,12383,6476,987,25972,628,386,61.5,242,38.5,16098,84118,43648,884,614,236,482,255,18764,1699
65,Newcastle Utd,eng Premier League,27,38.8,38.0,18774,2524,7166,7894,3941,552,18767,587,350,59.6,237,40.4,9605,51309,24707,467,376,114,519,297,10730,888
66,Nice,fr Ligue 1,31,54.3,38.0,25537,2558,8505,12382,4889,696,25530,741,440,59.4,301,40.6,16012,86546,47274,784,508,167,664,366,18001,1517
67,Nîmes,fr Ligue 1,33,44.4,38.0,21040,2456,7793,9153,4316,583,21032,616,320,51.9,296,48.1,11514,58681,30411,520,353,126,645,362,12585,1187
68,Osasuna,es La Liga,28,43.2,38.0,18965,2103,6010,8686,4447,623,18959,441,245,55.6,195,44.2,8688,42982,19734,345,315,64,588,310,10118,1200
69,Paris S-G,fr Ligue 1,33,63.1,38.0,29991,2001,7025,15634,7568,1066,29978,847,489,57.7,358,42.3,18932,96108,52004,909,784,235,577,348,22801,2063
70,Parma,it Serie A,42,47.8,38.0,22445,2749,8081,10168,4419,646,22440,589,362,61.5,227,38.5,12613,65609,35173,607,448,136,561,292,14679,1306
71,RB Leipzig,de Bundesliga,25,59.7,34.0,25101,1819,6354,12853,6087,936,25091,523,315,60.2,208,39.8,14424,72660,37539,624,531,165,546,326,17383,1703
72,Real Madrid,es La Liga,30,59.3,38.0,27856,2279,7913,12359,7814,1021,27853,646,429,66.4,216,33.4,17126,95094,49939,963,739,242,546,315,20538,1909
73,Real Sociedad,es La Liga,30,54.9,38.0,22623,2089,6527,10724,5581,823,22611,550,330,60.0,220,40.0,12816,70621,37154,626,492,125,518,311,14729,1530
74,Reims,fr Ligue 1,29,44.9,38.0,21328,2485,8192,9133,4259,579,21322,669,371,55.5,298,44.5,12006,68417,36558,698,463,148,610,277,13431,1240
75,Rennes,fr Ligue 1,32,59.1,38.0,27736,1884,7185,14192,6569,843,27733,673,406,60.3,265,39.4,16447,80258,41778,741,590,172,610,287,19906,1873
76,Roma,it Serie A,31,52.2,38.0,23629,2212,6881,11582,5423,832,23621,663,397,59.9,266,40.1,13394,78708,41907,863,613,198,510,224,16417,1571
77,Saint-Étienne,fr Ligue 1,40,48.3,38.0,22250,2127,7691,10314,4484,676,22241,802,432,53.9,370,46.1,12165,67743,33862,615,437,130,715,363,13519,1218
78,Sampdoria,it Serie A,27,45.2,38.0,21722,2527,7324,9501,5135,697,21716,484,292,60.3,192,39.7,11277,58754,29752,588,441,115,566,287,13319,1353
79,Sassuolo,it Serie A,28,60.3,38.0,27668,2623,8138,13259,6493,844,27654,718,428,59.6,290,40.4,16435,85562,46650,770,625,182,573,313,20177,1733
80,Schalke 04,de Bundesliga,42,44.7,34.0,18697,2520,7325,8398,3172,478,18694,617,333,54.0,284,46.0,9957,52079,25372,452,336,92,592,352,11016,936
81,Sevilla,es La Liga,26,60.9,38.0,26485,2495,8190,12249,6228,784,26478,599,392,65.4,207,34.6,15794,78278,38933,691,552,151,516,309,19128,1606
82,Sheffield Utd,eng Premier League,27,41.7,38.0,20351,2314,6405,8599,5537,615,20347,475,269,56.6,207,43.6,10178,54344,27029,491,398,104,536,323,12037,1183
83,Southampton,eng Premier League,29,52.0,38.0,23607,2302,7497,11566,4756,698,23601,601,343,57.1,258,42.9,12535,66172,33536,626,517,126,638,386,14818,1190
84,Spezia,it Serie A,35,51.9,38.0,23299,2444,7772,10506,5279,757,23294,528,322,61.0,206,39.0,13645,72056,35873,625,453,174,606,295,15418,1377
85,Strasbourg,fr Ligue 1,26,45.7,38.0,21127,2036,6804,9870,4693,702,21115,508,299,58.9,209,41.1,11459,61355,29762,538,386,93,645,330,13021,1283
86,Stuttgart,de Bundesliga,29,51.5,34.0,21757,2468,7152,10263,4594,745,21749,668,413,61.8,255,38.2,11998,68676,36144,701,512,188,640,410,14042,1462
87,Torino,it Serie A,29,47.3,38.0,21242,2335,7170,9771,4561,660,21236,635,388,61.1,246,38.7,11765,63238,32606,617,474,99,576,297,13252,1125
88,Tottenham,eng Premier League,24,51.6,38.0,24670,2577,7991,11935,4997,700,24665,715,403,56.4,312,43.6,13842,73058,37183,633,506,152,519,334,16404,1316
89,Udinese,it Serie A,33,46.3,38.0,21424,2297,6915,9602,5119,737,21420,611,376,61.5,233,38.1,12449,66592,34279,672,502,145,604,330,13800,1397
90,Union Berlin,de Bundesliga,27,44.9,34.0,19568,2073,6988,8984,3800,562,19561,389,206,53.0,183,47.0,9945,52102,26037,464,372,90,547,230,11751,1045
91,Valencia,es La Liga,30,46.9,38.0,20239,2575,7195,8736,4520,560,20229,553,341,61.7,212,38.3,11500,62716,32815,576,468,102,498,268,12660,1168
92,Valladolid,es La Liga,32,45.2,38.0,19403,2227,6559,8418,4627,558,19395,504,291,57.7,214,42.5,9720,52059,25666,564,423,112,524,328,11055,1089
93,Villarreal,es La Liga,29,55.2,38.0,24816,2442,7838,11470,5730,819,24803,692,437,63.2,255,36.8,14443,77491,41859,737,558,185,545,336,17313,1608
94,Werder Bremen,de Bundesliga,27,43.9,34.0,19371,2267,7028,9010,3529,503,19366,367,188,51.2,179,48.8,9948,49831,25337,414,293,83,521,268,11552,1054
95,West Brom,eng Premier League,30,37.9,38.0,18248,2539,6670,7517,4238,578,18243,505,264,52.3,241,47.7,8262,44784,21527,441,283,103,613,313,9668,1017
96,West Ham,eng Premier League,24,43.2,38.0,20812,2294,6638,9343,5062,761,20808,542,298,55.0,244,45.0,10964,63242,30419,659,455,152,491,318,12609,1264
97,Wolfsburg,de Bundesliga,26,51.1,34.0,21358,2083,6589,10048,4952,747,21355,483,296,61.3,186,38.5,11549,60072,30460,595,469,139,618,296,13031,1381
98,Wolves,eng Premier League,27,49.3,38.0,23262,2190,7247,11021,5207,695,23258,779,468,60.1,311,39.9,13271,72782,38571,800,566,177,592,309,15405,1266
