Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
68,Osasuna,es La Liga,28,38.0,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,55.3
69,Paris S-G,fr Ligue 1,33,38.0,79,7,3,463,431,65,695,373,385,11,2,1,2052,355,300,54.2
70,Parma,it Serie A,42,38.0,91,1,0,525,481,78,643,463,317,4,3,3,1803,630,474,57.1
71,RB Leipzig,de Bundesliga,25,34.0,57,0,0,435,404,81,649,353,305,9,3,0,2060,622,466,57.2
72,Real Madrid,es La Liga,30,38.0,59,2,1,407,474,86,771,398,318,2,8,1,1901,444,381,53.8
73,Real Sociedad,es La Liga,30,38.0,81,1,0,566,459,86,712,315,322,8,5,1,1941,663,669,49.8
74,Reims,fr Ligue 1,29,38.0,77,8,1,442,414,61,539,487,372,3,8,1,1936,494,578,46.1
75,Rennes,fr Ligue 1,32,38.0,79,5,0,502,486,34,764,361,337,3,4,1,2003,627,554,53.1
76,Roma,it Serie A,31,38.0,91,3,3,553,425,62,679,489,273,6,6,3,1894,428,414,50.8
77,Saint-Étienne,fr Ligue 1,40,38.0,76,2,0,529,490,49,779,471,428,5,9,2,2119,611,624,49.5
78,Sampdoria,it Serie A,27,38.0,83,3,1,509,485,62,787,453,326,3,9,1,2048,628,597,51.3
79,Sassuolo,it Serie A,28,38.0,79,4,2,494,475,57,588,426,310,12,5,1,1850,408,450,47.6
80,Schalke 04,de Bundesliga,42,34.0,74,2,2,415,403,68,425,411,337,3,8,5,1748,519,564,47.9
81,Sevilla,es La Liga,26,38.0,79,2,2,491,488,69,731,362,297,4,6,2,1944,615,534,53.5
82,Sheffield Utd,eng Premier League,27,38.0,73,3,0,459,293,73,666,351,356,3,4,3,1802,718,798,47.4
83,Southampton,eng Premier League,29,38.0,52,3,0,428,421,76,554,401,419,4,9,1,2010,527,713,42.5
84,Spezia,it Serie A,35,38.0,100,5,4,588,529,82,602,395,318,5,10,0,2001,537,567,48.6
85,Strasbourg,fr Ligue 1,26,38.0,58,3,1,499,412,39,713,521,396,7,8,1,2036,691,658,51.2
86,Stuttgart,de Bundesliga,29,34.0,65,2,1,420,434,55,539,426,294,6,7,1,2053,544,452,54.6
87,Torino,it Serie A,29,38.0,78,4,3,577,602,59,740,444,306,6,10,0,1968,595,622,48.9
88,Tottenham,eng Premier League,24,38.0,57,2,2,440,468,45,526,342,361,5,10,3,1951,618,647,48.9
89,Udinese,it Serie A,33,38.0,65,2,1,511,522,82,703,440,294,3,14,0,1853,491,442,52.6
90,Union Berlin,de Bundesliga,27,34.0,57,2,1,434,375,84,640,405,283,6,5,2,1977,585,669,46.7
91,Valencia,es La Liga,30,38.0,82,5,3,459,525,90,613,392,277,6,8,2,1832,602,575,51.1
92,Valladolid,es La Liga,32,38.0,93,4,0,510,510,75,744,431,321,8,7,0,1922,628,818,43.4
93,Villarreal,es La Liga,29,38.0,67,5,1,449,465,88,579,371,313,7,9,2,1878,489,496,49.6
94,Werder Bremen,de Bundesliga,27,34.0,67,3,2,396,467,68,548,407,333,3,6,3,1738,609,582,51.1
95,West Brom,eng Premier League,30,38.0,51,4,0,404,412,75,604,435,328,4,11,3,1963,709,771,47.9
96,West Ham,eng Premier League,24,38.0,50,3,1,375,354,74,775,437,280,3,5,4,2005,738,677,52.2
97,Wolfsburg,de Bundesliga,26,34.0,58,3,1,442,379,77,643,477,363,1,5,1,2088,567,566,50.0
98,Wolves,eng Premier League,27,38.0,55,1,1,426,383,37,775,432,335,3,8,3,1899,576,596,49.1
