Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
27,Eint Frankfurt,de Bundesliga,2,34.0,43,3,,,,,,,,,,,,,,,,,,,,,,,
28,Empoli,it Serie A,2,38.0,61,5,,,,,,,,,,,,,,,,,,,,,,,
29,Espanyol,es La Liga,2,38.0,50,2,,,,,,,,,,,,,,,,,,,,,,,
30,Everton,eng Premier League,2,38.0,44,3,,,,,,,,,,,,,,,,,,,,,,,
31,Fiorentina,it Serie A,4,38.0,57,5,,,,,,,,,,,,,,,,,,,,,,,
32,Freiburg,de Bundesliga,1,34.0,60,4,,,,,,,,,,,,,,,,,,,,,,,
33,Genoa,it Serie A,3,38.0,64,4,,,,,,,,,,,,,,,,,,,,,,,
34,Gladbach,de Bundesliga,1,34.0,49,4,,,,,,,,,,,,,,,,,,,,,,,
35,Granada,es La Liga,1,38.0,82,2,,,,,,,,,,,,,,,,,,,,,,,
36,Guingamp,fr Ligue 1,3,38.0,53,7,,,,,,,,,,,,,,,,,,,,,,,
37,Hamburger SV,de Bundesliga,3,34.0,61,5,,,,,,,,,,,,,,,,,,,,,,,
38,Hertha BSC,de Bundesliga,1,34.0,47,4,,,,,,,,,,,,,,,,,,,,,,,
39,Hoffenheim,de Bundesliga,1,34.0,37,1,,,,,,,,,,,,,,,,,,,,,,,
40,Hull City,eng Premier League,2,38.0,80,11,,,,,,,,,,,,,,,,,,,,,,,
41,Ingolstadt 04,de Bundesliga,2,34.0,57,7,,,,,,,,,,,,,,,,,,,,,,,
42,Inter,it Serie A,2,38.0,49,5,,,,,,,,,,,,,,,,,,,,,,,
43,Juventus,it Serie A,3,38.0,27,1,,,,,,,,,,,,,,,,,,,,,,,
44,Köln,de Bundesliga,3,34.0,42,4,,,,,,,,,,,,,,,,,,,,,,,
45,La Coruña,es La Liga,3,38.0,61,3,,,,,,,,,,,,,,,,,,,,,,,
46,Las Palmas,es La Liga,2,38.0,74,11,,,,,,,,,,,,,,,,,,,,,,,
47,Lazio,it Serie A,3,38.0,51,5,,,,,,,,,,,,,,,,,,,,,,,
48,Leganés,es La Liga,5,38.0,55,6,,,,,,,,,,,,,,,,,,,,,,,
49,Leicester City,eng Premier League,2,38.0,63,3,,,,,,,,,,,,,,,,,,,,,,,
50,Leverkusen,de Bundesliga,1,34.0,55,3,,,,,,,,,,,,,,,,,,,,,,,
51,Lille,fr Ligue 1,2,38.0,47,4,,,,,,,,,,,,,,,,,,,,,,,
52,Liverpool,eng Premier League,2,38.0,42,3,,,,,,,,,,,,,,,,,,,,,,,
53,Lorient,fr Ligue 1,2,38.0,70,4,,,,,,,,,,,,,,,,,,,,,,,
54,Lyon,fr Ligue 1,2,38.0,48,5,,,,,,,,,,,,,,,,,,,,,,,
55,Mainz 05,de Bundesliga,2,34.0,55,3,,,,,,,,,,,,,,,,,,,,,,,
56,Málaga,es La Liga,2,38.0,55,6,,,,,,,,,,,,,,,,,,,,,,,
57,Manchester City,eng Premier League,2,38.0,39,2,,,,,,,,,,,,,,,,,,,,,,,
58,Manchester Utd,eng Premier League,3,38.0,29,4,,,,,,,,,,,,,,,,,,,,,,,
59,Marseille,fr Ligue 1,1,38.0,41,2,,,,,,,,,,,,,,,,,,,,,,,
60,Metz,fr Ligue 1,3,38.0,72,5,,,,,,,,,,,,,,,,,,,,,,,
61,Middlesbrough,eng Premier League,2,38.0,53,4,,,,,,,,,,,,,,,,,,,,,,,
62,Milan,it Serie A,1,38.0,45,5,,,,,,,,,,,,,,,,,,,,,,,
63,Monaco,fr Ligue 1,4,38.0,29,3,,,,,,,,,,,,,,,,,,,,,,,
64,Montpellier,fr Ligue 1,2,38.0,66,7,,,,,,,,,,,,,,,,,,,,,,,
65,Nancy,fr Ligue 1,2,38.0,52,7,,,,,,,,,,,,,,,,,,,,,,,
66,Nantes,fr Ligue 1,2,38.0,54,9,,,,,,,,,,,,,,,,,,,,,,,
67,Napoli,it Serie A,2,38.0,38,3,,,,,,,,,,,,,,,,,,,,,,,
68,Nice,fr Ligue 1,2,38.0,36,4,,,,,,,,,,,,,,,,,,,,,,,
69,Osasuna,es La Liga,4,38.0,94,4,,,,,,,,,,,,,,,,,,,,,,,
70,Palermo,it Serie A,2,38.0,77,6,,,,,,,,,,,,,,,,,,,,,,,
71,Paris S-G,fr Ligue 1,2,38.0,27,2,,,,,,,,,,,,,,,,,,,,,,,
72,Pescara,it Serie A,2,38.0,83,6,,,,,,,,,,,,,,,,,,,,,,,
73,RB Leipzig,de Bundesliga,2,34.0,39,3,,,,,,,,,,,,,,,,,,,,,,,
74,Real Madrid,es La Liga,2,38.0,41,2,,,,,,,,,,,,,,,,,,,,,,,
75,Real Sociedad,es La Liga,1,38.0,53,4,,,,,,,,,,,,,,,,,,,,,,,
76,Rennes,fr Ligue 1,1,38.0,42,1,,,,,,,,,,,,,,,,,,,,,,,
77,Roma,it Serie A,1,38.0,38,2,,,,,,,,,,,,,,,,,,,,,,,
78,Saint-Étienne,fr Ligue 1,3,38.0,42,2,,,,,,,,,,,,,,,,,,,,,,,
79,Sampdoria,it Serie A,2,38.0,55,6,,,,,,,,,,,,,,,,,,,,,,,
80,Sassuolo,it Serie A,1,38.0,56,5,,,,,,,,,,,,,,,,,,,,,,,
81,Schalke 04,de Bundesliga,1,34.0,40,6,,,,,,,,,,,,,,,,,,,,,,,
82,Sevilla,es La Liga,3,38.0,48,4,,,,,,,,,,,,,,,,,,,,,,,
83,Southampton,eng Premier League,1,38.0,48,6,,,,,,,,,,,,,,,,,,,,,,,
84,Sporting Gijón,es La Liga,2,38.0,72,7,,,,,,,,,,,,,,,,,,,,,,,
85,Stoke City,eng Premier League,3,38.0,56,1,,,,,,,,,,,,,,,,,,,,,,,
86,Sunderland,eng Premier League,2,38.0,69,4,,,,,,,,,,,,,,,,,,,,,,,
87,Swansea City,eng Premier League,2,38.0,70,6,,,,,,,,,,,,,,,,,,,,,,,
88,Torino,it Serie A,2,38.0,66,7,,,,,,,,,,,,,,,,,,,,,,,
89,Tottenham,eng Premier League,2,38.0,26,2,,,,,,,,,,,,,,,,,,,,,,,
90,Toulouse,fr Ligue 1,2,38.0,41,8,,,,,,,,,,,,,,,,,,,,,,,
91,Udinese,it Serie A,2,38.0,56,8,,,,,,,,,,,,,,,,,,,,,,,
92,Valencia,es La Liga,3,38.0,65,6,,,,,,,,,,,,,,,,,,,,,,,
93,Villarreal,es La Liga,2,38.0,33,5,,,,,,,,,,,,,,,,,,,,,,,
94,Watford,eng Premier League,2,38.0,68,3,,,,,,,,,,,,,,,,,,,,,,,
95,Werder Bremen,de Bundesliga,2,34.0,64,8,,,,,,,,,,,,,,,,,,,,,,,
96,West Brom,eng Premier League,1,38.0,51,3,,,,,,,,,,,,,,,,,,,,,,,
97,West Ham,eng Premier League,2,38.0,64,5,,,,,,,,,,,,,,,,,,,,,,,
98,Wolfsburg,de Bundesliga,2,34.0,52,2,,,,,,,,,,,,,,,,,,,,,,,
