Rk,Squad,Comp,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
35,Guingamp,fr Ligue 1,28,28.3,44.2,38,418,3420,38.0,40,26,66,33,7,7,62,0.0,1.05,0.68,1.74,0.87,1.55
36,Hamburger SV,de Bundesliga,31,27.3,46.8,34,374,3060,34.0,22,15,37,19,3,3,89,0.0,0.65,0.44,1.09,0.56,1.0
37,Hannover 96,de Bundesliga,25,26.0,51.3,34,374,3060,34.0,38,26,64,36,2,3,83,0.0,1.12,0.76,1.88,1.06,1.82
38,Hellas Verona,it Serie A,30,29.7,44.1,38,418,3420,38.0,48,35,83,44,4,6,105,0.0,1.26,0.92,2.18,1.16,2.08
39,Hertha BSC,de Bundesliga,26,26.2,40.5,34,374,3060,34.0,35,18,53,31,4,4,78,0.0,1.03,0.53,1.56,0.91,1.44
40,Hoffenheim,de Bundesliga,23,24.8,49.0,34,374,3060,34.0,48,33,81,44,4,5,68,0.0,1.41,0.97,2.38,1.29,2.26
41,Hull City,eng Premier League,29,27.4,44.2,38,418,3420,38.0,32,22,54,31,1,1,75,0.0,0.84,0.58,1.42,0.82,1.39
42,Inter,it Serie A,34,26.5,56.6,38,418,3420,38.0,58,36,94,53,5,7,101,0.0,1.53,0.95,2.47,1.39,2.34
43,Juventus,it Serie A,28,28.8,56.2,38,418,3420,38.0,71,44,115,65,6,9,76,0.0,1.87,1.16,3.03,1.71,2.87
44,Köln,de Bundesliga,23,25.1,42.8,34,374,3060,34.0,33,20,53,29,4,4,48,0.0,0.97,0.59,1.56,0.85,1.44
45,La Coruña,es La Liga,27,26.9,48.4,38,418,3420,38.0,33,17,50,29,4,7,111,0.0,0.87,0.45,1.32,0.76,1.21
46,Lazio,it Serie A,29,28.0,52.2,38,418,3420,38.0,70,47,117,67,3,5,114,0.0,1.84,1.24,3.08,1.76,3.0
47,Leicester City,eng Premier League,28,27.9,43.5,38,418,3420,38.0,45,29,74,42,3,3,49,0.0,1.18,0.76,1.95,1.11,1.87
48,Lens,fr Ligue 1,27,26.0,47.3,38,418,3420,38.0,32,19,51,27,5,8,76,,0.84,0.5,1.34,0.71,1.21
49,Levante,es La Liga,29,28.0,44.5,38,418,3420,38.0,34,22,56,31,3,4,107,0.0,0.89,0.58,1.47,0.82,1.39
50,Leverkusen,de Bundesliga,22,24.9,51.7,34,374,3060,34.0,62,36,98,62,0,1,80,0.0,1.82,1.06,2.88,1.82,2.88
51,Lille,fr Ligue 1,27,26.4,51.3,38,418,3420,38.0,42,28,70,37,5,8,63,0.0,1.11,0.74,1.84,0.97,1.71
52,Liverpool,eng Premier League,25,25.2,55.8,38,418,3420,38.0,48,30,78,43,5,6,70,0.0,1.26,0.79,2.05,1.13,1.92
53,Lorient,fr Ligue 1,32,24.8,49.6,38,418,3420,38.0,41,27,68,36,5,5,56,0.0,1.08,0.71,1.79,0.95,1.66
54,Lyon,fr Ligue 1,26,24.6,56.9,38,418,3420,38.0,69,47,116,60,9,12,64,0.0,1.82,1.24,3.05,1.58,2.82
55,Mainz 05,de Bundesliga,29,25.3,48.9,34,374,3060,34.0,44,26,70,39,5,5,52,0.0,1.29,0.76,2.06,1.15,1.91
56,Málaga,es La Liga,23,26.6,49.5,38,418,3420,38.0,40,27,67,36,4,7,112,0.0,1.05,0.71,1.76,0.95,1.66
57,Manchester City,eng Premier League,24,28.6,59.8,38,418,3420,38.0,82,61,143,75,7,8,82,0.0,2.16,1.61,3.76,1.97,3.58
58,Manchester Utd,eng Premier League,33,26.0,61.2,38,418,3420,38.0,60,41,101,57,3,5,68,0.0,1.58,1.08,2.66,1.5,2.58
59,Marseille,fr Ligue 1,25,25.6,57.7,38,418,3420,38.0,72,45,117,70,2,4,69,0.0,1.89,1.18,3.08,1.84,3.03
60,Metz,fr Ligue 1,31,26.3,44.9,38,418,3420,38.0,31,17,48,23,8,10,76,,0.82,0.45,1.26,0.61,1.05
61,Milan,it Serie A,35,28.1,51.3,38,418,3420,38.0,54,33,87,43,11,11,96,0.0,1.42,0.87,2.29,1.13,2.0
62,Monaco,fr Ligue 1,27,25.5,51.7,38,418,3420,38.0,50,35,85,45,5,7,63,0.0,1.32,0.92,2.24,1.18,2.11
63,Montpellier,fr Ligue 1,26,27.3,47.3,38,418,3420,38.0,45,32,77,42,3,6,51,0.0,1.18,0.84,2.03,1.11,1.95
64,Nantes,fr Ligue 1,27,26.3,47.1,38,418,3420,38.0,26,17,43,22,4,6,73,0.0,0.68,0.45,1.13,0.58,1.03
65,Napoli,it Serie A,26,27.0,54.8,38,418,3420,38.0,65,41,106,61,4,9,86,0.0,1.71,1.08,2.79,1.61,2.68
66,Newcastle Utd,eng Premier League,27,25.9,47.7,38,418,3420,38.0,40,30,70,39,1,1,78,0.0,1.05,0.79,1.84,1.03,1.82
67,Nice,fr Ligue 1,30,24.0,50.4,38,417,3420,38.0,44,29,73,40,4,4,89,0.0,1.16,0.76,1.92,1.05,1.82
68,Paderborn 07,de Bundesliga,24,26.8,43.2,34,374,3060,34.0,30,21,51,29,1,1,53,0.0,0.88,0.62,1.5,0.85,1.47
69,Palermo,it Serie A,31,26.8,49.6,38,418,3420,38.0,52,34,86,47,5,7,89,0.0,1.37,0.89,2.26,1.24,2.13
70,Paris S-G,fr Ligue 1,23,26.8,60.4,38,418,3420,38.0,80,55,135,67,13,14,66,0.0,2.11,1.45,3.55,1.76,3.21
71,Parma,it Serie A,38,28.4,44.9,38,418,3420,38.0,31,20,51,29,2,2,110,0.0,0.82,0.53,1.34,0.76,1.29
72,QPR,eng Premier League,32,28.2,45.2,38,418,3420,38.0,39,29,68,36,3,5,79,0.0,1.03,0.76,1.79,0.95,1.71
73,Rayo Vallecano,es La Liga,28,27.2,54.8,38,418,3420,38.0,46,33,79,44,2,3,113,0.0,1.21,0.87,2.08,1.16,2.03
74,Real Madrid,es La Liga,24,26.4,56.2,38,418,3420,38.0,116,91,207,105,11,13,87,0.0,3.05,2.39,5.45,2.76,5.16
75,Real Sociedad,es La Liga,25,26.5,49.8,38,418,3420,38.0,41,35,76,38,3,3,89,0.0,1.08,0.92,2.0,1.0,1.92
76,Reims,fr Ligue 1,30,27.0,48.9,38,418,3420,38.0,45,31,76,42,3,3,79,0.0,1.18,0.82,2.0,1.11,1.92
77,Rennes,fr Ligue 1,22,26.0,50.2,38,418,3420,38.0,34,28,62,33,1,3,56,,0.89,0.74,1.63,0.87,1.61
78,Roma,it Serie A,32,28.0,57.3,38,418,3420,38.0,53,40,93,47,6,7,111,0.0,1.39,1.05,2.45,1.24,2.29
79,Saint-Étienne,fr Ligue 1,24,27.1,50.3,38,418,3420,38.0,50,33,83,45,5,7,70,,1.32,0.87,2.18,1.18,2.05
80,Sampdoria,it Serie A,30,26.2,50.4,38,418,3420,38.0,46,30,76,44,2,2,103,0.0,1.21,0.79,2.0,1.16,1.95
81,Sassuolo,it Serie A,27,27.0,47.0,38,418,3420,38.0,47,30,77,40,7,9,115,0.0,1.24,0.79,2.03,1.05,1.84
82,Schalke 04,de Bundesliga,29,25.2,51.1,34,374,3060,34.0,40,29,69,38,2,3,68,0.0,1.18,0.85,2.03,1.12,1.97
83,Sevilla,es La Liga,26,26.2,50.3,38,418,3420,38.0,68,45,113,60,8,10,118,0.0,1.79,1.18,2.97,1.58,2.76
84,Southampton,eng Premier League,29,26.0,53.1,38,418,3420,38.0,49,32,81,47,2,3,59,0.0,1.29,0.84,2.13,1.24,2.08
85,Stoke City,eng Premier League,25,27.4,50.4,38,418,3420,38.0,47,30,77,44,3,3,84,0.0,1.24,0.79,2.03,1.16,1.95
86,Stuttgart,de Bundesliga,24,24.9,47.5,34,374,3060,34.0,41,29,70,40,1,1,64,0.0,1.21,0.85,2.06,1.18,2.03
87,Sunderland,eng Premier League,25,27.8,45.2,38,417,3420,38.0,30,20,50,26,4,4,96,0.0,0.79,0.53,1.32,0.68,1.21
88,Swansea City,eng Premier League,28,26.6,50.1,38,418,3420,38.0,43,34,77,41,2,2,54,0.0,1.13,0.89,2.03,1.08,1.97
89,Torino,it Serie A,31,28.1,49.2,38,418,3420,38.0,48,32,80,45,3,6,100,0.0,1.26,0.84,2.11,1.18,2.03
90,Tottenham,eng Premier League,27,24.4,57.0,38,418,3420,38.0,56,40,96,53,3,5,81,0.0,1.47,1.05,2.53,1.39,2.45
91,Toulouse,fr Ligue 1,27,24.4,49.1,38,418,3420,38.0,42,31,73,39,3,3,63,,1.11,0.82,1.92,1.03,1.84
92,Udinese,it Serie A,28,26.9,46.5,38,418,3420,38.0,41,27,68,40,1,1,99,0.0,1.08,0.71,1.79,1.05,1.76
93,Valencia,es La Liga,24,24.8,50.0,38,418,3420,38.0,66,48,114,61,5,7,112,0.0,1.74,1.26,3.0,1.61,2.87
94,Villarreal,es La Liga,28,25.0,48.6,38,418,3420,38.0,48,34,82,46,2,2,96,0.0,1.26,0.89,2.16,1.21,2.11
95,Werder Bremen,de Bundesliga,31,25.7,43.4,34,374,3060,34.0,49,36,85,45,4,5,70,0.0,1.44,1.06,2.5,1.32,2.38
96,West Brom,eng Premier League,26,28.0,43.7,38,418,3420,38.0,37,29,66,33,4,5,64,0.0,0.97,0.76,1.74,0.87,1.63
97,West Ham,eng Premier League,28,26.8,45.6,38,418,3420,38.0,43,34,77,42,1,2,66,0.0,1.13,0.89,2.03,1.11,2.0
98,Wolfsburg,de Bundesliga,22,26.1,54.9,34,374,3060,34.0,71,50,121,68,3,4,45,0.0,2.09,1.47,3.56,2.0,3.47
