Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
83,Sevilla,es La Liga,26,38.0,118,0.0,,604,,,,,,,,
84,Southampton,eng Premier League,29,38.0,59,0.0,,468,,,,,,,,
85,Stoke City,eng Premier League,25,38.0,84,0.0,,477,,,,,,,,
86,Stuttgart,de Bundesliga,24,34.0,64,0.0,,492,,,,,,,,
87,Sunderland,eng Premier League,25,38.0,96,0.0,,440,,,,,,,,
88,Swansea City,eng Premier League,28,38.0,54,0.0,,397,,,,,,,,
89,Torino,it Serie A,31,38.0,100,0.0,,528,,,,,,,,
90,Tottenham,eng Premier League,27,38.0,81,0.0,,442,,,,,,,,
91,Toulouse,fr Ligue 1,27,38.0,63,,,582,,,,,,,,
92,Udinese,it Serie A,28,38.0,99,0.0,,514,,,,,,,,
93,Valencia,es La Liga,24,38.0,112,0.0,,566,,,,,,,,
94,Villarreal,es La Liga,28,38.0,96,0.0,,526,,,,,,,,
95,Werder Bremen,de Bundesliga,31,34.0,70,0.0,,556,,,,,,,,
96,West Brom,eng Premier League,26,38.0,64,0.0,,420,,,,,,,,
97,West Ham,eng Premier League,28,38.0,66,0.0,,416,,,,,,,,
98,Wolfsburg,de Bundesliga,22,34.0,45,0.0,,430,,,,,,,,
