Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
27,Everton,eng Premier League,28,38.0,,,,,,,,,,,,,,,,
28,Evian,fr Ligue 1,29,38.0,,,,,,,,,,,,,,,,
29,Fiorentina,it Serie A,30,38.0,,,,,,,,,,,,,,,,
30,Freiburg,de Bundesliga,27,34.0,,,,,,,,,,,,,,,,
31,Genoa,it Serie A,33,38.0,,,,,,,,,,,,,,,,
32,Getafe,es La Liga,27,38.0,,,,,,,,,,,,,,,,
33,Gladbach,de Bundesliga,19,34.0,,,,,,,,,,,,,,,,
34,Granada,es La Liga,34,38.0,,,,,,,,,,,,,,,,
35,Guingamp,fr Ligue 1,28,38.0,,,,,,,,,,,,,,,,
36,Hamburger SV,de Bundesliga,31,34.0,,,,,,,,,,,,,,,,
37,Hannover 96,de Bundesliga,25,34.0,,,,,,,,,,,,,,,,
38,Hellas Verona,it Serie A,30,38.0,,,,,,,,,,,,,,,,
39,Hertha BSC,de Bundesliga,26,34.0,,,,,,,,,,,,,,,,
40,Hoffenheim,de Bundesliga,23,34.0,,,,,,,,,,,,,,,,
41,Hull City,eng Premier League,29,38.0,,,,,,,,,,,,,,,,
42,Inter,it Serie A,34,38.0,,,,,,,,,,,,,,,,
43,Juventus,it Serie A,28,38.0,,,,,,,,,,,,,,,,
44,Köln,de Bundesliga,23,34.0,,,,,,,,,,,,,,,,
45,La Coruña,es La Liga,27,38.0,,,,,,,,,,,,,,,,
46,Lazio,it Serie A,29,38.0,,,,,,,,,,,,,,,,
47,Leicester City,eng Premier League,28,38.0,,,,,,,,,,,,,,,,
48,Lens,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,,
49,Levante,es La Liga,29,38.0,,,,,,,,,,,,,,,,
50,Leverkusen,de Bundesliga,22,34.0,,,,,,,,,,,,,,,,
51,Lille,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,,
52,Liverpool,eng Premier League,25,38.0,,,,,,,,,,,,,,,,
53,Lorient,fr Ligue 1,32,38.0,,,,,,,,,,,,,,,,
54,Lyon,fr Ligue 1,26,38.0,,,,,,,,,,,,,,,,
55,Mainz 05,de Bundesliga,29,34.0,,,,,,,,,,,,,,,,
56,Málaga,es La Liga,23,38.0,,,,,,,,,,,,,,,,
57,Manchester City,eng Premier League,24,38.0,,,,,,,,,,,,,,,,
58,Manchester Utd,eng Premier League,33,38.0,,,,,,,,,,,,,,,,
59,Marseille,fr Ligue 1,25,38.0,,,,,,,,,,,,,,,,
60,Metz,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,,
61,Milan,it Serie A,35,38.0,,,,,,,,,,,,,,,,
62,Monaco,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,,
63,Montpellier,fr Ligue 1,26,38.0,,,,,,,,,,,,,,,,
64,Nantes,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,,
65,Napoli,it Serie A,26,38.0,,,,,,,,,,,,,,,,
66,Newcastle Utd,eng Premier League,27,38.0,,,,,,,,,,,,,,,,
67,Nice,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,,
68,Paderborn 07,de Bundesliga,24,34.0,,,,,,,,,,,,,,,,
69,Palermo,it Serie A,31,38.0,,,,,,,,,,,,,,,,
70,Paris S-G,fr Ligue 1,23,38.0,,,,,,,,,,,,,,,,
71,Parma,it Serie A,38,38.0,,,,,,,,,,,,,,,,
72,QPR,eng Premier League,32,38.0,,,,,,,,,,,,,,,,
73,Rayo Vallecano,es La Liga,28,38.0,,,,,,,,,,,,,,,,
74,Real Madrid,es La Liga,24,38.0,,,,,,,,,,,,,,,,
75,Real Sociedad,es La Liga,25,38.0,,,,,,,,,,,,,,,,
76,Reims,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,,
77,Rennes,fr Ligue 1,22,38.0,,,,,,,,,,,,,,,,
78,Roma,it Serie A,32,38.0,,,,,,,,,,,,,,,,
79,Saint-Étienne,fr Ligue 1,24,38.0,,,,,,,,,,,,,,,,
80,Sampdoria,it Serie A,30,38.0,,,,,,,,,,,,,,,,
81,Sassuolo,it Serie A,27,38.0,,,,,,,,,,,,,,,,
82,Schalke 04,de Bundesliga,29,34.0,,,,,,,,,,,,,,,,
83,Sevilla,es La Liga,26,38.0,,,,,,,,,,,,,,,,
84,Southampton,eng Premier League,29,38.0,,,,,,,,,,,,,,,,
85,Stoke City,eng Premier League,25,38.0,,,,,,,,,,,,,,,,
86,Stuttgart,de Bundesliga,24,34.0,,,,,,,,,,,,,,,,
87,Sunderland,eng Premier League,25,38.0,,,,,,,,,,,,,,,,
88,Swansea City,eng Premier League,28,38.0,,,,,,,,,,,,,,,,
89,Torino,it Serie A,31,38.0,,,,,,,,,,,,,,,,
90,Tottenham,eng Premier League,27,38.0,,,,,,,,,,,,,,,,
91,Toulouse,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,,
92,Udinese,it Serie A,28,38.0,,,,,,,,,,,,,,,,
93,Valencia,es La Liga,24,38.0,,,,,,,,,,,,,,,,
94,Villarreal,es La Liga,28,38.0,,,,,,,,,,,,,,,,
95,Werder Bremen,de Bundesliga,31,34.0,,,,,,,,,,,,,,,,
96,West Brom,eng Premier League,26,38.0,,,,,,,,,,,,,,,,
97,West Ham,eng Premier League,28,38.0,,,,,,,,,,,,,,,,
98,Wolfsburg,de Bundesliga,22,34.0,,,,,,,,,,,,,,,,
