Rk,Squad,Comp,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt
55,Mainz 05,de Bundesliga,29,34.0,44,,160,,,4.71,,0.24,,5,5
56,Málaga,es La Liga,23,38.0,40,,177,,,4.66,,0.2,,4,7
57,Manchester City,eng Premier League,24,38.0,82,,228,,,6.0,,0.33,,7,8
58,Manchester Utd,eng Premier League,33,38.0,60,,177,,,4.66,,0.32,,3,5
59,Marseille,fr Ligue 1,25,38.0,72,,203,,,5.34,,0.34,,2,4
60,Metz,fr Ligue 1,31,38.0,31,,153,,,4.03,,0.15,,8,10
61,Milan,it Serie A,35,38.0,54,,161,,,4.24,,0.27,,11,11
62,Monaco,fr Ligue 1,27,38.0,50,,165,,,4.34,,0.27,,5,7
63,Montpellier,fr Ligue 1,26,38.0,45,,137,,,3.61,,0.31,,3,6
64,Nantes,fr Ligue 1,27,38.0,26,,136,,,3.58,,0.16,,4,6
65,Napoli,it Serie A,26,38.0,65,,257,,,6.76,,0.24,,4,9
66,Newcastle Utd,eng Premier League,27,38.0,40,,140,,,3.68,,0.28,,1,1
67,Nice,fr Ligue 1,30,38.0,44,,146,,,3.84,,0.27,,4,4
68,Paderborn 07,de Bundesliga,24,34.0,30,,155,,,4.56,,0.19,,1,1
69,Palermo,it Serie A,31,38.0,52,,169,,,4.45,,0.28,,5,7
70,Paris S-G,fr Ligue 1,23,38.0,80,,223,,,5.87,,0.3,,13,14
71,Parma,it Serie A,38,38.0,31,,131,,,3.45,,0.22,,2,2
72,QPR,eng Premier League,32,38.0,39,,149,,,3.92,,0.24,,3,5
73,Rayo Vallecano,es La Liga,28,38.0,46,,176,,,4.63,,0.25,,2,3
74,Real Madrid,es La Liga,24,38.0,116,,306,,,8.05,,0.34,,11,13
75,Real Sociedad,es La Liga,25,38.0,41,,147,,,3.87,,0.26,,3,3
76,Reims,fr Ligue 1,30,38.0,45,,138,,,3.63,,0.3,,3,3
77,Rennes,fr Ligue 1,22,38.0,34,,128,,,3.37,,0.26,,1,3
78,Roma,it Serie A,32,38.0,53,,185,,,4.87,,0.25,,6,7
79,Saint-Étienne,fr Ligue 1,24,38.0,50,,151,,,3.97,,0.3,,5,7
80,Sampdoria,it Serie A,30,38.0,46,,162,,,4.26,,0.27,,2,2
81,Sassuolo,it Serie A,27,38.0,47,,164,,,4.32,,0.24,,7,9
82,Schalke 04,de Bundesliga,29,34.0,40,,152,,,4.47,,0.25,,2,3
83,Sevilla,es La Liga,26,38.0,68,,200,,,5.26,,0.3,,8,10
84,Southampton,eng Premier League,29,38.0,49,,167,,,4.39,,0.28,,2,3
85,Stoke City,eng Premier League,25,38.0,47,,136,,,3.58,,0.32,,3,3
86,Stuttgart,de Bundesliga,24,34.0,41,,145,,,4.26,,0.28,,1,1
87,Sunderland,eng Premier League,25,38.0,30,,129,,,3.39,,0.2,,4,4
88,Swansea City,eng Premier League,28,38.0,43,,146,,,3.84,,0.28,,2,2
89,Torino,it Serie A,31,38.0,48,,177,,,4.66,,0.25,,3,6
90,Tottenham,eng Premier League,27,38.0,56,,171,,,4.5,,0.31,,3,5
91,Toulouse,fr Ligue 1,27,38.0,42,,129,,,3.39,,0.3,,3,3
92,Udinese,it Serie A,28,38.0,41,,132,,,3.47,,0.3,,1,1
93,Valencia,es La Liga,24,38.0,66,,171,,,4.5,,0.36,,5,7
94,Villarreal,es La Liga,28,38.0,48,,190,,,5.0,,0.24,,2,2
95,Werder Bremen,de Bundesliga,31,34.0,49,,181,,,5.32,,0.25,,4,5
96,West Brom,eng Premier League,26,38.0,37,,132,,,3.47,,0.25,,4,5
97,West Ham,eng Premier League,28,38.0,43,,153,,,4.03,,0.27,,1,2
98,Wolfsburg,de Bundesliga,22,34.0,71,,210,,,6.18,,0.32,,3,4
