Rk,Squad,Comp,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt
21,Crotone,it Serie A,31,38.0,34,408,129,31.6,10.74,3.39,0.07,0.23,,4,5
22,Crystal Palace,eng Premier League,31,38.0,48,441,137,31.1,11.61,3.61,0.1,0.32,,4,7
23,Darmstadt 98,de Bundesliga,31,34.0,28,341,98,28.7,10.03,2.88,0.07,0.23,,5,7
24,Dijon,fr Ligue 1,27,38.0,42,430,158,36.7,11.32,4.16,0.09,0.25,,3,4
25,Dortmund,de Bundesliga,27,34.0,71,533,191,35.8,15.68,5.62,0.12,0.35,,5,7
26,Eibar,es La Liga,24,38.0,53,451,182,40.4,11.87,4.79,0.1,0.26,,6,8
27,Eint Frankfurt,de Bundesliga,26,34.0,35,382,123,32.2,11.24,3.62,0.09,0.27,,2,6
28,Empoli,it Serie A,29,38.0,29,364,127,34.9,9.58,3.34,0.07,0.2,,4,5
29,Espanyol,es La Liga,27,38.0,48,345,131,38.0,9.08,3.45,0.13,0.35,,2,4
30,Everton,eng Premier League,27,38.0,58,500,192,38.4,13.16,5.05,0.11,0.29,,3,4
31,Fiorentina,it Serie A,30,38.0,62,614,224,36.5,16.16,5.89,0.09,0.25,,6,10
32,Freiburg,de Bundesliga,25,34.0,42,409,142,34.7,12.03,4.18,0.09,0.25,,6,8
33,Genoa,it Serie A,33,38.0,36,453,148,32.7,11.92,3.89,0.08,0.23,,2,3
34,Gladbach,de Bundesliga,24,34.0,44,414,141,34.1,12.18,4.15,0.1,0.3,,1,4
35,Granada,es La Liga,35,38.0,30,385,125,32.5,10.13,3.29,0.08,0.24,,0,1
36,Guingamp,fr Ligue 1,25,38.0,46,446,167,37.4,11.74,4.39,0.09,0.25,,4,4
37,Hamburger SV,de Bundesliga,29,34.0,32,366,110,30.1,10.76,3.24,0.09,0.29,,0,2
38,Hertha BSC,de Bundesliga,26,34.0,42,348,127,36.5,10.24,3.74,0.11,0.29,,5,5
39,Hoffenheim,de Bundesliga,23,34.0,64,497,178,35.8,14.62,5.24,0.12,0.33,,5,5
40,Hull City,eng Premier League,28,38.0,36,396,126,31.8,10.42,3.32,0.08,0.26,,3,3
41,Ingolstadt 04,de Bundesliga,22,34.0,35,460,161,35.0,13.53,4.74,0.06,0.18,,6,8
42,Inter,it Serie A,29,38.0,70,636,212,33.3,16.74,5.58,0.11,0.32,,3,5
43,Juventus,it Serie A,27,38.0,72,588,211,35.9,15.47,5.55,0.12,0.33,,3,3
44,Köln,de Bundesliga,26,34.0,49,360,118,32.8,10.59,3.47,0.13,0.39,,3,4
45,La Coruña,es La Liga,28,38.0,42,462,146,31.6,12.16,3.84,0.08,0.27,,3,7
46,Las Palmas,es La Liga,29,38.0,52,437,182,41.6,11.5,4.79,0.11,0.25,,6,6
47,Lazio,it Serie A,30,38.0,73,590,212,35.9,15.53,5.58,0.1,0.29,,12,14
48,Leganés,es La Liga,31,38.0,36,411,135,32.8,10.82,3.55,0.08,0.24,,3,4
49,Leicester City,eng Premier League,25,38.0,46,435,145,33.3,11.45,3.82,0.1,0.29,,4,6
50,Leverkusen,de Bundesliga,24,34.0,53,449,177,39.4,13.21,5.21,0.11,0.28,,4,9
51,Lille,fr Ligue 1,31,38.0,40,488,157,32.2,12.84,4.13,0.07,0.22,,6,7
52,Liverpool,eng Premier League,23,38.0,77,639,236,36.9,16.82,6.21,0.11,0.3,,7,8
53,Lorient,fr Ligue 1,30,38.0,43,429,150,35.0,11.29,3.95,0.09,0.26,,4,6
54,Lyon,fr Ligue 1,27,38.0,74,575,217,37.7,15.13,5.71,0.11,0.29,,12,14
55,Mainz 05,de Bundesliga,28,34.0,43,419,146,34.8,12.32,4.29,0.09,0.25,,7,7
56,Málaga,es La Liga,29,38.0,48,492,168,34.1,12.95,4.42,0.09,0.27,,3,5
57,Manchester City,eng Premier League,25,38.0,75,633,215,34.0,16.66,5.66,0.11,0.32,,7,9
58,Manchester Utd,eng Premier League,31,38.0,54,589,207,35.1,15.5,5.45,0.09,0.25,,3,4
59,Marseille,fr Ligue 1,27,38.0,56,469,173,36.9,12.34,4.55,0.11,0.3,,4,4
60,Metz,fr Ligue 1,31,38.0,37,356,115,32.3,9.37,3.03,0.08,0.25,,8,9
61,Middlesbrough,eng Premier League,27,38.0,26,349,98,28.1,9.18,2.58,0.07,0.24,,2,2
62,Milan,it Serie A,28,38.0,55,556,191,34.4,14.63,5.03,0.09,0.25,,7,12
63,Monaco,fr Ligue 1,29,38.0,103,556,249,44.8,14.63,6.55,0.17,0.37,,11,11
64,Montpellier,fr Ligue 1,32,38.0,48,506,164,32.4,13.32,4.32,0.09,0.27,,3,3
65,Nancy,fr Ligue 1,27,38.0,29,378,113,29.9,9.95,2.97,0.07,0.25,,1,3
66,Nantes,fr Ligue 1,27,38.0,40,459,141,30.7,12.08,3.71,0.08,0.27,,2,4
67,Napoli,it Serie A,26,38.0,94,672,261,38.8,17.68,6.87,0.13,0.34,,5,6
68,Nice,fr Ligue 1,27,38.0,63,434,171,39.4,11.42,4.5,0.13,0.33,,6,8
69,Osasuna,es La Liga,35,38.0,37,395,147,37.2,10.39,3.87,0.08,0.22,,4,6
70,Palermo,it Serie A,30,38.0,33,385,119,30.9,10.13,3.13,0.08,0.27,,1,1
71,Paris S-G,fr Ligue 1,28,38.0,79,585,228,39.0,15.39,6.0,0.12,0.31,,9,10
72,Pescara,it Serie A,34,38.0,32,449,145,32.3,11.82,3.82,0.07,0.21,,2,6
73,RB Leipzig,de Bundesliga,23,34.0,62,444,173,39.0,13.06,5.09,0.13,0.34,,3,4
74,Real Madrid,es La Liga,24,38.0,106,662,265,40.0,17.42,6.97,0.15,0.38,,6,8
75,Real Sociedad,es La Liga,27,38.0,56,493,167,33.9,12.97,4.39,0.1,0.29,,7,8
76,Rennes,fr Ligue 1,31,38.0,35,430,145,33.7,11.32,3.82,0.08,0.23,,2,3
77,Roma,it Serie A,22,38.0,88,677,235,34.7,17.82,6.18,0.11,0.32,,12,14
78,Saint-Étienne,fr Ligue 1,34,38.0,40,405,133,32.8,10.66,3.5,0.09,0.26,,5,6
79,Sampdoria,it Serie A,24,38.0,45,504,165,32.7,13.26,4.34,0.08,0.23,,7,8
80,Sassuolo,it Serie A,28,38.0,59,445,173,38.9,11.71,4.55,0.11,0.29,,9,10
81,Schalke 04,de Bundesliga,29,34.0,45,446,135,30.3,13.12,3.97,0.1,0.32,,2,4
82,Sevilla,es La Liga,28,38.0,67,487,200,41.1,12.82,5.26,0.13,0.32,,3,5
83,Southampton,eng Premier League,26,38.0,39,549,179,32.6,14.45,4.71,0.07,0.2,,3,6
84,Sporting Gijón,es La Liga,29,38.0,42,377,135,35.8,9.92,3.55,0.1,0.28,,4,7
85,Stoke City,eng Premier League,26,38.0,37,426,135,31.7,11.21,3.55,0.08,0.24,,4,6
86,Sunderland,eng Premier League,31,38.0,28,388,122,31.4,10.21,3.21,0.06,0.19,,5,5
87,Swansea City,eng Premier League,27,38.0,45,403,145,36.0,10.61,3.82,0.1,0.29,,3,3
88,Torino,it Serie A,29,38.0,70,580,185,31.9,15.26,4.87,0.11,0.35,,5,9
89,Tottenham,eng Premier League,24,38.0,84,670,257,38.4,17.63,6.76,0.11,0.3,,7,9
90,Toulouse,fr Ligue 1,30,38.0,37,381,131,34.4,10.03,3.45,0.08,0.24,,6,9
91,Udinese,it Serie A,29,38.0,47,435,155,35.6,11.45,4.08,0.1,0.29,,2,3
92,Valencia,es La Liga,31,38.0,53,454,176,38.8,11.95,4.63,0.11,0.28,,4,6
93,Villarreal,es La Liga,27,38.0,55,430,170,39.5,11.32,4.47,0.11,0.29,,6,8
94,Watford,eng Premier League,33,38.0,39,424,143,33.7,11.16,3.76,0.08,0.25,,3,3
95,Werder Bremen,de Bundesliga,31,34.0,61,378,153,40.5,11.12,4.5,0.15,0.36,,6,6
96,West Brom,eng Premier League,23,38.0,43,399,124,31.1,10.5,3.26,0.11,0.34,,1,1
97,West Ham,eng Premier League,29,38.0,46,498,136,27.3,13.11,3.58,0.09,0.32,,3,4
98,Wolfsburg,de Bundesliga,31,34.0,32,430,141,32.8,12.65,4.15,0.07,0.21,,3,3
