Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90
88,Torino,it Serie A,29,26.4,38,3420,90,100,38.0,418,,,113,0,326,1.39,71,66,5,0.13
89,Tottenham,eng Premier League,24,25.3,38,3420,90,100,38.0,418,,,111,0,155,2.26,86,26,60,1.58
90,Toulouse,fr Ligue 1,30,23.3,38,3420,90,100,38.0,418,,,112,0,153,1.16,37,41,-4,-0.11
91,Udinese,it Serie A,29,26.7,38,3420,90,100,38.0,418,,,112,0,312,1.18,47,56,-9,-0.24
92,Valencia,es La Liga,31,25.9,38,3420,90,100,38.0,418,84.0,306.0,106,21,160,1.21,56,65,-9,-0.24
93,Villarreal,es La Liga,27,26.7,38,3420,90,100,38.0,418,85.0,303.0,111,18,152,1.76,56,33,23,0.61
94,Watford,eng Premier League,33,29.0,38,3420,90,100,38.0,418,,,108,0,158,1.05,40,68,-28,-0.74
95,Werder Bremen,de Bundesliga,31,27.0,34,3060,90,100,34.0,374,,,100,0,138,1.32,61,64,-3,-0.09
96,West Brom,eng Premier League,23,29.4,38,3420,90,100,38.0,418,,,109,0,158,1.18,43,51,-8,-0.21
97,West Ham,eng Premier League,29,27.1,38,3420,90,100,38.0,418,,,109,0,156,1.18,47,64,-17,-0.45
98,Wolfsburg,de Bundesliga,31,25.7,34,3060,90,100,34.0,374,,,96,0,142,1.09,34,52,-18,-0.53
