Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90
40,Hoffenheim,de Bundesliga,23,24.8,34,3060,90,100,34.0,374,,,100,0,138,1.29,49,55,-6,-0.18
41,Hull City,eng Premier League,29,27.4,38,3420,90,100,38.0,418,,,111,0,154,0.92,33,51,-18,-0.47
42,Inter,it Serie A,34,26.5,38,3420,90,100,38.0,418,,,108,0,323,1.45,59,48,11,0.29
43,Juventus,it Serie A,28,28.8,38,3420,90,100,38.0,418,,,108,0,285,2.29,72,24,48,1.26
44,Köln,de Bundesliga,23,25.1,34,3060,90,100,34.0,374,,,94,0,144,1.18,34,40,-6,-0.18
45,La Coruña,es La Liga,27,26.9,38,3420,90,100,38.0,418,,,112,0,151,0.92,35,60,-25,-0.66
46,Lazio,it Serie A,29,28.0,38,3420,90,100,38.0,418,,,114,0,312,1.82,71,38,33,0.87
47,Leicester City,eng Premier League,28,27.9,38,3420,90,100,38.0,418,,,111,0,155,1.08,46,55,-9,-0.24
48,Lens,fr Ligue 1,27,26.0,38,3420,90,100,38.0,418,,,109,0,150,0.76,32,61,-29,-0.76
49,Levante,es La Liga,29,28.0,38,3420,90,100,38.0,418,,,112,0,156,0.97,34,67,-33,-0.87
50,Leverkusen,de Bundesliga,22,24.9,34,3060,90,100,34.0,374,,,98,0,139,1.79,62,37,25,0.74
51,Lille,fr Ligue 1,27,26.4,38,3420,90,100,38.0,418,,,104,0,149,1.47,43,42,1,0.03
52,Liverpool,eng Premier League,25,25.2,38,3420,90,100,38.0,418,,,97,0,169,1.63,52,48,4,0.11
53,Lorient,fr Ligue 1,32,24.8,38,3420,90,100,38.0,418,,,107,0,158,1.13,44,50,-6,-0.16
54,Lyon,fr Ligue 1,26,24.6,38,3420,90,100,38.0,418,,,112,0,154,1.97,72,33,39,1.03
55,Mainz 05,de Bundesliga,29,25.3,34,3060,90,100,34.0,374,,,97,0,140,1.18,45,47,-2,-0.06
56,Málaga,es La Liga,23,26.6,38,3420,90,100,38.0,418,,,112,0,148,1.32,42,48,-6,-0.16
57,Manchester City,eng Premier League,24,28.6,38,3420,90,100,38.0,418,,,114,0,152,2.08,83,38,45,1.18
58,Manchester Utd,eng Premier League,33,26.0,38,3420,90,100,38.0,418,,,109,0,157,1.84,62,37,25,0.66
59,Marseille,fr Ligue 1,25,25.6,38,3420,90,100,38.0,418,,,103,0,162,1.82,76,42,34,0.89
60,Metz,fr Ligue 1,31,26.3,38,3420,90,100,38.0,418,,,103,0,160,0.79,31,61,-30,-0.79
61,Milan,it Serie A,35,28.1,38,3420,90,100,38.0,418,,,110,0,326,1.37,56,50,6,0.16
62,Monaco,fr Ligue 1,27,25.5,38,3420,90,100,38.0,418,,,111,0,155,1.87,51,26,25,0.66
63,Montpellier,fr Ligue 1,26,27.3,38,3420,90,100,38.0,418,,,111,0,143,1.47,46,39,7,0.18
64,Nantes,fr Ligue 1,27,26.3,38,3420,90,100,38.0,418,,,109,0,153,1.18,29,40,-11,-0.29
65,Napoli,it Serie A,26,27.0,38,3420,90,100,38.0,418,,,113,0,273,1.66,70,54,16,0.42
66,Newcastle Utd,eng Premier League,27,25.9,38,3420,90,100,38.0,418,,,108,0,159,1.03,40,63,-23,-0.61
67,Nice,fr Ligue 1,30,24.0,38,3420,90,100,38.0,417,,,108,0,157,1.26,44,53,-9,-0.24
68,Paderborn 07,de Bundesliga,24,26.8,34,3060,90,100,34.0,374,,,101,0,137,0.91,31,65,-34,-1.0
69,Palermo,it Serie A,31,26.8,38,3420,90,100,38.0,418,,,112,0,342,1.29,53,55,-2,-0.05
70,Paris S-G,fr Ligue 1,23,26.8,38,3420,90,100,38.0,418,,,101,0,164,2.18,83,36,47,1.24
71,Parma,it Serie A,38,28.4,38,3420,90,100,38.0,418,,,109,0,329,0.68,33,75,-42,-1.11
72,QPR,eng Premier League,32,28.2,38,3420,90,100,38.0,418,,,101,0,166,0.79,42,73,-31,-0.82
73,Rayo Vallecano,es La Liga,28,27.2,38,3420,90,100,38.0,418,,,110,0,157,1.29,46,68,-22,-0.58
74,Real Madrid,es La Liga,24,26.4,38,3420,90,100,38.0,418,,,111,0,155,2.42,118,38,80,2.11
75,Real Sociedad,es La Liga,25,26.5,38,3420,90,100,38.0,418,,,110,0,155,1.21,44,51,-7,-0.18
76,Reims,fr Ligue 1,30,27.0,38,3420,90,100,38.0,418,,,113,0,153,1.16,47,66,-19,-0.5
77,Rennes,fr Ligue 1,22,26.0,38,3420,90,100,38.0,418,,,110,0,156,1.32,35,42,-7,-0.18
78,Roma,it Serie A,32,28.0,38,3420,90,100,38.0,418,,,112,0,338,1.84,54,31,23,0.61
79,Saint-Étienne,fr Ligue 1,24,27.1,38,3420,90,100,38.0,418,,,108,0,155,1.82,51,30,21,0.55
80,Sampdoria,it Serie A,30,26.2,38,3420,90,100,38.0,418,,,107,0,335,1.47,48,42,6,0.16
81,Sassuolo,it Serie A,27,27.0,38,3420,90,100,38.0,418,,,113,0,314,1.29,49,57,-8,-0.21
82,Schalke 04,de Bundesliga,29,25.2,34,3060,90,100,34.0,374,,,95,0,142,1.41,42,40,2,0.06
83,Sevilla,es La Liga,26,26.2,38,3420,90,100,38.0,418,,,114,0,153,2.0,71,45,26,0.68
84,Southampton,eng Premier League,29,26.0,38,3420,90,100,38.0,418,,,98,0,165,1.58,54,33,21,0.55
85,Stoke City,eng Premier League,25,27.4,38,3420,90,100,38.0,418,,,99,0,167,1.42,48,45,3,0.08
86,Stuttgart,de Bundesliga,24,24.9,34,3060,90,100,34.0,374,,,97,0,140,1.06,42,60,-18,-0.53
87,Sunderland,eng Premier League,25,27.8,38,3420,90,100,38.0,417,,,100,0,165,1.0,31,53,-22,-0.58
88,Swansea City,eng Premier League,28,26.6,38,3420,90,100,38.0,418,,,105,0,160,1.47,46,49,-3,-0.08
89,Torino,it Serie A,31,28.1,38,3420,90,100,38.0,418,,,111,0,265,1.42,48,45,3,0.08
90,Tottenham,eng Premier League,27,24.4,38,3420,90,100,38.0,418,,,111,0,154,1.68,58,53,5,0.13
91,Toulouse,fr Ligue 1,27,24.4,38,3420,90,100,38.0,418,,,102,0,162,1.11,43,64,-21,-0.55
92,Udinese,it Serie A,28,26.9,38,3420,90,100,38.0,418,,,106,0,318,1.08,43,56,-13,-0.34
93,Valencia,es La Liga,24,24.8,38,3420,90,100,38.0,418,,,112,0,155,2.03,70,32,38,1.0
94,Villarreal,es La Liga,28,25.0,38,3420,90,100,38.0,418,,,112,0,150,1.58,48,37,11,0.29
95,Werder Bremen,de Bundesliga,31,25.7,34,3060,90,100,34.0,374,,,97,0,140,1.26,50,65,-15,-0.44
96,West Brom,eng Premier League,26,28.0,38,3420,90,100,38.0,418,,,100,0,166,1.16,38,51,-13,-0.34
97,West Ham,eng Premier League,28,26.8,38,3420,90,100,38.0,418,,,97,0,169,1.24,44,47,-3,-0.08
98,Wolfsburg,de Bundesliga,22,26.1,34,3060,90,100,34.0,374,,,101,0,137,2.03,72,38,34,1.0
