Rk,Squad,Comp,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
37,Hellas Verona,it Serie A,32,38.0,9854,13457,73.2,178691,69540,4411,5150,85.7,4092,4944,82.8,1079,2569,42.0,20,24.8,20.6,-4.8,276,824,189,61,1011
38,Hoffenheim,de Bundesliga,35,34.0,12827,16506,77.7,225491,85704,5746,6593,87.2,5461,6522,83.7,1221,2444,50.0,30,32.7,38.9,-2.7,324,1041,298,108,1218
39,Holstein Kiel,de Bundesliga,27,34.0,10537,13961,75.5,201828,79435,4072,4768,85.4,5038,5991,84.1,1261,2558,49.3,29,26.7,27.8,2.3,266,676,181,69,875
40,Inter,it Serie A,26,38.0,19412,22592,85.9,343835,107852,8329,9108,91.4,8987,9926,90.5,1751,2661,65.8,57,48.3,49.0,8.7,434,1353,410,119,1730
41,Ipswich Town,eng Premier League,32,38.0,11524,14775,78.0,204832,77912,5157,5835,88.4,5115,5988,85.4,1021,2184,46.7,26,24.2,21.2,1.8,283,865,173,54,935
42,Juventus,it Serie A,29,38.0,18259,21231,86.0,316000,98768,8378,9109,92.0,8078,8869,91.1,1473,2432,60.6,40,36.0,33.2,4.0,393,1390,305,67,1561
43,Las Palmas,es La Liga,34,38.0,14352,18209,78.8,254010,92291,6396,7255,88.2,6214,7269,85.5,1395,2776,50.3,27,26.3,26.5,0.7,304,1059,246,79,1210
44,Lazio,it Serie A,27,38.0,16400,19521,84.0,296409,96569,6959,7646,91.0,7447,8298,89.7,1670,2729,61.2,43,38.5,34.7,4.5,403,1374,323,102,1588
45,Le Havre,fr Ligue 1,31,34.0,11125,14115,78.8,205190,72072,4445,5095,87.2,5289,6120,86.4,1156,2182,53.0,21,24.4,25.8,-3.4,230,786,201,85,1051
46,Lecce,it Serie A,31,38.0,11490,15087,76.2,215443,81823,4757,5501,86.5,5029,5971,84.2,1465,2862,51.2,21,24.5,20.5,-3.5,322,852,222,93,1071
47,Leganés,es La Liga,26,38.0,11207,14840,75.5,201808,76373,5038,5734,87.9,4716,5600,84.2,1169,2735,42.7,27,23.3,21.8,3.7,241,796,187,45,1030
48,Leicester City,eng Premier League,32,38.0,13945,17486,79.7,234016,83996,6703,7482,89.6,5797,6664,87.0,1073,2370,45.3,25,25.1,24.1,-0.1,252,953,216,67,1082
49,Lens,fr Ligue 1,33,34.0,14837,18173,81.6,244876,87655,7330,8209,89.3,5806,6685,86.9,1219,2163,56.4,26,36.2,41.1,-10.2,365,1117,354,100,1451
50,Leverkusen,de Bundesliga,23,34.0,18301,21589,84.8,299589,100139,9397,10227,91.9,7044,7969,88.4,1397,2377,58.8,53,41.9,52.1,11.1,387,1610,319,83,1692
51,Lille,fr Ligue 1,27,34.0,16765,19728,85.0,293593,93730,7248,8031,90.3,7757,8568,90.5,1382,2203,62.7,29,35.1,40.0,-6.1,318,1393,345,70,1616
52,Liverpool,eng Premier League,24,38.0,18304,21759,84.1,312354,104899,8616,9383,91.8,7893,8905,88.6,1412,2550,55.4,65,61.6,54.3,3.4,509,1583,430,83,1924
53,Lyon,fr Ligue 1,31,34.0,16061,19063,84.3,263677,88666,7944,8738,90.9,6605,7372,89.6,1102,1978,55.7,46,44.4,52.5,1.6,350,1215,371,58,1615
54,Mainz 05,de Bundesliga,25,34.0,12478,16434,75.9,222290,85770,5681,6560,86.6,5218,6226,83.8,1280,2671,47.9,37,37.5,45.0,-0.5,319,1038,309,93,1286
55,Mallorca,es La Liga,28,38.0,12613,16224,77.7,232365,90368,5538,6293,88.0,5349,6310,84.8,1466,2803,52.3,24,26.5,28.3,-2.5,282,973,239,112,1184
56,Manchester City,eng Premier League,30,38.0,21531,24443,88.1,349984,98901,11071,11923,92.9,8884,9710,91.5,1281,2040,62.8,51,54.2,53.8,-3.2,472,1685,440,62,1944
57,Manchester Utd,eng Premier League,31,38.0,16837,20415,82.5,278154,89708,8233,9125,90.2,6855,7768,88.2,1257,2438,51.6,29,39.7,35.6,-10.7,406,1141,335,73,1448
58,Marseille,fr Ligue 1,32,34.0,20427,23240,87.9,323783,101486,10229,10983,93.1,8543,9350,91.4,1062,1793,59.2,49,44.6,43.4,4.4,381,1513,325,69,1714
59,Milan,it Serie A,35,38.0,16335,19101,85.5,290496,97134,6939,7660,90.6,7732,8519,90.8,1389,2238,62.1,43,46.8,39.3,-3.8,442,1198,342,77,1589
60,Monaco,fr Ligue 1,28,34.0,14561,17916,81.3,245412,90154,6877,7784,88.3,6192,7109,87.1,1143,2134,53.6,49,55.3,54.1,-6.3,390,1232,391,59,1638
61,Montpellier,fr Ligue 1,35,34.0,11442,14420,79.3,210740,76029,4844,5530,87.6,4897,5675,86.3,1384,2425,57.1,13,23.0,23.6,-10.0,255,875,169,75,1039
62,Monza,it Serie A,36,38.0,14248,17515,81.3,257293,87427,5982,6697,89.3,6561,7422,88.4,1412,2561,55.1,18,20.9,18.2,-2.9,245,895,196,72,1096
63,Nantes,fr Ligue 1,30,34.0,10999,13956,78.8,198112,76026,4741,5379,88.1,4886,5607,87.1,1116,2236,49.9,27,27.8,26.3,-0.8,257,878,216,85,1053
64,Napoli,it Serie A,27,38.0,16894,20033,84.3,299923,98597,7296,8074,90.4,7665,8530,89.9,1582,2497,63.4,42,39.2,35.4,2.8,391,1235,318,76,1546
65,Newcastle Utd,eng Premier League,24,38.0,15416,18898,81.6,260464,91034,7416,8283,89.5,6475,7373,87.8,1193,2313,51.6,50,46.0,42.2,4.0,399,1149,399,70,1595
66,Nice,fr Ligue 1,31,34.0,13129,16103,81.5,221429,82784,6345,7100,89.4,5509,6336,86.9,1015,1909,53.2,43,42.9,40.6,0.1,353,951,321,65,1320
67,Nott'ham Forest,eng Premier League,23,38.0,10822,14366,75.3,185832,74897,5322,6094,87.3,4065,5011,81.1,1038,2339,44.4,42,33.0,29.9,9.0,333,974,241,64,1125
68,Osasuna,es La Liga,25,38.0,12184,16028,76.0,230479,92624,5022,5858,85.7,5403,6487,83.3,1489,2835,52.5,28,29.8,33.4,-1.8,300,963,265,127,1221
69,Paris S-G,fr Ligue 1,28,34.0,23156,25781,89.8,384671,110280,10887,11622,93.7,10098,10815,93.4,1623,2267,71.6,69,70.8,61.3,-1.8,521,1849,450,71,2123
70,Parma,it Serie A,32,38.0,12509,15805,79.1,227371,84995,5238,5993,87.4,5643,6511,86.7,1289,2504,51.5,31,29.3,24.5,1.7,316,890,217,59,1059
71,Rayo Vallecano,es La Liga,26,38.0,13936,17861,78.0,247359,94801,6459,7310,88.4,5793,6748,85.8,1401,2920,48.0,27,36.2,32.2,-9.2,374,1081,242,85,1362
72,RB Leipzig,de Bundesliga,29,34.0,14698,18207,80.7,247957,90938,6822,7749,88.0,6428,7472,86.0,1090,2013,54.1,36,35.6,40.0,0.4,313,1138,306,52,1353
73,Real Madrid,es La Liga,30,38.0,21356,24221,88.2,356264,110503,10517,11248,93.5,8566,9311,92.0,1723,2595,66.4,55,54.6,52.2,0.4,501,1773,359,34,1967
74,Real Sociedad,es La Liga,31,38.0,14880,18759,79.3,261975,89905,6750,7619,88.6,6360,7434,85.6,1421,2687,52.9,22,30.9,30.7,-8.9,284,1087,242,64,1341
75,Reims,fr Ligue 1,34,34.0,11657,14602,79.8,203427,75490,5338,6018,88.7,4868,5628,86.5,1110,2150,51.6,19,26.5,28.4,-7.5,276,861,224,80,1156
76,Rennes,fr Ligue 1,35,34.0,13914,16913,82.3,244981,84751,6055,6811,88.9,6276,7138,87.9,1246,2132,58.4,32,29.6,32.5,2.4,318,1083,265,62,1440
77,Roma,it Serie A,28,38.0,17016,20265,84.0,300183,96685,7364,8133,90.5,7726,8590,89.9,1535,2676,57.4,35,35.0,32.8,0.0,391,1302,314,81,1501
78,Saint-Étienne,fr Ligue 1,32,34.0,13001,15954,81.5,218182,80494,6224,6913,90.0,5489,6265,87.6,973,1997,48.7,28,24.6,26.5,3.4,269,1024,237,34,1262
79,Sevilla,es La Liga,35,38.0,14393,17996,80.0,252313,88419,6719,7433,90.4,6137,7072,86.8,1263,2701,46.8,32,30.8,24.4,1.2,355,1070,209,60,1190
80,Southampton,eng Premier League,36,38.0,15530,18561,83.7,263566,84964,7279,7996,91.0,6699,7455,89.9,1175,2271,51.7,16,24.8,23.9,-8.8,269,989,218,60,1127
81,St. Pauli,de Bundesliga,28,34.0,11751,15300,76.8,208523,79611,5086,5835,87.2,5248,6213,84.5,1110,2391,46.4,22,26.3,28.7,-4.3,278,892,201,72,1073
82,Strasbourg,fr Ligue 1,30,34.0,14667,17462,84.0,252607,87865,6434,7096,90.7,6989,7831,89.2,998,1882,53.0,43,38.5,32.5,4.5,273,896,216,50,1204
83,Stuttgart,de Bundesliga,29,34.0,16513,19767,83.5,272424,97064,8302,9120,91.0,6590,7479,88.1,1230,2270,54.2,45,45.3,52.7,-0.3,370,1291,372,90,1493
84,Torino,it Serie A,31,38.0,13578,17008,79.8,249577,86249,5650,6464,87.4,6225,7103,87.6,1445,2696,53.6,21,22.5,25.9,-1.5,276,980,250,86,1113
85,Tottenham,eng Premier League,31,38.0,16508,19956,82.7,275294,93072,7570,8434,89.8,7373,8290,88.9,1102,2086,52.8,47,44.4,36.4,2.6,375,1255,369,83,1593
86,Toulouse,fr Ligue 1,27,34.0,11674,14867,78.5,203673,74918,5182,5953,87.0,5259,6118,86.0,964,2027,47.6,34,34.7,38.0,-0.7,297,879,284,65,1219
87,Udinese,it Serie A,31,38.0,12945,16279,79.5,239290,82480,5322,6027,88.3,5751,6676,86.1,1552,2764,56.2,28,27.2,24.8,0.8,313,969,242,103,1160
88,Union Berlin,de Bundesliga,28,34.0,9960,13705,72.7,178823,74942,4467,5296,84.3,3994,4998,79.9,1156,2400,48.2,25,23.5,31.6,1.5,292,792,239,75,1049
89,Valencia,es La Liga,32,38.0,13938,17708,78.7,246799,86682,6341,7094,89.4,6081,7066,86.1,1284,2634,48.7,26,30.0,33.4,-4.0,283,1109,254,91,1340
90,Valladolid,es La Liga,38,38.0,12052,15387,78.3,228419,83632,4795,5456,87.9,5607,6494,86.3,1410,2699,52.2,15,25.7,24.3,-10.7,256,752,176,93,991
91,Venezia,it Serie A,36,38.0,11573,15155,76.4,201752,77791,5144,5977,86.1,5103,6078,84.0,1002,2218,45.2,16,22.2,22.3,-6.2,282,813,215,58,1066
92,Villarreal,es La Liga,31,38.0,14532,17825,81.5,262800,96388,6234,6978,89.3,6564,7485,87.7,1463,2559,57.2,51,49.7,48.0,1.3,427,1146,371,102,1522
93,Werder Bremen,de Bundesliga,23,34.0,13999,17550,79.8,250040,91419,5827,6663,87.5,6247,7263,86.0,1455,2530,57.5,38,37.4,44.0,0.6,327,954,335,91,1351
94,West Ham,eng Premier League,27,38.0,14820,18363,80.7,258653,90743,6989,7831,89.2,6245,7153,87.3,1346,2580,52.2,29,33.9,32.0,-4.9,331,1075,267,72,1222
95,Wolfsburg,de Bundesliga,27,34.0,11590,15088,76.8,219100,82094,4735,5598,84.6,5178,6041,85.7,1421,2665,53.3,38,33.0,36.5,5.0,316,999,247,53,1205
96,Wolves,eng Premier League,32,38.0,14472,17884,80.9,246100,83847,6855,7612,90.1,5909,6712,88.0,1251,2503,50.0,42,35.4,26.6,6.6,323,1011,276,72,1185
