Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
9.0,Fri,2016-10-14,19:00,Toulouse,3–1,Monaco,17602.0,Stadium Municipal,Lionel Jaffredo,Match Report,
9.0,Fri,2016-10-14,20:45,Nice,2–0,Lyon,28139.0,Stade de Nice,Ruddy Buquet,Match Report,
9.0,Sat,2016-10-15,17:00,Nancy,1–2,Paris S-G,19524.0,Stade Marcel Picot,Mikael Lesage,Match Report,
9.0,Sat,2016-10-15,20:00,Lorient,1–2,Nantes,12458.0,Stade du Moustoir,Benoît Bastien,Match Report,
9.0,Sat,2016-10-15,20:00,Bastia,1–2,Angers,9303.0,Stade Armand Césari,Franck Schneider,Match Report,
9.0,Sat,2016-10-15,20:00,Montpellier,3–2,Caen,14456.0,Stade de la Mosson,Saïd Ennjimi,Match Report,
9.0,Sat,2016-10-15,20:00,Guingamp,1–0,Lille,12636.0,Stade du Roudourou,Sébastien Moreira,Match Report,
9.0,Sun,2016-10-16,15:00,Rennes,1–1,Bordeaux,22962.0,Roazhon Park,Benoît Millot,Match Report,
9.0,Sun,2016-10-16,17:00,Saint-Étienne,1–1,Dijon,25528.0,Stade Geoffroy-Guichard,Karim Abed,Match Report,
9.0,Sun,2016-10-16,20:45,Marseille,1–0,Metz,28588.0,Orange Vélodrome,Jérôme Miguelgorry,Match Report,
,,,,,,,,,,,
10.0,Fri,2016-10-21,20:45,Monaco,6–2,Montpellier,7619.0,Stade Louis II,Amaury Delerue,Match Report,
10.0,Sat,2016-10-22,17:00,Lyon,1–3,Guingamp,39184.0,Groupama Stadium,Antony Gautier,Match Report,
10.0,Sat,2016-10-22,20:00,Dijon,1–0,Lorient,8558.0,Stade Gaston Gérard,Sébastien Desiage,Match Report,
10.0,Sat,2016-10-22,20:00,Angers,0–0,Toulouse,11777.0,Stade Raymond Kopa,Bartolomeu Varela,Match Report,
10.0,Sat,2016-10-22,20:00,Lille,2–1,Bastia,25932.0,Stade Pierre-Mauroy,Ruddy Buquet,Match Report,
10.0,Sat,2016-10-22,20:00,Nantes,1–2,Rennes,29015.0,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
10.0,Sat,2016-10-22,20:00,Bordeaux,1–1,Nancy,20853.0,Stade Matmut-Atlantique,Stéphane Lannoy,Match Report,
10.0,Sun,2016-10-23,15:00,Caen,0–2,Saint-Étienne,18509.0,Stade Michel d'Ornano,Olivier Thual,Match Report,
10.0,Sun,2016-10-23,17:00,Metz,2–4,Nice,17994.0,Stade Saint-Symphorien,François Letexier,Match Report,
10.0,Sun,2016-10-23,20:45,Paris S-G,0–0,Marseille,47929.0,Parc des Princes,Clément Turpin,Match Report,
,,,,,,,,,,,
11.0,Fri,2016-10-28,20:45,Lille,0–1,Paris S-G,37213.0,Stade Pierre-Mauroy,Benoît Bastien,Match Report,
11.0,Sat,2016-10-29,17:00,Toulouse,1–2,Lyon,24141.0,Stadium Municipal,Benoît Millot,Match Report,
11.0,Sat,2016-10-29,20:00,Bastia,0–0,Dijon,10048.0,Stade Armand Césari,Lionel Jaffredo,Match Report,
11.0,Sat,2016-10-29,20:00,Nancy,2–0,Caen,16896.0,Stade Marcel Picot,Tony Chapron,Match Report,
11.0,Sat,2016-10-29,20:00,Lorient,2–2,Montpellier,9872.0,Stade du Moustoir,Jérôme Miguelgorry,Match Report,
11.0,Sat,2016-10-29,20:00,Guingamp,1–0,Angers,15277.0,Stade du Roudourou,Sébastien Desiage,Match Report,
11.0,Sat,2016-10-29,20:00,Saint-Étienne,1–1,Monaco,35890.0,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
11.0,Sun,2016-10-30,15:00 (16:00),Nice,4–1,Nantes,24418.0,Stade de Nice,Sébastien Moreira,Match Report,
11.0,Sun,2016-10-30,17:00 (18:00),Rennes,1–0,Metz,20874.0,Roazhon Park,Saïd Ennjimi,Match Report,
11.0,Sun,2016-10-30,20:45 (21:45),Marseille,0–0,Bordeaux,57091.0,Orange Vélodrome,Nicolas Rainville,Match Report,
,,,,,,,,,,,
12.0,Fri,2016-11-04,20:45 (21:45),Montpellier,3–1,Marseille,18451.0,Stade de la Mosson,Antony Gautier,Match Report,
12.0,Sat,2016-11-05,17:00 (18:00),Monaco,6–0,Nancy,5539.0,Stade Louis II,François Letexier,Match Report,
12.0,Sat,2016-11-05,20:00 (21:00),Dijon,3–3,Guingamp,7954.0,Stade Gaston Gérard,Stéphane Lannoy,Match Report,
12.0,Sat,2016-11-05,20:00 (21:00),Lyon,2–1,Bastia,33886.0,Groupama Stadium,Franck Schneider,Match Report,
12.0,Sat,2016-11-05,20:00 (21:00),Bordeaux,2–1,Lorient,16332.0,Stade Matmut-Atlantique,Karim Abed,Match Report,
12.0,Sat,2016-11-05,20:00 (21:00),Nantes,1–1,Toulouse,21138.0,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Match Report,
12.0,Sat,2016-11-05,20:00 (21:00),Angers,1–0,Lille,9750.0,Stade Raymond Kopa,Clément Turpin,Match Report,
12.0,Sun,2016-11-06,15:00 (16:00),Caen,1–0,Nice,16225.0,Stade Michel d'Ornano,Johan Hamel,Match Report,
12.0,Sun,2016-11-06,17:00 (18:00),Metz,0–0,Saint-Étienne,16204.0,Stade Saint-Symphorien,Bartolomeu Varela,Match Report,
12.0,Sun,2016-11-06,20:45 (21:45),Paris S-G,4–0,Rennes,42002.0,Parc des Princes,Amaury Delerue,Match Report,
,,,,,,,,,,,
13.0,Fri,2016-11-18,19:00 (20:00),Lorient,0–3,Monaco,9574.0,Stade du Moustoir,Frédy Fautrel,Match Report,
13.0,Fri,2016-11-18,20:45 (21:45),Lille,0–1,Lyon,28660.0,Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,
13.0,Sat,2016-11-19,17:00 (18:00),Paris S-G,2–0,Nantes,44258.0,Parc des Princes,François Letexier,Match Report,
13.0,Sat,2016-11-19,20:00 (21:00),Nancy,1–0,Dijon,16341.0,Stade Marcel Picot,Olivier Thual,Match Report,
13.0,Sat,2016-11-19,20:00 (21:00),Bastia,1–1,Montpellier,10189.0,Stade Armand Césari,Sébastien Moreira,Match Report,
13.0,Sat,2016-11-19,20:00 (21:00),Rennes,1–1,Angers,23142.0,Roazhon Park,Benoît Bastien,Match Report,
13.0,Sat,2016-11-19,20:00 (21:00),Toulouse,1–2,Metz,17746.0,Stadium Municipal,Sébastien Desiage,Match Report,
13.0,Sun,2016-11-20,15:00 (16:00),Guingamp,1–1,Bordeaux,15381.0,Stade du Roudourou,Tony Chapron,Match Report,
13.0,Sun,2016-11-20,17:00 (18:00),Marseille,1–0,Caen,36008.0,Orange Vélodrome,Stéphane Lannoy,Match Report,
13.0,Sun,2016-11-20,20:45 (21:45),Saint-Étienne,0–1,Nice,30004.0,Stade Geoffroy-Guichard,Franck Schneider,Match Report,
,,,,,,,,,,,
14.0,Fri,2016-11-25,20:45 (21:45),Rennes,1–0,Toulouse,17016.0,Roazhon Park,Frédy Fautrel,Match Report,
14.0,Sat,2016-11-26,17:10 (18:10),Monaco,4–0,Marseille,14089.0,Stade Louis II,Clément Turpin,Match Report,
14.0,Sat,2016-11-26,20:00 (21:00),Nantes,0–0,Lille,18125.0,Stade de la Beaujoire - Louis Fonteneau,Olivier Thual,Match Report,
14.0,Sat,2016-11-26,20:00 (21:00),Bordeaux,3–2,Dijon,16354.0,Stade Matmut-Atlantique,Bartolomeu Varela,Match Report,
14.0,Sat,2016-11-26,20:00 (21:00),Caen,1–1,Guingamp,14902.0,Stade Michel d'Ornano,Amaury Delerue,Match Report,
14.0,Sat,2016-11-26,20:00 (21:00),Montpellier,0–0,Nancy,9463.0,Stade de la Mosson,Karim Abed,Match Report,
14.0,Sat,2016-11-26,20:00 (21:00),Metz,3–3,Lorient,12657.0,Stade Saint-Symphorien,Mikael Lesage,Match Report,
14.0,Sun,2016-11-27,15:00 (16:00),Angers,1–2,Saint-Étienne,13293.0,Stade Raymond Kopa,Johan Hamel,Match Report,
14.0,Sun,2016-11-27,17:00 (18:00),Nice,1–1,Bastia,20856.0,Stade de Nice,Lionel Jaffredo,Match Report,
14.0,Sun,2016-11-27,20:45 (21:45),Lyon,1–2,Paris S-G,55107.0,Groupama Stadium,Ruddy Buquet,Match Report,
,,,,,,,,,,,
15.0,Tue,2016-11-29,19:00 (20:00),Lille,4–2,Caen,23216.0,Stade Pierre-Mauroy,Saïd Ennjimi,Match Report,
15.0,Tue,2016-11-29,19:00 (20:00),Lorient,2–1,Rennes,10082.0,Stade du Moustoir,Stéphane Lannoy,Match Report,
15.0,Tue,2016-11-29,21:00 (22:00),Dijon,1–1,Monaco,10263.0,Stade Gaston Gérard,Tony Chapron,Match Report,
15.0,Wed,2016-11-30,19:00 (20:00),Nancy,4–0,Metz,19085.0,Stade Marcel Picot,Jérôme Miguelgorry,Match Report,
15.0,Wed,2016-11-30,19:00 (20:00),Saint-Étienne,0–0,Marseille,25331.0,Stade Geoffroy-Guichard,Benoît Bastien,Match Report,
15.0,Wed,2016-11-30,19:00 (20:00),Nantes,0–6,Lyon,18964.0,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
15.0,Wed,2016-11-30,19:00 (20:00),Bastia,1–1,Bordeaux,11421.0,Stade Armand Césari,Sébastien Desiage,Match Report,
15.0,Wed,2016-11-30,19:00 (20:00),Guingamp,0–1,Nice,14680.0,Stade du Roudourou,Benoît Millot,Match Report,
15.0,Wed,2016-11-30,19:00 (20:00),Toulouse,1–0,Montpellier,13753.0,Stadium Municipal,Amaury Delerue,Match Report,
15.0,Wed,2016-11-30,21:00 (22:00),Paris S-G,2–0,Angers,40597.0,Parc des Princes,Franck Schneider,Match Report,
,,,,,,,,,,,
16.0,Fri,2016-12-02,20:45 (21:45),Caen,3–3,Dijon,13243.0,Stade Michel d'Ornano,Sébastien Moreira,Match Report,
16.0,Sat,2016-12-03,17:00 (18:00),Montpellier,3–0,Paris S-G,17132.0,Stade de la Mosson,Bartolomeu Varela,Match Report,
16.0,Sat,2016-12-03,20:00 (21:00),Bordeaux,0–1,Lille,19250.0,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
16.0,Sat,2016-12-03,20:00 (21:00),Monaco,5–0,Bastia,7019.0,Stade Louis II,Benoît Millot,Match Report,
16.0,Sat,2016-12-03,20:00 (21:00),Guingamp,2–0,Nantes,12643.0,Stade du Roudourou,Johan Hamel,Match Report,
16.0,Sat,2016-12-03,20:00 (21:00),Angers,2–2,Lorient,9142.0,Stade Raymond Kopa,Olivier Thual,Match Report,
16.0,Sun,2016-12-04,15:00 (16:00),Rennes,2–0,Saint-Étienne,19618.0,Roazhon Park,Antony Gautier,Match Report,
16.0,Sun,2016-12-04,17:00 (18:00),Marseille,3–0,Nancy,27854.0,Orange Vélodrome,François Letexier,Match Report,
16.0,Sun,2016-12-04,20:45 (21:45),Nice,3–0,Toulouse,16835.0,Stade de Nice,Mikael Lesage,Match Report,
,,,,,,,,,,,
17.0,Sat,2016-12-10,14:30 (15:30),Dijon,1–2,Marseille,10542.0,Stade Gaston Gérard,Jérôme Miguelgorry,Match Report,
17.0,Sat,2016-12-10,17:30 (18:30),Bordeaux,0–4,Monaco,38803.0,Stade Matmut-Atlantique,Benoît Bastien,Match Report,
17.0,Sat,2016-12-10,20:00 (21:00),Bastia,2–0,Metz,9882.0,Stade Armand Césari,Saïd Ennjimi,Match Report,
17.0,Sat,2016-12-10,20:00 (21:00),Toulouse,3–2,Lorient,14288.0,Stadium Municipal,Karim Abed,Match Report,
17.0,Sat,2016-12-10,20:00 (21:00),Nancy,2–0,Angers,17205.0,Stade Marcel Picot,Sébastien Desiage,Match Report,
17.0,Sat,2016-12-10,20:00 (21:00),Lille,2–1,Montpellier,27391.0,Stade Pierre-Mauroy,Tony Chapron,Match Report,
17.0,Sun,2016-12-11,15:00 (16:00),Lyon,1–0,Rennes,33901.0,Groupama Stadium,Amaury Delerue,Match Report,
17.0,Sun,2016-12-11,17:00 (18:00),Saint-Étienne,1–0,Guingamp,23862.0,Stade Geoffroy-Guichard,Stéphane Lannoy,Match Report,
17.0,Sun,2016-12-11,20:45 (21:45),Paris S-G,2–2,Nice,47665.0,Parc des Princes,Clément Turpin,Match Report,
,,,,,,,,,,,
18.0,Fri,2016-12-16,20:45 (21:45),Angers,0–2,Nantes,12859.0,Stade Raymond Kopa,Amaury Delerue,Match Report,
18.0,Sat,2016-12-17,17:00 (18:00),Guingamp,2–1,Paris S-G,18033.0,Stade du Roudourou,Frédy Fautrel,Match Report,
18.0,Sat,2016-12-17,20:00 (21:00),Lorient,2–1,Saint-Étienne,11581.0,Stade du Moustoir,Mikael Lesage,Match Report,
18.0,Sat,2016-12-17,20:00 (21:00),Toulouse,1–1,Nancy,15061.0,Stadium Municipal,Bartolomeu Varela,Match Report,
18.0,Sat,2016-12-17,20:00 (21:00),Rennes,1–2,Bastia,22637.0,Roazhon Park,Clément Turpin,Match Report,
18.0,Sat,2016-12-17,20:00 (21:00),Montpellier,4–0,Bordeaux,9841.0,Stade de la Mosson,Franck Schneider,Match Report,
18.0,Sun,2016-12-18,14:30 (15:30),Caen,3–0,Metz,16849.0,Stade Michel d'Ornano,François Letexier,Match Report,
18.0,Sun,2016-12-18,15:00 (16:00),Nice,2–1,Dijon,29229.0,Stade de Nice,Benoît Millot,Match Report,
18.0,Sun,2016-12-18,17:00 (18:00),Marseille,2–0,Lille,34697.0,Orange Vélodrome,Benoît Bastien,Match Report,
18.0,Sun,2016-12-18,20:45 (21:45),Monaco,1–3,Lyon,13129.0,Stade Louis II,Ruddy Buquet,Match Report,
,,,,,,,,,,,
19.0,Wed,2016-12-21,20:50 (21:50),Metz,2–2,Guingamp,14091.0,Stade Saint-Symphorien,Sébastien Desiage,Match Report,
19.0,Wed,2016-12-21,20:50 (21:50),Paris S-G,5–0,Lorient,44844.0,Parc des Princes,Johan Hamel,Match Report,
19.0,Wed,2016-12-21,20:50 (21:50),Lyon,2–0,Angers,32098.0,Groupama Stadium,Franck Schneider,Match Report,
19.0,Wed,2016-12-21,20:50 (21:50),Lille,1–1,Rennes,26181.0,Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,
19.0,Wed,2016-12-21,20:50 (21:50),Monaco,2–1,Caen,4319.0,Stade Louis II,Bartolomeu Varela,Match Report,
19.0,Wed,2016-12-21,20:50 (21:50),Saint-Étienne,0–0,Nancy,26621.0,Stade Geoffroy-Guichard,Olivier Thual,Match Report,
19.0,Wed,2016-12-21,20:50 (21:50),Nantes,1–0,Montpellier,22108.0,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Match Report,
19.0,Wed,2016-12-21,20:50 (21:50),Bordeaux,0–0,Nice,27614.0,Stade Matmut-Atlantique,Mikael Lesage,Match Report,
19.0,Wed,2016-12-21,20:50 (21:50),Dijon,2–0,Toulouse,8634.0,Stade Gaston Gérard,François Letexier,Match Report,
19.0,Wed,2016-12-21,20:50 (21:50),Bastia,1–2,Marseille,12558.0,Stade Armand Césari,Benoît Millot,Match Report,
,,,,,,,,,,,
20.0,Fri,2017-01-13,20:45 (21:45),Lille,1–1,Saint-Étienne,36879.0,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
20.0,Sat,2017-01-14,17:00 (18:00),Rennes,0–1,Paris S-G,29054.0,Roazhon Park,Benoît Bastien,Match Report,
20.0,Sat,2017-01-14,20:00 (21:00),Angers,1–1,Bordeaux,10056.0,Stade Raymond Kopa,Johan Hamel,Match Report,
20.0,Sat,2017-01-14,20:00 (21:00),Montpellier,1–1,Dijon,14539.0,Stade de la Mosson,Jérôme Brisard,Match Report,
20.0,Sat,2017-01-14,20:00 (21:00),Toulouse,0–1,Nantes,11023.0,Stadium Municipal,Ruddy Buquet,Match Report,
20.0,Sat,2017-01-14,20:00 (21:00),Lorient,3–1,Guingamp,12463.0,Stade du Moustoir,Sébastien Desiage,Match Report,
20.0,Sat,2017-01-14,20:00 (21:00),Nancy,1–0,Bastia,15423.0,Stade Marcel Picot,Karim Abed,Match Report,
20.0,Sun,2017-01-15,15:00 (16:00),Nice,0–0,Metz,21502.0,Stade de Nice,Bartolomeu Varela,Match Report,
20.0,Sun,2017-01-15,17:00 (18:00),Caen,3–2,Lyon,18935.0,Stade Michel d'Ornano,Franck Schneider,Match Report,
20.0,Sun,2017-01-15,21:00 (22:00),Marseille,1–4,Monaco,43814.0,Orange Vélodrome,Clément Turpin,Match Report,
,,,,,,,,,,,
17.0,Wed,2017-01-18,20:00 (21:00),Nantes,1–0,Caen,17818.0,Stade de la Beaujoire - Louis Fonteneau,Jérôme Miguelgorry,Match Report,
,,,,,,,,,,,
21.0,Fri,2017-01-20,20:45 (21:45),Bastia,1–1,Nice,9757.0,Stade Armand Césari,Clément Turpin,Match Report,
21.0,Sat,2017-01-21,17:00 (18:00),Nantes,0–2,Paris S-G,32858.0,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
21.0,Sat,2017-01-21,20:00 (21:00),Dijon,0–0,Lille,7828.0,Stade Gaston Gérard,Jérôme Miguelgorry,Match Report,
