Rk,Squad,Comp,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
16,Brentford,eng Premier League,28,38.0,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28
17,Brest,fr Ligue 1,30,34.0,656,426,291,255,110,308,583,52.8,275,363,105,258,316,972,869,14
18,Brighton,eng Premier League,32,38.0,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29
19,Cagliari,it Serie A,28,38.0,538,303,264,224,50,238,449,53.0,211,343,131,212,276,814,887,18
20,Celta Vigo,es La Liga,30,38.0,555,340,258,217,80,286,576,49.7,290,345,91,254,282,837,828,30
21,Chelsea,eng Premier League,29,38.0,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45
22,Como,it Serie A,38,38.0,663,412,301,260,102,303,591,51.3,288,348,91,257,279,942,788,19
23,Crystal Palace,eng Premier League,29,38.0,766,450,374,298,94,324,642,50.5,318,484,144,340,333,1099,1087,19
24,Dortmund,de Bundesliga,28,34.0,523,319,232,196,95,261,492,53.0,231,375,100,275,249,772,726,18
25,Eint Frankfurt,de Bundesliga,26,34.0,566,341,267,219,80,280,508,55.1,228,425,128,297,287,853,994,26
26,Empoli,it Serie A,34,38.0,689,396,314,293,82,309,543,56.9,234,396,136,260,323,1012,1072,21
27,Espanyol,es La Liga,27,38.0,640,397,380,210,50,310,610,50.8,300,435,155,280,315,955,1131,21
28,Everton,eng Premier League,26,38.0,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25
29,Fiorentina,it Serie A,34,38.0,531,313,267,195,69,248,488,50.8,240,353,123,230,275,806,911,17
30,Freiburg,de Bundesliga,26,34.0,511,317,225,222,64,235,457,51.4,222,400,112,288,276,787,811,21
31,Fulham,eng Premier League,26,38.0,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33
32,Genoa,it Serie A,37,38.0,672,385,281,287,104,283,566,50.0,283,422,126,296,308,980,938,15
33,Getafe,es La Liga,30,38.0,645,393,287,278,80,333,665,50.1,332,411,84,327,276,921,1065,15
34,Girona,es La Liga,30,38.0,569,348,268,219,82,292,557,52.4,265,327,104,223,279,848,722,34
35,Gladbach,de Bundesliga,26,34.0,504,284,278,177,49,240,473,50.7,233,445,166,279,317,821,1067,23
36,Heidenheim,de Bundesliga,27,34.0,614,356,322,235,57,294,558,52.7,264,435,109,326,312,926,952,15
37,Hellas Verona,it Serie A,32,38.0,672,434,326,271,75,311,592,52.5,281,393,123,270,329,1001,987,23
38,Hoffenheim,de Bundesliga,35,34.0,570,336,266,236,68,269,511,52.6,242,450,139,311,291,861,922,22
39,Holstein Kiel,de Bundesliga,27,34.0,541,328,292,174,75,277,530,52.3,253,409,155,254,294,835,1126,22
40,Inter,it Serie A,26,38.0,505,288,215,198,92,239,452,52.9,213,356,126,230,227,732,676,11
41,Ipswich Town,eng Premier League,32,38.0,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39
42,Juventus,it Serie A,29,38.0,606,353,273,245,88,263,471,55.8,208,404,139,265,215,821,723,27
43,Las Palmas,es La Liga,34,38.0,619,370,308,253,58,307,592,51.9,285,434,139,295,321,940,971,28
44,Lazio,it Serie A,27,38.0,520,319,234,224,62,251,501,50.1,250,313,90,223,295,815,718,23
45,Le Havre,fr Ligue 1,31,34.0,621,387,326,212,83,304,562,54.1,258,362,131,231,324,945,987,24
46,Lecce,it Serie A,31,38.0,627,372,315,250,62,301,584,51.5,283,407,144,263,285,912,1042,26
47,Leganés,es La Liga,26,38.0,633,384,301,250,82,295,599,49.2,304,436,157,279,332,965,1201,18
48,Leicester City,eng Premier League,32,38.0,728,431,361,278,89,336,695,48.3,359,505,198,307,327,1055,987,31
49,Lens,fr Ligue 1,33,34.0,606,365,264,233,109,299,579,51.6,280,387,101,286,321,927,705,19
50,Leverkusen,de Bundesliga,23,34.0,395,259,153,163,79,184,357,51.5,173,302,77,225,234,629,676,26
51,Lille,fr Ligue 1,27,34.0,626,356,241,273,112,311,554,56.1,243,302,74,228,271,897,637,22
52,Liverpool,eng Premier League,24,38.0,642,391,271,267,104,340,656,51.8,316,367,97,270,299,941,724,31
53,Lyon,fr Ligue 1,31,34.0,576,340,257,230,89,310,595,52.1,285,346,113,233,282,858,695,25
54,Mainz 05,de Bundesliga,25,34.0,564,325,234,247,83,236,448,52.7,212,419,128,291,352,916,947,22
55,Mallorca,es La Liga,28,38.0,584,361,305,211,68,257,500,51.4,243,389,153,236,326,910,1161,17
56,Manchester City,eng Premier League,30,38.0,497,299,183,216,98,214,449,47.7,235,331,89,242,229,726,619,35
57,Manchester Utd,eng Premier League,31,38.0,817,493,394,305,118,400,723,55.3,323,386,107,279,358,1175,759,26
58,Marseille,fr Ligue 1,32,34.0,552,358,244,229,79,274,472,58.1,198,272,70,202,280,832,523,31
59,Milan,it Serie A,35,38.0,552,349,249,222,81,246,480,51.3,234,292,95,197,234,786,691,21
60,Monaco,fr Ligue 1,28,34.0,670,429,281,287,102,339,624,54.3,285,350,70,280,357,1027,667,18
61,Montpellier,fr Ligue 1,35,34.0,631,389,302,264,65,310,608,51.0,298,368,123,245,273,904,733,25
62,Monza,it Serie A,36,38.0,562,315,304,202,56,272,501,54.3,229,382,157,225,305,867,874,38
63,Nantes,fr Ligue 1,30,34.0,645,376,338,224,83,321,565,56.8,244,402,116,286,283,928,1007,10
64,Napoli,it Serie A,27,38.0,535,323,237,238,60,258,469,55.0,211,317,100,217,270,805,813,11
65,Newcastle Utd,eng Premier League,24,38.0,603,371,275,235,93,306,604,50.7,298,411,141,270,270,873,884,34
66,Nice,fr Ligue 1,31,34.0,633,399,297,242,94,297,534,55.6,237,417,127,290,365,998,784,32
67,Nott'ham Forest,eng Premier League,23,38.0,698,419,406,225,67,343,670,51.2,327,427,157,270,322,1020,1220,24
68,Osasuna,es La Liga,25,38.0,614,365,296,239,79,311,618,50.3,307,388,102,286,266,880,918,16
69,Paris S-G,fr Ligue 1,28,34.0,619,386,242,266,111,325,607,53.5,282,360,103,257,265,884,493,19
70,Parma,it Serie A,32,38.0,523,293,267,201,55,242,484,50.0,242,434,153,281,279,802,977,21
71,Rayo Vallecano,es La Liga,26,38.0,626,396,328,218,80,309,664,46.5,355,443,128,315,334,960,973,22
72,RB Leipzig,de Bundesliga,29,34.0,543,333,248,222,73,258,525,49.1,267,500,156,344,268,811,990,29
73,Real Madrid,es La Liga,30,38.0,586,359,294,209,83,264,486,54.3,222,353,105,248,331,917,633,19
74,Real Sociedad,es La Liga,31,38.0,649,401,309,244,96,308,579,53.2,271,428,120,308,283,932,913,21
75,Reims,fr Ligue 1,34,34.0,558,359,313,174,71,285,551,51.7,266,392,145,247,289,847,958,20
76,Rennes,fr Ligue 1,35,34.0,596,363,282,234,80,296,510,58.0,214,350,96,254,337,933,739,14
77,Roma,it Serie A,28,38.0,551,328,233,236,82,224,439,51.0,215,329,110,219,282,833,746,16
78,Saint-Étienne,fr Ligue 1,32,34.0,581,382,291,216,74,296,594,49.8,298,404,135,269,328,909,854,26
79,Sevilla,es La Liga,35,38.0,644,390,321,237,86,312,560,55.7,248,364,88,276,367,1011,922,17
80,Southampton,eng Premier League,36,38.0,652,378,310,266,76,280,584,47.9,304,433,201,232,305,957,988,51
81,St. Pauli,de Bundesliga,28,34.0,537,315,256,217,64,266,511,52.1,245,391,87,304,257,794,915,21
82,Strasbourg,fr Ligue 1,30,34.0,537,335,256,213,68,257,459,56.0,202,376,111,265,282,819,899,17
83,Stuttgart,de Bundesliga,29,34.0,477,282,197,199,81,254,476,53.4,222,401,104,297,298,775,777,20
84,Torino,it Serie A,31,38.0,468,261,217,181,70,232,437,53.1,205,338,133,205,278,746,882,21
85,Tottenham,eng Premier League,31,38.0,661,414,284,272,105,296,597,49.6,301,448,159,289,322,983,822,41
86,Toulouse,fr Ligue 1,27,34.0,605,364,264,253,88,318,608,52.3,290,341,103,238,281,886,775,15
87,Udinese,it Serie A,31,38.0,562,346,276,217,69,279,508,54.9,229,396,139,257,302,864,909,27
88,Union Berlin,de Bundesliga,28,34.0,537,318,266,223,48,270,507,53.3,237,409,110,299,312,849,1046,13
89,Valencia,es La Liga,32,38.0,647,415,340,228,79,321,573,56.0,252,366,96,270,302,949,953,19
90,Valladolid,es La Liga,38,38.0,596,357,342,204,50,276,566,48.8,290,450,160,290,311,907,944,29
91,Venezia,it Serie A,36,38.0,605,361,319,202,84,286,572,50.0,286,439,145,294,279,884,921,25
92,Villarreal,es La Liga,31,38.0,649,396,333,236,80,336,628,53.5,292,426,131,295,281,930,922,21
93,Werder Bremen,de Bundesliga,23,34.0,551,321,245,240,66,276,521,53.0,245,454,144,310,315,866,851,27
94,West Ham,eng Premier League,27,38.0,654,388,317,253,84,290,532,54.5,242,440,169,271,331,985,1037,28
95,Wolfsburg,de Bundesliga,27,34.0,491,301,257,175,59,246,540,45.6,294,435,133,302,312,803,977,19
96,Wolves,eng Premier League,32,38.0,801,471,412,305,84,373,669,55.8,296,437,137,300,298,1099,947,25
