Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
nl Feyenoord,2,6.0,10,2,0,2,2,9.5,0.36,+1.5,+0.25,7,30,23.3,213,21,12.2,22.5,36,11.1,18.4,42,1,2.4,12,2.00,10.5
tr Galatasaray,1,6.0,13,0,0,0,0,11.7,0.47,-1.3,-0.21,33,71,46.5,198,28,27.3,29.3,43,39.5,35.7,66,3,4.5,30,5.00,23.7
it Inter,2,8.3,7,0,0,0,0,9.1,0.27,+2.1,+0.26,17,57,29.8,303,38,16.8,23.7,54,11.1,23.8,116,7,6.0,6,0.72,18.3
it Lazio,1,8.0,10,0,0,1,0,11.1,0.38,+1.1,+0.14,18,45,40.0,186,31,17.7,27.4,58,20.7,24.2,88,3,3.4,7,0.88,17.0
fr Lens,1,6.0,11,2,0,1,0,10.0,0.25,-1.0,-0.16,40,86,46.5,165,27,41.8,36.5,45,37.8,31.7,83,7,8.4,7,1.17,14.6
eng Manchester City,2,10.3,13,0,0,1,1,9.8,0.38,-2.2,-0.21,37,67,55.2,381,47,15.0,25.8,40,25.0,29.4,61,4,6.6,14,1.35,19.9
eng Manchester Utd,1,6.0,15,2,2,1,0,12.9,0.29,-2.1,-0.34,39,94,41.5,190,26,42.6,34.6,39,33.3,26.8,77,2,2.6,2,0.33,9.0
it Milan,2,6.0,8,1,0,2,0,6.9,0.22,-1.1,-0.19,33,63,52.4,142,31,33.8,30.8,47,31.9,36.1,70,4,5.7,9,1.50,3.0
it Napoli,1,8.0,13,0,0,0,1,11.0,0.25,-1.0,-0.12,22,46,47.8,183,38,13.7,26.4,81,25.9,27.3,123,3,2.4,9,1.13,14.9
eng Newcastle Utd,2,6.0,7,1,0,1,0,11.1,0.33,+4.1,+0.69,25,69,36.2,113,33,30.1,28.5,50,70.0,51.0,79,6,7.6,6,1.00,14.0
fr Paris S-G,1,12.0,15,0,0,3,0,14.8,0.29,-0.2,-0.01,31,72,43.1,274,45,19.0,26.7,80,25.0,27.8,108,2,1.9,18,1.50,15.5
pt Porto,1,8.3,9,0,0,0,1,5.9,0.22,-2.1,-0.25,39,118,33.1,313,37,29.7,33.2,61,41.0,37.5,86,8,9.3,14,1.68,16.4
nl PSV Eindhoven,1,8.0,13,0,0,1,0,10.9,0.33,-2.1,-0.26,33,86,38.4,205,27,31.7,30.4,65,32.3,30.4,89,1,1.1,6,0.75,18.0
de RB Leipzig,2,8.0,12,0,0,0,1,10.6,0.36,-0.4,-0.06,26,54,48.1,278,26,15.1,27.6,65,18.5,27.0,90,0,0.0,8,1.00,19.4
at RB Salzburg,1,6.0,8,2,0,1,0,9.7,0.23,+1.7,+0.28,33,86,38.4,202,20,32.7,33.4,54,37.0,34.5,87,3,3.4,7,1.17,14.0
es Real Madrid,3,13.3,15,2,1,1,0,17.0,0.23,+2.0,+0.15,40,108,37.0,323,70,23.5,24.0,100,32.0,30.6,171,15,8.8,5,0.38,9.3
es Real Sociedad,1,8.0,6,0,0,1,0,7.9,0.31,+1.9,+0.23,55,144,38.2,223,8,52.0,40.6,36,77.8,55.9,81,2,2.5,6,0.75,15.6
rs Red Star,1,6.0,15,2,1,2,1,15.1,0.31,+1.1,+0.18,30,61,49.2,116,16,36.2,33.9,61,31.1,31.6,84,1,1.2,5,0.83,11.9
es Sevilla,2,6.0,12,2,1,0,1,10.7,0.33,-0.3,-0.05,41,110,37.3,173,20,42.8,34.5,57,63.2,46.8,79,6,7.6,2,0.33,8.5
ua Shakhtar,1,6.0,12,0,0,1,0,11.3,0.31,-0.7,-0.12,27,61,44.3,161,24,28.0,28.0,44,36.4,32.9,93,8,8.6,10,1.67,16.3
de Union Berlin,1,6.0,10,0,0,3,0,10.4,0.33,+0.4,+0.07,30,89,33.7,150,31,44.7,36.4,48,45.8,40.7,116,7,6.0,1,0.17,6.5
ch Young Boys,2,6.0,13,2,0,3,0,14.9,0.31,+1.9,+0.31,36,94,38.3,190,31,38.9,34.3,56,35.7,31.8,71,2,2.8,4,0.67,13.5
