Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG
ru Loko Moscow,22,28.5,38.8,6,66,540,6.0,5,3,8,3,2,2,12,0,4.9,3.3,3.0,6.2,78,157,0.83,0.50,1.33,0.50,1.00,0.81,0.49,1.30,0.55,1.04
eng Manchester City,25,26.1,60.2,13,143,1170,13.0,24,18,42,22,2,2,18,0,22.5,21.0,16.9,37.9,322,698,1.85,1.38,3.23,1.69,3.08,1.73,1.30,3.03,1.61,2.92
eng Manchester Utd,23,25.7,51.0,6,66,540,6.0,14,7,21,10,4,4,13,1,11.5,8.3,6.8,15.1,128,235,2.33,1.17,3.50,1.67,2.83,1.91,1.13,3.04,1.38,2.51
fr Marseille,20,27.5,50.0,6,66,540,6.0,2,0,2,0,2,3,15,1,5.9,3.5,3.2,6.7,79,191,0.33,0.00,0.33,0.00,0.00,0.98,0.53,1.51,0.59,1.12
dk Midtjylland,22,25.5,42.3,6,66,540,6.0,4,2,6,2,2,2,12,1,7.1,5.5,4.5,10.0,89,174,0.67,0.33,1.00,0.33,0.67,1.18,0.75,1.92,0.91,1.66
gr Olympiacos,21,28.7,49.0,6,66,540,6.0,2,2,4,2,0,0,11,1,4.1,4.1,3.1,7.2,67,189,0.33,0.33,0.67,0.33,0.67,0.69,0.52,1.20,0.69,1.20
fr Paris S-G,23,27.3,48.3,12,132,1080,12.0,21,16,37,18,3,4,31,4,21.4,18.3,15.1,33.4,215,402,1.75,1.33,3.08,1.50,2.83,1.78,1.26,3.04,1.52,2.78
pt Porto,26,27.0,39.8,10,110,930,10.3,15,6,21,11,4,4,23,2,12.5,9.4,6.7,16.1,118,251,1.45,0.58,2.03,1.06,1.65,1.21,0.65,1.86,0.91,1.56
de RB Leipzig,20,24.8,52.4,8,88,720,8.0,11,10,21,10,1,1,21,0,10.6,9.8,8.8,18.5,102,323,1.37,1.25,2.62,1.25,2.50,1.32,1.10,2.42,1.22,2.32
at RB Salzburg,19,24.9,48.8,6,66,540,6.0,9,6,15,9,0,0,11,0,11.2,11.2,8.2,19.4,103,297,1.50,1.00,2.50,1.50,2.50,1.87,1.37,3.24,1.87,3.24
es Real Madrid,25,27.9,57.6,12,132,1080,12.0,18,13,31,16,2,2,24,0,19.2,17.6,13.2,30.9,281,546,1.50,1.08,2.58,1.33,2.42,1.60,1.10,2.70,1.47,2.57
fr Rennes,26,25.7,49.5,6,66,540,6.0,3,1,4,1,2,2,17,1,7.6,6.0,4.9,10.9,102,215,0.50,0.17,0.67,0.17,0.33,1.26,0.82,2.08,1.00,1.82
es Sevilla,25,27.9,60.3,8,88,720,8.0,13,8,21,12,1,1,20,1,12.1,11.3,8.1,19.4,137,314,1.62,1.00,2.62,1.50,2.50,1.51,1.01,2.52,1.42,2.43
ua Shakhtar,23,24.7,45.3,6,66,540,6.0,4,3,7,4,0,0,7,0,4.7,4.7,3.9,8.6,86,147,0.67,0.50,1.17,0.67,1.17,0.78,0.65,1.43,0.78,1.43
ru Zenit,21,27.8,46.2,6,66,540,6.0,3,3,6,3,0,0,13,0,5.6,5.6,5.0,10.5,90,206,0.50,0.50,1.00,0.50,1.00,0.93,0.83,1.75,0.93,1.75
